arm,target_rate,iter_rate,rps,dropped,failed_rate,p50,p90,p99,avg,node_cores
normal,100,100,300,0,0,6.3,9.5,298.2,14.4,4
normal,200,200,600,0,0,8.8,135.9,720.7,50,7.3
normal,300,299.1,897.2,166,0,120.2,1575.1,2316.1,501.3,11.8
bundle,100,100,300,0,0,6,8.9,11.3,6.7,3.88
bundle,200,200,600,0,0,7.7,18.1,651.5,31.9,7.7
bundle,300,300,900,45,0,22.7,192.5,846.3,77.5,12.16
bundle,400,397.5,1192.5,574,0,349.7,612.2,1937.6,412.4,14.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
cycle,arm,目標rate,達成rate,rps,fail,p50,p90,p99,node_cores,hot
1,mega,300,300,900,0,15,81,470,12.3,megapod=168%;megapod=143%;megapod=142%;megapod=119%
2,,,300,900,0,17,110,568,12.3,megapod=156%;megapod=146%;megapod=131%;megapod=130%
3,,,300,900,0,17,133,593,12.5,megapod=163%;megapod=157%;megapod=142%;megapod=135%
1,,400,395,1184,1031,733,1122,1427,15,megapod=171%;megapod=159%;megapod=156%;megapod=143%
2,,,395,1186,889,731,1039,1401,14.8,megapod=180%;megapod=168%;megapod=165%;megapod=163%
3,,,395,1185,951,774,1079,1339,15.1,megapod=173%;megapod=168%;megapod=160%;megapod=146%
1,,500,422,1266,15774,2396,5198,5595,15,megapod=163%;megapod=162%;megapod=161%;megapod=141%
2,,,419,1255,16407,2115,5783,6631,15,megapod=183%;megapod=176%;megapod=160%;megapod=144%
3,,,418,1255,16523,1915,7071,7560,15.2,megapod=192%;megapod=165%;megapod=141%;megapod=119%
,,,,,,,,,,
cycle,arm,目標rate,達成rate,rps,fail,p50,p90,p99,node_cores,hot
1,normal,300,298,895,330,217,1533,2494,11.8,recommendationservice=646%;frontend=409%;frontend=388%;recommendationservice=366%;recommendationservice=348%
2,,,299,896,302,674,1158,1501,12.2,frontend=742%;recommendationservice=594%;productcatalogservice=496%;recommendationservice=494%;currencyservice=464%
3,,,300,899,136,90,1065,2013,12.8,recommendationservice=651%;frontend=518%;frontend=451%;frontend=420%;currencyservice=390%
1,,400,343,1028,11218,2533,6480,7515,12.6,frontend=846%;recommendationservice=731%;productcatalogservice=510%;currencyservice=486%;recommendationservice=402%
2,,,323,969,15574,3119,6551,8204,12.6,frontend=838%;productcatalogservice=520%;currencyservice=486%;recommendationservice=395%;recommendationservice=365%
3,,,365,1094,7277,2769,5455,6583,14,recommendationservice=568%;frontend=479%;frontend=436%;currencyservice=434%;currencyservice=387%
1,,500,278,835,43612,5468,6658,7448,8.9,recommendationservice=850%;productcatalogservice=421%;frontend=268%;frontend=254%;currencyservice=249%
2,,,330,991,34486,4070,5876,7059,14.1,frontend=591%;frontend=576%;recommendationservice=559%;recommendationservice=555%;productcatalogservice=424%
3,,,318,953,36434,4255,6471,9031,12.4,recommendationservice=731%;recommendationservice=534%;frontend=504%;currencyservice=414%;checkoutservice=385%
,,,,,,,,,,
cycle,arm,目標rate,達成rate,rps,fail,p50,p90,p99,node_cores,hot
1,front3,300,300,900,0,21,184,606,12.4,currencyservice=413%;currencyservice=400%;frontend=349%;cartservice=346%;frontend=322%
2,,,300,900,0,26,276,945,12,currencyservice=430%;checkoutservice=337%;frontend=335%;frontend=324%;frontend=311%
3,,,300,900,0,26,134,687,11.6,currencyservice=623%;frontend=317%;frontend=298%;frontend=275%;checkoutservice=266%
1,,400,396,1188,857,589,1437,2576,14.5,currencyservice=418%;frontend=398%;frontend=374%;frontend=362%;frontend=344%
2,,,381,1143,3523,364,2262,14676,14.8,currencyservice=485%;frontend=417%;frontend=412%;frontend=399%;frontend=369%
3,,,400,1199,139,207,390,909,13.7,currencyservice=643%;frontend=434%;frontend=348%;frontend=346%;frontend=320%
1,,500,419,1257,16329,1885,5824,6822,14.8,currencyservice=487%;cartservice=401%;frontend=393%;frontend=340%;currencyservice=307%
2,,,415,1246,17063,1839,7971,10782,14.8,currencyservice=491%;frontend=418%;frontend=397%;checkoutservice=355%;frontend=355%
3,,,446,1338,10921,2695,3567,4283,14.2,frontend=374%;frontend=371%;frontend=360%;frontend=356%;currencyservice=308%
,,,,,,,,,,
まとめ(3サイクル平均),,,,,,,,,,
users,arm,rps,fail平均,p50平均,p99平均,達成rate,,node平均,,
300,normal,897,256,327,2003,299,,12.3,,
,front3,900,0,24,746,300,,12,,
,mega,900,0,16,544,300,,12.4,,
400,normal,1031,11356,2807,7434,343.7,,,,
,front3,1177,1506,387,6054,392.3,,13.1,,
,mega,1185,957,746,1389,395,,14.3,,
500,normal,926,38177,4598,7846,308.7,,15,,
,front3,1280,14771,2140,7296,426.7,,,,
,mega,1259,16235,2142,6595,419.7,,11.8,,
,,,,,,,,14.6,,
,,,,,,,,15.1,,
