arm,target_rate,iter_rate,rps,dropped,failed_rate,p50,p90,p99,avg,node_cores,hot
normal,100,100.0,300.0,0,0,6.3,9.4,433.0,16.1,3.9,recommendationservice=166%;frontend=145%;frontend=144%;frontend=135%;productcatalogservice=128%
normal,200,200.0,600.0,0,0,9.1,134.9,918.4,59.6,7.7,recommendationservice=392%;frontend=273%;currencyservice=246%;frontend=243%;productcatalogservice=196%
normal,300,300.0,900.0,0,0,98.5,349.7,965.3,159.1,13.3,recommendationservice=631%;frontend=514%;recommendationservice=431%;recommendationservice=406%;frontend=397%
normal,400,349.7,1049.0,10086,0,2970.2,5662.6,8496.1,3307.3,13.4,frontend=551%;frontend=533%;recommendationservice=490%;currencyservice=421%;frontend=380%
normal,500,333.5,1000.5,33042,0,3206.5,6553.0,7520.1,3937.5,12.4,frontend=834%;recommendationservice=729%;recommendationservice=719%;currencyservice=366%;productcatalogservice=342%
bundle,100,100.0,300.0,0,0,6.0,9.3,478.1,17.2,3.7,currencyservice=150%;frontend=100%;frontend=94%;frontend=94%;frontend=88%
bundle,200,200,600,0,0,7.7,15.2,681.0,28.6,7.9,currencyservice=233%;cartservice=224%;frontend=209%;frontend=178%;frontend=164%
bundle,300,300.0,900.0,15,0,21.5,130.0,562.6,54.3,12.4,currencyservice=357%;frontend=350%;frontend=298%;frontend=276%;checkoutservice=267%
bundle,400,397.2,1191.8,707,0,592.0,863.9,1299.4,604.7,14.7,frontend=414%;frontend=406%;frontend=338%;cartservice=337%;checkoutservice=300%
bundle,500,421.1,1263.4,15935,0.0005,1950.7,7345.0,7787.4,2945.0,15.0,currencyservice=526%;frontend=351%;frontend=326%;frontend=303%;frontend=284%
