arm,users,rps,fails,agg_p50,agg_p90,agg_p99,product_p50,cart_p50,checkout_p50,checkout_p99,hop_p50,hop_p99,hot_services
normal,1,3.0256568878044843,0,17,21,23,19,16,16,22,emailservice=1;paymentservice=2,emailservice=2;paymentservice=3,adservice=3%;cartservice=2%;frontend=2%;currencyservice=2%;redis-cart=2%;paymentservice=1%
normal,10,30.095226623530895,0,28,43,920,30,33,21,57,emailservice=2;paymentservice=2,emailservice=4;paymentservice=5,adservice=17%;frontend=17%;productcatalogservice=15%;cartservice=9%;recommendationservice=9%;paymentservice=8%
normal,40,119.94512516086517,0,53,120,780,44,70,48,550,paymentservice=1;emailservice=2,emailservice=12;paymentservice=9,productcatalogservice=45%;frontend=45%;cartservice=31%;recommendationservice=23%;currencyservice=22%;adservice=21%
normal,120,356.21077463224105,0,100,250,480,91,150,95,310,emailservice=2;paymentservice=2,emailservice=20;paymentservice=19,frontend=107%;productcatalogservice=105%;recommendationservice=67%;cartservice=59%;currencyservice=58%;checkoutservice=41%
normal,240,590.4611478534866,0,360,520,870,397,380,340,1100,emailservice=1;paymentservice=1,emailservice=54;paymentservice=53,productcatalogservice=159%;recommendationservice=94%;frontend=87%;cartservice=83%;currencyservice=78%;frontend=74%
normal,480,710.9839992517174,0,650,740,1200,640,660,660,1300,emailservice=1;paymentservice=1,emailservice=215;paymentservice=304,productcatalogservice=134%;recommendationservice=106%;currencyservice=103%;cartservice=94%;frontend=67%;shippingservice=64%
f3perc,1,3.02578885293978,0,17,20,23,19,16,16,22,emailservice=1;paymentservice=2,emailservice=2;paymentservice=3,adservice=3%;currencyservice=2%;cartservice=2%;redis-cart=2%;frontend=1%;paymentservice=1%
f3perc,10,30.248695033171426,8,24,37,65,27,27,18,48,paymentservice=2;emailservice=2,emailservice=5;paymentservice=5,adservice=17%;cartservice=11%;frontend=8%;paymentservice=7%;currencyservice=7%;checkoutservice=4%
f3perc,40,118.61678575664149,0,54,99,920,49,66,44,160,emailservice=2;paymentservice=1,paymentservice=11;emailservice=12,frontend=31%;cartservice=25%;adservice=20%;currencyservice=19%;shippingservice=12%;paymentservice=11%
f3perc,120,349.3368607722889,0,140,300,900,98,200,140,980,emailservice=3;paymentservice=2,paymentservice=92;emailservice=29,frontend=79%;cartservice=62%;currencyservice=50%;checkoutservice=34%;shippingservice=33%;paymentservice=23%
f3perc,240,706.3519239274235,0,78,150,660,64,96,76,210,emailservice=2;paymentservice=2,emailservice=21;paymentservice=27,cartservice=86%;currencyservice=82%;frontend=71%;frontend=65%;paymentservice=61%;shippingservice=58%
f3perc,480,1172.2528510029292,0,310,500,860,218,440,280,760,emailservice=12;paymentservice=6,paymentservice=98;emailservice=90,cartservice=130%;currencyservice=125%;checkoutservice=84%;paymentservice=83%;frontend=81%;frontend=81%
