cycle,arm,rate,browse,iter_rate,browse_rate,pod,rx_bytes,tx_bytes,rx_pkts,tx_pkts
1,normal,100,0,100.0,0,adservice,3592763,4515407,33178,32754
1,normal,100,0,100.0,0,cartservice,31187384,36919889,278427,280026
1,normal,100,0,100.0,0,checkoutservice,47836184,50018927,428708,421377
1,normal,100,0,100.0,0,currencyservice,27488815,33176504,271028,248275
1,normal,100,0,100.0,0,emailservice,6239663,3757103,35449,35307
1,normal,100,0,100.0,0,frontend,216170799,669692031,1564283,1560125
1,normal,100,0,100.0,0,paymentservice,4191905,4013695,35804,35241
1,normal,100,0,100.0,0,productcatalogservice,110362561,230306874,1170850,1143944
1,normal,100,0,100.0,0,recommendationservice,98754755,29447657,237474,274172
1,normal,100,0,100.0,0,redis-cart,17334065,9819818,98686,95727
1,normal,100,0,100.0,0,shippingservice,15434408,14608358,145278,146424
1,normal,0,100,0,100.0,adservice,3587975,4502355,33180,33047
1,normal,0,100,0,100.0,cartservice,5713246,6215920,54272,54208
1,normal,0,100,0,100.0,checkoutservice,58109,141635,533,406
1,normal,0,100,0,100.0,currencyservice,7382868,9862641,75220,75118
1,normal,0,100,0,100.0,emailservice,45183,35962,510,381
1,normal,0,100,0,100.0,frontend,79027110,203692020,624197,594081
1,normal,0,100,0,100.0,paymentservice,34649,28153,389,299
1,normal,0,100,0,100.0,productcatalogservice,36922630,78813577,419992,424386
1,normal,0,100,0,100.0,recommendationservice,33254721,9866686,83116,90450
1,normal,0,100,0,100.0,redis-cart,2864555,1542072,18299,18154
1,normal,0,100,0,100.0,shippingservice,55669,40167,622,492
1,normal,0,200,0,200,adservice,6998693,8798181,64668,64483
1,normal,0,200,0,200,cartservice,11399860,12406706,108258,103374
1,normal,0,200,0,200,checkoutservice,58696,144338,506,379
1,normal,0,200,0,200,currencyservice,13268071,17847692,134570,134736
1,normal,0,200,0,200,emailservice,44562,35270,500,370
1,normal,0,200,0,200,frontend,142472857,374440954,1100159,1059584
1,normal,0,200,0,200,paymentservice,37226,30433,420,307
1,normal,0,200,0,200,productcatalogservice,70437218,144455242,755564,742933
1,normal,0,200,0,200,recommendationservice,60592527,17964351,148625,163936
1,normal,0,200,0,200,redis-cart,5707874,3071383,36291,36145
1,normal,0,200,0,200,shippingservice,56841,41104,601,475
2,normal,100,0,100.0,0,adservice,3877756,4884401,35977,35815
2,normal,100,0,100.0,0,cartservice,31638386,37321350,283586,285147
2,normal,100,0,100.0,0,checkoutservice,49067901,51118302,422461,411883
2,normal,100,0,100.0,0,currencyservice,28187874,34015845,278930,258861
2,normal,100,0,100.0,0,emailservice,5750931,3488493,32785,32653
2,normal,100,0,100.0,0,frontend,242224582,744832618,1781390,1773126
2,normal,100,0,100.0,0,paymentservice,4296200,4130770,37063,36861
2,normal,100,0,100.0,0,productcatalogservice,105821060,216789102,1124510,1098266
2,normal,100,0,100.0,0,recommendationservice,92332366,27693663,223101,257825
2,normal,100,0,100.0,0,redis-cart,17430377,9937938,99564,97307
2,normal,100,0,100.0,0,shippingservice,16805225,15963266,159790,142593
2,normal,0,100,0,100,adservice,3902878,4914208,36237,34166
2,normal,0,100,0,100,cartservice,5714625,6216951,54286,54217
2,normal,0,100,0,100,checkoutservice,58891,144111,538,404
2,normal,0,100,0,100,currencyservice,7354439,9828249,74790,74671
2,normal,0,100,0,100,emailservice,43623,34392,487,360
2,normal,0,100,0,100,frontend,71379273,183678579,561779,533418
2,normal,0,100,0,100,paymentservice,36133,29277,409,312
2,normal,0,100,0,100,productcatalogservice,34951324,70867486,376660,379876
2,normal,0,100,0,100,recommendationservice,31066489,9203077,77042,84029
2,normal,0,100,0,100,redis-cart,2864104,1541710,18294,18149
2,normal,0,100,0,100,shippingservice,53687,38449,597,468
2,normal,0,200,0,200.0,adservice,7316062,9196494,67598,67406
2,normal,0,200,0,200.0,cartservice,9889868,10762931,93917,93858
2,normal,0,200,0,200.0,checkoutservice,57614,143602,524,396
2,normal,0,200,0,200.0,currencyservice,15439093,19668780,147689,147525
2,normal,0,200,0,200.0,emailservice,44240,35239,495,372
2,normal,0,200,0,200.0,frontend,153800874,404972234,1192844,1151517
2,normal,0,200,0,200.0,paymentservice,32388,25785,363,270
2,normal,0,200,0,200.0,productcatalogservice,68750930,140778857,737611,724219
2,normal,0,200,0,200.0,recommendationservice,59603785,17676204,145688,161303
2,normal,0,200,0,200.0,redis-cart,5708075,3071478,36293,36146
2,normal,0,200,0,200.0,shippingservice,55221,38663,615,468
