cycle,arm,users,reqcount,fails,p50_ms,p90_ms,p99_ms,avg_ms,rps,softirq_cores,base_softirq,app_cores,base_app,node_cores,base_node,softirq_mc_per_req,app_mc_per_req,node_mc_per_req,scale_replicas,scale_detail
1,front3,240,126228,0,50,190,740,87.83868796,706.6833852,0.4358,0.006,6.323650561,0.020134567,7.892866667,0.768555556,0.608,8.92,10.081,2,frontend=2
2,front3,240,125875,0,100,270,760,139.0461748,704.1679721,0.402466667,0.006555556,6.135871935,0.024320976,7.570933333,0.696111111,0.562,8.679,9.763,2,frontend=2
3,front3,240,126396,0,43,180,680,83.15894561,707.0748468,0.440733333,0.005333333,6.492931222,0.020401339,7.9732,0.739111111,0.616,9.154,10.231,3,frontend=3
1,front3,480,173417,0,57,1400,1800,470.3832955,965.4905336,0.606866667,0.005888889,8.898052905,0.02343682,10.85586667,0.709555556,0.622,9.192,10.509,3,frontend=3
2,front3,480,171855,0,70,1400,1800,475.0860141,956.0362829,0.592933333,0.006222222,8.612537705,0.025438985,10.85553333,0.663666667,0.614,8.982,10.661,4,frontend=4
3,front3,480,113782,0,700,1000,1400,728.9151492,634.0155518,0.289866667,0.006555556,4.932554594,0.027061822,6.456733333,0.707111111,0.447,7.737,9.069,2,frontend=2
1,normal,240,111644,0,350,480,850,372.3696041,623.2200293,0.585133333,0.006222222,6.468790361,0.023478174,7.919133333,0.652222222,0.929,10.342,11.66,8,frontend=3 recommendationservice=2 productcatalogservice=3
2,normal,240,105713,0,360,540,930,394.8063588,589.8182095,0.5824,0.006444444,6.449862251,0.022137669,7.783333333,0.653888889,0.976,10.898,12.088,8,frontend=3 recommendationservice=2 productcatalogservice=3
3,normal,240,122894,0,310,360,810,288.2192413,686.0365908,0.619266667,0.006222222,6.700018983,0.022766853,8.121866667,0.685111111,0.894,9.733,10.84,8,frontend=3 recommendationservice=2 productcatalogservice=3
1,normal,480,117551,0,690,870,1200,703.4559354,655.9125313,0.5988,0.005777778,6.428030384,0.023098449,7.8732,0.727,0.904,9.765,10.895,8,frontend=3 recommendationservice=2 productcatalogservice=3
2,normal,480,114304,0,700,910,1200,724.7415836,637.6302867,0.598466667,0.006333333,6.71857757,0.021556085,8.001733333,0.689555556,0.929,10.503,11.468,8,frontend=3 recommendationservice=2 productcatalogservice=3
3,normal,480,123460,0,670,750,1300,670.9206925,689.0652887,0.6364,0.006222222,6.892402992,0.021348842,8.399933333,0.748111111,0.915,9.972,11.105,8,frontend=3 recommendationservice=2 productcatalogservice=3
