cycle,arm,users,reqcount,fails,p50_ms,p90_ms,p99_ms,avg_ms,rps,softirq_cores,base_softirq,app_cores,base_app,node_cores,base_node,softirq_mc_per_req,app_mc_per_req,node_mc_per_req,scale_replicas,scale_detail,cont_mc
1,f3avg,240,125873,0,61,160,840,95.7251433001263,700.8625632195536,0.4257333333333334,0.007333333333332347,6.276180836986841,0.033032743444821495,7.661933333333287,0.5223333333333366,0.597,8.908,10.187,12,frontend=2 checkoutservice=1 cartservice=2 currencyservice=2 paymentservice=1 shippingservice=1 emailservice=2 adservice=1,productcatalog=448;recommendation=681;server=852
1,f3avg,480,116950,5,700,980,1200,707.1239769203385,651.3776802617566,0.28946666666666676,0.007111111111114748,5.25446403819529,0.03724094726081045,6.411733333333343,0.5203333333332386,0.433,8.01,9.045,12,frontend=2 checkoutservice=1 cartservice=2 currencyservice=1 paymentservice=2 shippingservice=1 emailservice=2 adservice=1,productcatalog=352;recommendation=564;server=798
1,f3perc,240,127289,0,100,220,540,121.49155845379948,711.155281294941,0.4300666666666658,0.006444444444446793,6.5318188570319045,0.03744172496811636,8.110866666666661,0.48933333333333817,0.596,9.132,10.717,14,frontend=3 checkoutservice=1 cartservice=2 currencyservice=2 paymentservice=1 shippingservice=1 emailservice=2 adservice=2,productcatalog=334;recommendation=499;server=631
1,f3perc,480,121697,305,680,960,1300,672.0991151778791,680.0523066500871,0.28346666666666653,0.006777777777780455,5.180224677310802,0.03785897395578274,6.388466666666677,0.49288888888890675,0.407,7.562,8.669,12,frontend=3 checkoutservice=1 cartservice=2 currencyservice=1 paymentservice=1 shippingservice=1 emailservice=2 adservice=1,productcatalog=224;recommendation=384;server=533
1,normal,240,124160,0,220,340,860,228.86275881884907,692.2725005667933,0.6310666666666668,0.006333333333330099,6.729177871069602,0.031820863302949164,8.269599999999958,0.5325555555554478,0.902,9.674,11.176,20,frontend=3 recommendationservice=2 productcatalogservice=3 checkoutservice=1 cartservice=2 currencyservice=2 paymentservice=2 shippingservice=1 emailservice=2 adservice=2,server=681
1,normal,480,126043,0,670,750,1200,656.9419623379551,703.1953702400906,0.6528,0.006666666666663129,7.067563010891731,0.030024157257109343,8.518599999999939,0.47766666666667185,0.919,10.008,11.435,19,frontend=3 recommendationservice=2 productcatalogservice=3 checkoutservice=1 cartservice=2 currencyservice=2 paymentservice=2 shippingservice=1 emailservice=2 adservice=1,server=651
2,f3avg,240,125303,0,46,220,820,99.27502987385948,698.1240345931535,0.42820000000000047,0.006777777777780455,6.362303930404635,0.032203583290890195,7.642133333333329,0.5039999999999529,0.604,9.067,10.225,12,frontend=2 checkoutservice=1 cartservice=2 currencyservice=2 paymentservice=1 shippingservice=1 emailservice=2 adservice=1,productcatalog=491;recommendation=698;server=878
2,f3avg,480,116237,0,700,990,1300,712.794226642735,647.1531687591787,0.27713333333333023,0.007000000000002475,5.109411437832835,0.03584122825680246,6.319866666666637,0.5040000000000106,0.417,7.84,8.987,11,frontend=2 checkoutservice=1 cartservice=2 currencyservice=1 paymentservice=1 shippingservice=1 emailservice=2 adservice=1,productcatalog=343;recommendation=548;server=799
2,f3perc,240,127558,0,60,220,680,98.0325885797728,709.8863375225754,0.45320000000000316,0.007222222222224495,6.791437328703147,0.03475908824771771,8.033666666666695,0.49033333333340656,0.628,9.518,10.626,13,frontend=3 checkoutservice=1 cartservice=2 currencyservice=2 paymentservice=1 shippingservice=1 emailservice=2 adservice=1,productcatalog=348;recommendation=478;server=639
2,f3perc,480,114756,109,700,1000,1400,723.0420543149277,638.9201317960077,0.27953333333333186,0.007666666666671062,5.030969629298996,0.03545736796597506,6.269933333333355,0.48677777777774794,0.426,7.819,9.051,12,frontend=3 checkoutservice=1 cartservice=2 currencyservice=1 paymentservice=1 shippingservice=1 emailservice=2 adservice=1,productcatalog=222;recommendation=377;server=511
