cycle,arm,users,reqcount,fails,p50_ms,p90_ms,p99_ms,avg_ms,rps,softirq_cores,base_softirq,app_cores,base_app,node_cores,base_node,softirq_mc_per_req,app_mc_per_req,node_mc_per_req,scale_replicas,scale_detail,cont_mc
1,f3avg,240,125560,0,37,210,890,92.69299208310743,699.0676302104544,0.4464666666666666,0.007000000000000265,6.5106583369312885,0.02963464795973079,7.982333333333324,0.7895555555555519,0.629,9.271,10.289,12,frontend=2 checkoutservice=1 cartservice=2 currencyservice=2 paymentservice=1 shippingservice=1 emailservice=2 adservice=1,productcatalog=452;recommendation=666;server=892
1,f3avg,480,115072,270,700,1000,1500,712.183183309734,643.1961852288254,0.2814666666666668,0.006999999999999632,5.048217471218563,0.032455802341305254,6.389533333333315,0.7336666666666843,0.427,7.798,8.793,11,frontend=2 checkoutservice=1 cartservice=2 currencyservice=1 paymentservice=1 shippingservice=1 emailservice=2 adservice=1,productcatalog=340;recommendation=554;server=776
1,f3perc,240,126790,0,37,170,710,77.79710668308624,706.3946518558494,0.44713333333333305,0.006666666666667234,6.46758664625386,0.03452818681575696,8.025799999999974,0.7452222222222256,0.624,9.107,10.307,14,frontend=3 checkoutservice=1 cartservice=2 currencyservice=2 paymentservice=2 shippingservice=1 emailservice=2 adservice=1,productcatalog=329;recommendation=454;server=615
1,f3perc,480,172354,80,76,1400,1700,474.8203812691769,963.8891556367967,0.6133333333333325,0.006777777777777613,9.079083930469006,0.03404418736407776,10.958600000000006,0.7418888888889019,0.629,9.384,10.599,17,frontend=4 checkoutservice=2 cartservice=2 currencyservice=2 paymentservice=2 shippingservice=2 emailservice=2 adservice=1,productcatalog=448;recommendation=686;server=824
1,normal,240,111593,0,340,500,880,365.0493099691843,622.4242516586054,0.5964666666666658,0.006222222222222562,6.505511124755049,0.028667771022974985,7.976333333333338,0.7531111111111711,0.948,10.406,11.605,18,frontend=3 recommendationservice=2 productcatalogservice=3 checkoutservice=1 cartservice=2 currencyservice=2 paymentservice=1 shippingservice=1 emailservice=2 adservice=1,server=636
1,normal,480,112984,0,700,950,1200,732.036365912335,630.4277986002012,0.6050666666666671,0.006111111111112184,6.662281156495722,0.027529726810337718,7.9966666666666715,0.730000000000017,0.95,10.524,11.527,18,frontend=3 recommendationservice=2 productcatalogservice=3 checkoutservice=1 cartservice=2 currencyservice=2 paymentservice=1 shippingservice=1 emailservice=2 adservice=1,server=647
2,f3avg,240,126709,0,42,160,690,77.89741453434223,706.4746300790443,0.44166666666666665,0.007111111111109379,6.44313906227271,0.0317781264399292,8.016933333333322,0.7483333333333654,0.615,9.075,10.289,12,frontend=2 checkoutservice=1 cartservice=2 currencyservice=2 paymentservice=1 shippingservice=1 emailservice=2 adservice=1,productcatalog=480;recommendation=673;server=915
2,f3avg,480,172722,0,70,1400,1700,473.22125710486216,965.6371785853603,0.5993333333333322,0.006666666666665655,8.850344930187111,0.034949868406995765,10.794599999999983,0.802222222222175,0.614,9.129,10.348,18,frontend=3 checkoutservice=2 cartservice=3 currencyservice=2 paymentservice=2 shippingservice=2 emailservice=3 adservice=1,productcatalog=689;recommendation=1024;server=1204
2,f3perc,240,126842,0,37,210,650,90.44446564909951,709.6070188596544,0.46246666666666686,0.006777777777779507,6.797981908527131,0.03291803619579013,8.472133333333336,0.7359999999999779,0.642,9.534,10.902,15,frontend=3 checkoutservice=1 cartservice=2 currencyservice=2 paymentservice=2 shippingservice=1 emailservice=2 adservice=2,productcatalog=356;recommendation=479;server=675
2,f3perc,480,114328,177,700,1000,1400,723.3979691514147,636.3933002066226,0.28540000000000054,0.006888888888889254,5.023600408345334,0.03730046986744587,6.45573333333335,0.7466666666666864,0.438,7.835,8.971,12,frontend=3 checkoutservice=1 cartservice=2 currencyservice=1 paymentservice=1 shippingservice=1 emailservice=2 adservice=1,productcatalog=235;recommendation=373;server=534
2,normal,240,121452,0,240,360,1000,248.48733607335672,676.6044582382242,0.604733333333333,0.006222222222220352,6.60670045922568,0.030550373442304168,8.1162,0.7527777777778121,0.885,9.719,10.883,19,frontend=3 recommendationservice=2 productcatalogservice=3 checkoutservice=1 cartservice=2 currencyservice=2 paymentservice=2 shippingservice=1 emailservice=2 adservice=1,server=644
