cycle,arm,users,reqcount,fails,p50_ms,p90_ms,p99_ms,avg_ms,rps,softirq_cores,base_softirq,app_cores,base_app,node_cores,base_node,softirq_mc_per_req,app_mc_per_req,node_mc_per_req,scale_replicas,scale_detail,cont_mc
1,f3avg,240,126679,0,44,260,770,102.38126771305224,705.1459635383654,0.44099999999999995,0.005777777777777811,6.510851666992276,0.022167592669180815,7.831733333333333,0.45644444444444443,0.617,9.202,10.459,3,frontend=3,productcatalog=351;recommendation=500;server=642
1,f3avg,480,112185,0,710,1100,1500,738.1917617266326,624.2081444580712,0.2808,0.0064444444444444245,4.945194550132237,0.031872281134607626,6.195266666666667,0.47766666666666735,0.44,7.871,9.16,2,frontend=2,productcatalog=346;recommendation=550;server=758
1,f3perc,240,125125,0,47,260,810,115.15804910820488,699.3656322555112,0.43166666666666664,0.005555555555555555,6.5243827287526805,0.027122252868038498,7.712799999999999,0.4194444444444441,0.609,9.29,10.429,3,frontend=3,productcatalog=329;recommendation=472;server=607
1,f3perc,480,111574,0,710,1100,1400,741.9349997826238,621.4703038887806,0.27360000000000007,0.005888888888888901,4.907224966585884,0.031149631575669533,6.0141333333333336,0.4197777777777784,0.431,7.846,9.002,3,frontend=3,productcatalog=235;recommendation=357;server=524
1,normal,240,100870,0,380,600,760,411.21760381529424,562.4666536590654,0.6001333333333332,0.0061111111111109995,6.3813222577722195,0.023576298523541577,7.675733333333333,0.4594444444444425,1.056,11.303,12.83,8,frontend=3 recommendationservice=2 productcatalogservice=3,server=659
1,normal,480,108572,0,740,1000,1200,763.6734997132052,605.4410668458686,0.6031333333333333,0.005333333333333219,6.357731836006147,0.02399123315971068,7.851866666666663,0.40877777777777763,0.987,10.461,12.294,8,frontend=3 recommendationservice=2 productcatalogservice=3,server=624
2,f3avg,240,126890,41,51,190,680,93.27598796956391,709.5706428016706,0.4289999999999999,0.005888888888889059,6.209452747153736,0.02563204465359492,7.817000000000005,0.4581111111111098,0.596,8.715,10.371,3,frontend=3,productcatalog=345;recommendation=482;server=645
2,f3avg,480,114669,0,710,1000,1300,722.8525537458703,638.6493092428927,0.26540000000000025,0.006222222222222405,4.912713265201726,0.03183692522487838,6.0338,0.42488888888888743,0.406,7.642,8.782,2,frontend=2,productcatalog=352;recommendation=540;server=764
2,f3perc,240,126179,0,37,260,800,99.68233244297997,705.464814439288,0.4583999999999999,0.0061111111111110785,6.539023307386244,0.02784478804305258,7.971866666666666,0.481999999999999,0.641,9.23,10.617,3,frontend=3,productcatalog=348;recommendation=489;server=657
2,f3perc,480,115443,0,700,1000,1300,717.9927503653763,642.9252127022137,0.2786666666666666,0.006666666666666603,5.09529067041671,0.031945023897965566,6.174133333333336,0.4376666666666706,0.423,7.875,8.922,3,frontend=3,productcatalog=235;recommendation=387;server=531
2,normal,240,102356,0,370,560,900,408.44065287725374,570.6807317118431,0.5864666666666669,0.005444444444444702,6.331997215606871,0.02351137401847412,7.591000000000001,0.41799999999999665,1.018,11.054,12.569,8,frontend=3 recommendationservice=2 productcatalogservice=3,server=638
2,normal,480,108335,0,730,1000,1300,764.8643003646704,604.1645636369551,0.6062666666666665,0.005111111111111041,6.624827565865932,0.02347072918035129,7.751133333333334,0.4252222222222136,0.995,10.926,12.126,8,frontend=3 recommendationservice=2 productcatalogservice=3,server=650
3,f3avg,240,125514,0,56,330,820,125.66901425663214,701.2439166978227,0.4353999999999999,0.005888888888888743,6.470930454951186,0.02656377546322935,7.784333333333326,0.486000000000013,0.612,9.19,10.408,3,frontend=3,productcatalog=350;recommendation=490;server=657
3,f3avg,480,111789,0,710,1100,1500,740.3677185501944,622.4709343600681,0.2687333333333329,0.005777777777777733,4.7275397318724535,0.03005236766862024,6.0276666666666605,0.4334444444444526,0.422,7.547,8.987,2,frontend=2,productcatalog=338;recommendation=524;server=748
3,f3perc,240,124930,0,36,290,890,104.57710957053318,697.9824707847489,0.43673333333333314,0.005777777777778206,6.595493889522348,0.02818247922040105,7.630400000000003,0.42111111111111205,0.617,9.409,10.329,3,frontend=3,productcatalog=347;recommendation=475;server=641
3,f3perc,480,114233,0,700,1000,1300,724.5996243207364,636.4800397074505,0.2698666666666665,0.006666666666666603,4.944681598232549,0.03237014806993526,6.098066666666654,0.4226666666666657,0.414,7.718,8.917,3,frontend=3,productcatalog=221;recommendation=353;server=513
3,normal,240,112885,0,350,470,760,367.0000851763342,630.3676339843108,0.5971999999999998,0.00577777777777789,6.500595838420393,0.022051209024827604,7.691066666666668,0.42311111111109695,0.938,10.277,11.53,8,frontend=3 recommendationservice=2 productcatalogservice=3,server=668
3,normal,480,115043,0,700,880,1200,721.067519306272,641.8810388709694,0.6021333333333326,0.005111111111110568,6.514519290099865,0.022242770476443952,7.722533333333331,0.47755555555554685,0.93,10.114,11.287,8,frontend=3 recommendationservice=2 productcatalogservice=3,server=632
