cycle,arm,pod,iface,rx_bytes,tx_bytes,rx_pkts,tx_pkts,iter_rate,meas
1,normal,adservice-6d77488b78-pn666,eth0,3797039,4785015,35185,34800,100,180
1,normal,cartservice-969c5668c-rdlrw,eth0,30770420,36455926,274356,275855,100,180
1,normal,checkoutservice-685486cf97-chj4g,eth0,47099996,49305506,421160,414495,100,180
1,normal,currencyservice-fddf8c7bc-mdrpz,eth0,28681270,34671907,283190,257694,100,180
1,normal,emailservice-574f74fdf8-85fbx,eth0,6134285,3694397,34867,34734,100,180
1,normal,frontend-5bf5dcf9b7-5llcb,eth0,231705532,723105049,1673908,1676406,100,180
1,normal,paymentservice-6f6b5b56fd-7vqt9,eth0,4078410,3905681,34716,34175,100,180
1,normal,productcatalogservice-6d45db7f4-68tld,eth0,107458164,224862182,1138870,1110298,100,180
1,normal,recommendationservice-547fc69857-kmbfx,eth0,96274476,28703684,231528,267395,100,180
1,normal,redis-cart-757565597c-d5sws,eth0,18355677,10391144,104532,101424,100,180
1,normal,shippingservice-64f88757c5-x9b2b,eth0,15900874,15069979,150115,151497,100,180
1,normal,k6load,eth0,584035855.6,29358598.4,189333.5,212111.8,100,180
1,front3,adservice-6d77488b78-kp6km,eth0,3811408,4788681,35381,34906,100,180
1,front3,cartservice-969c5668c-vk4qw,eth0,30703984,36384829,273915,275631,100,180
1,front3,checkoutservice-685486cf97-bwnqm,eth0,47052086,49159998,421674,413764,100,180
1,front3,currencyservice-fddf8c7bc-gbjd6,eth0,28925078,35194063,286679,265611,100,180
1,front3,emailservice-574f74fdf8-rz9hf,eth0,6144194,3694921,34913,34757,100,180
1,front3,frontend-787c5cd46d-p4n4c,lo,352769355,352769355,2221305,2221305,100,180
1,front3,frontend-787c5cd46d-p4n4c,eth0,89817748,633347445,696216,703787,100,180
1,front3,paymentservice-6f6b5b56fd-zfjxg,eth0,4111716,3936927,35108,34531,100,180
1,front3,redis-cart-757565597c-zlz2j,eth0,18509939,10477732,105677,102328,100,180
1,front3,shippingservice-64f88757c5-fb26k,eth0,15980469,15213419,150915,153329,100,180
1,front3,k6load,eth0,544067868.5,27253465.0,177547.2,195764.5,100,180
1,mega,megapod-7798864ff4-77cm4,lo,587159373,587159373,4122046,4122046,100,180
1,mega,megapod-7798864ff4-77cm4,eth0,29419431,577064991,214277,189635,100,180
1,mega,k6load,eth0,583667544.5,29337907.5,188315.2,211877.9,100,180
2,normal,adservice-6d77488b78-nm7t5,eth0,3776548,4753560,34947,34521,100,180
2,normal,cartservice-969c5668c-wpj8r,eth0,30667982,36352877,273341,275081,100,180
2,normal,checkoutservice-685486cf97-q8sqk,eth0,46911854,49096851,419507,412671,100,180
2,normal,currencyservice-fddf8c7bc-7kbm7,eth0,28594656,34637325,282250,257572,100,180
2,normal,emailservice-574f74fdf8-vn4lh,eth0,6127285,3687720,34746,34680,100,180
2,normal,frontend-5bf5dcf9b7-rnwpd,eth0,232064424,724746736,1675131,1676789,100,180
2,normal,paymentservice-6f6b5b56fd-xrtmb,eth0,4091483,3913467,34843,34216,100,180
2,normal,productcatalogservice-6d45db7f4-nb8dm,eth0,107660634,225674941,1140412,1112630,100,180
2,normal,recommendationservice-547fc69857-jrcbr,eth0,96517287,28775007,231750,267805,100,180
2,normal,redis-cart-757565597c-767td,eth0,18375248,10392316,104638,101380,100,180
2,normal,shippingservice-64f88757c5-nf8zb,eth0,15887977,15069869,149938,151521,100,180
2,normal,k6load,eth0,583823571.8,29332045.0,190694.4,211790.1,100,180
2,front3,adservice-6d77488b78-tj7cq,eth0,3815712,4798933,35421,35042,100,180
2,front3,cartservice-969c5668c-nkbzl,eth0,30838864,36497552,275483,277125,100,180
2,front3,checkoutservice-685486cf97-cfxd6,eth0,47325451,49401355,425031,416467,100,180
2,front3,currencyservice-fddf8c7bc-k5c6s,eth0,29054685,35358048,287959,267999,100,180
2,front3,emailservice-574f74fdf8-ksxvp,eth0,6142964,3704980,34965,34854,100,180
2,front3,frontend-787c5cd46d-t5q89,lo,353174180,353174180,2232725,2232725,100,180
2,front3,frontend-787c5cd46d-t5q89,eth0,89764554,630870136,697096,701612,100,180
2,front3,paymentservice-6f6b5b56fd-kxhfj,eth0,4120456,3945677,35271,34733,100,180
2,front3,redis-cart-757565597c-fr74z,eth0,18429500,10454321,105222,102243,100,180
2,front3,shippingservice-64f88757c5-p66w7,eth0,16036148,15254897,151611,153786,100,180
2,front3,k6load,eth0,517174041.9,24565081.2,166391.7,186342.3,100,180
2,mega,megapod-7798864ff4-5x4sn,lo,580349551,580349551,4042476,4042476,100,180
2,mega,megapod-7798864ff4-5x4sn,eth0,29360984,577688256,213213,191675,100,180
2,mega,k6load,eth0,554513589.7,27725451.2,180533.9,198807.7,100,180
