cycle,arm,target_rate,iter_rate,dropped,failed_rate,p99,pod,container,usage_mc,req_mc,util_pct,mc_per_iter,throttle_pct
1,normal,10,10.0,0,0,18.2,frontend,server,181.4,1000.0,18.1,18.13,0.0
1,normal,10,10.0,0,0,18.2,productcatalogservice,server,106.8,600.0,17.8,10.68,0.0
1,normal,10,10.0,0,0,18.2,recommendationservice,server,99.3,1200.0,8.3,9.92,0.0
1,normal,10,10.0,0,0,18.2,currencyservice,server,97.0,800.0,12.1,9.69,0.0
1,normal,10,10.0,0,0,18.2,cartservice,server,58.1,560.0,10.4,5.81,0.0
1,normal,10,10.0,0,0,18.2,checkoutservice,checkout,47.8,800.0,6.0,4.78,0.0
1,normal,10,10.0,0,0,18.2,adservice,server,34.8,300.0,11.6,3.48,0.6
1,normal,10,10.0,0,0,18.2,paymentservice,payment,18.6,200.0,9.3,1.86,0.0
1,normal,10,10.0,0,0,18.2,shippingservice,server,18.6,320.0,5.8,1.85,0.0
1,normal,10,10.0,0,0,18.2,emailservice,email,15.1,200.0,7.5,1.51,0.0
1,normal,10,10.0,0,0,18.2,redis-cart,redis,10.1,300.0,3.4,1.01,0.0
1,normal,30,30.0,0,0,16.1,frontend,server,392.3,1000.0,39.2,13.07,0.0
1,normal,30,30.0,0,0,16.1,recommendationservice,server,245.7,1200.0,20.5,8.19,0.0
1,normal,30,30.0,0,0,16.1,productcatalogservice,server,245.7,600.0,40.9,8.19,0.0
1,normal,30,30.0,0,0,16.1,currencyservice,server,193.5,800.0,24.2,6.45,0.0
1,normal,30,30.0,0,0,16.1,cartservice,server,122.4,560.0,21.9,4.08,0.0
1,normal,30,30.0,0,0,16.1,checkoutservice,checkout,100.3,800.0,12.5,3.34,0.0
1,normal,30,30.0,0,0,16.1,shippingservice,server,41.4,320.0,12.9,1.38,0.0
1,normal,30,30.0,0,0,16.1,emailservice,email,39.2,200.0,19.6,1.31,0.0
1,normal,30,30.0,0,0,16.1,paymentservice,payment,33.0,200.0,16.5,1.1,0.1
1,normal,30,30.0,0,0,16.1,adservice,server,32.0,300.0,10.7,1.07,0.9
1,normal,30,30.0,0,0,16.1,redis-cart,redis,16.4,300.0,5.5,0.55,0.0
1,normal,60,60.0,0,0,11.9,frontend,server,481.0,1000.0,48.1,8.02,0.0
1,normal,60,60.0,0,0,11.9,recommendationservice,server,324.3,1200.0,27.0,5.41,0.0
1,normal,60,60.0,0,0,11.9,productcatalogservice,server,302.5,600.0,50.4,5.04,0.0
1,normal,60,60.0,0,0,11.9,currencyservice,server,273.3,800.0,34.2,4.55,0.0
1,normal,60,60.0,0,0,11.9,checkoutservice,checkout,150.7,800.0,18.8,2.51,0.0
1,normal,60,60.0,0,0,11.9,cartservice,server,150.7,560.0,26.9,2.51,0.0
1,normal,60,60.0,0,0,11.9,shippingservice,server,62.8,320.0,19.6,1.05,0.0
1,normal,60,60.0,0,0,11.9,emailservice,email,59.6,200.0,29.8,0.99,0.0
1,normal,60,60.0,0,0,11.9,paymentservice,payment,42.5,200.0,21.3,0.71,0.1
1,normal,60,60.0,0,0,11.9,adservice,server,28.3,300.0,9.4,0.47,0.2
1,normal,60,60.0,0,0,11.9,redis-cart,redis,20.1,300.0,6.7,0.34,0.0
1,normal,90,90.0,0,0,290.2,frontend,server,699.6,1000.0,70.0,7.77,3.6
1,normal,90,90.0,0,0,290.2,productcatalogservice,server,400.0,600.0,66.7,4.44,0.2
1,normal,90,90.0,0,0,290.2,recommendationservice,server,361.4,1200.0,30.1,4.01,0.0
1,normal,90,90.0,0,0,290.2,currencyservice,server,320.9,800.0,40.1,3.57,0.0
1,normal,90,90.0,0,0,290.2,cartservice,server,220.0,560.0,39.3,2.44,0.0
1,normal,90,90.0,0,0,290.2,checkoutservice,checkout,184.9,800.0,23.1,2.05,0.0
1,normal,90,90.0,0,0,290.2,shippingservice,server,84.3,320.0,26.3,0.94,0.0
1,normal,90,90.0,0,0,290.2,emailservice,email,81.2,200.0,40.6,0.9,0.5
1,normal,90,90.0,0,0,290.2,paymentservice,payment,55.8,200.0,27.9,0.62,0.1
