cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cores,softirq_mc_per_iter,k6_cores,tcp_retrans_s,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,throttled,replicas,limit_x,dropped_win,started,replicas_at_window_start,replicas_changed_in_window,browse_rate_target,browse_rate,browse_dropped_win,browse_p50,browse_p99
1,normal,100,100.0,0,0,6.2,454.8,6.12,0.0,16.3,12,0,3.5386,2.73,0.15,0.0,5.1,5.9,8.1,697.4,225.0,207.2,frontend/server=6%;emailservice/email=1%;productcatalogservice/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0
1,normal,100,100.0,0,0,7.3,550.6,8.6,0.0,11.6,15,0,4.4345,3.45,0.19,0.0,5.6,6.3,8.7,752.8,395.8,303.7,frontend/server=16%;productcatalogservice/server=2%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,100,100.0,0,5.5,753.8
1,normal,100,100,75,0,8.1,548.6,8.6,0.0,11.6,15,0,5.2571,4.03,0.22,0.0,6.7,6.9,9.8,738.4,483.6,311.4,frontend/server=14%;productcatalogservice/server=6%;cartservice/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24000,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,200,200.0,0,6.5,747.6
1,normal,100,100.0,33,0,8.7,592.6,11.22,0.0,8.9,18,0,6.3562,5.05,0.28,0.0,7.2,7.6,10.8,791.3,365.5,299.1,productcatalogservice/server=15%;emailservice/email=2%;cartservice/server=1%;frontend/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:3 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:3 redis-cart:1 shippingservice:1,no,300,300.0,0,6.7,797.2
1,frontcatalog,100,100.0,0,0,6.1,451.9,6.12,0.0,16.3,11,0,3.423,2.24,0.14,0.0,5.0,5.8,8.0,671.3,222.0,192.0,frontend/server=5%,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0
1,frontcatalog,100,99.8,58,0,6.8,678.0,8.6,0.0,11.6,13,0,4.2417,2.78,0.18,0.0,5.9,6.2,8.6,858.2,394.5,520.4,frontend/server=7%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,0,57,23943,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,no,100,100,0,6.0,851.3
1,frontcatalog,100,100.0,0,0,7.9,652.6,8.6,0.0,11.6,13,0,5.3024,3.52,0.22,0.0,6.7,6.9,9.9,813.8,237.7,575.9,emailservice/email=2%;frontend/server=2%;frontend/server=2%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,no,200,200.0,0,6.4,824.7
1,frontcatalog,100,100.0,56,0,9.3,638.2,9.77,0.0,10.2,15,0,6.2156,4.17,0.28,0.0,7.8,7.9,11.9,673.0,297.7,793.9,frontend/server=4%;frontend/server=4%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,yes,300,300,0,7.4,738.5
1,frontreco,100,100.0,0,0,6.2,467.4,6.12,0.0,16.3,11,0,3.5351,2.72,0.14,0.0,5.1,5.9,8.1,745.2,207.7,202.8,frontend/server=6%;productcatalogservice/server=2%;emailservice/email=2%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 productcatalogservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 productcatalogservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0
1,frontreco,100,100.0,0,0,7.3,484.6,8.6,0.0,11.6,13,0,4.3978,3.34,0.18,0.0,5.7,6.4,8.7,708.2,394.7,336.9,frontend/server=14%;productcatalogservice/server=2%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,no,100,100.0,0,5.7,714.7
