cycle,arm,target_rate,limit_x,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,normal,100,0,0,adservice,-,,1,0,1,0
1,normal,100,0,0,cartservice,-,,1,0,1,0
1,normal,100,0,0,checkoutservice,checkout,0,1,1,1,0
1,normal,100,0,0,currencyservice,server,0,1,1,1,0
1,normal,100,0,0,emailservice,email,1,1,1,1,0
1,normal,100,0,0,frontend,server,0,1,1,1,0
1,normal,100,0,0,paymentservice,payment,1,1,1,1,0
1,normal,100,0,0,productcatalogservice,server,0,1,1,1,0
1,normal,100,0,0,recommendationservice,-,,,0,1,0
1,normal,100,0,0,redis-cart,-,,1,1,1,0
1,normal,100,0,0,shippingservice,-,,,0,1,0
1,normal,100,0,15,adservice,-,,1,0,1,0
1,normal,100,0,15,cartservice,server,1,1,1,1,0
1,normal,100,0,15,checkoutservice,checkout,0,1,1,1,0
1,normal,100,0,15,currencyservice,server,1,1,1,1,0
1,normal,100,0,15,emailservice,email,1,1,1,1,0
1,normal,100,0,15,frontend,server,2,1,1,1,0
1,normal,100,0,15,paymentservice,payment,8,1,1,1,0
1,normal,100,0,15,productcatalogservice,server,25,1,1,1,0
1,normal,100,0,15,recommendationservice,server,16,1,1,1,0
1,normal,100,0,15,redis-cart,-,,1,1,1,0
1,normal,100,0,15,shippingservice,server,0,1,1,1,0
1,normal,100,0,30,adservice,server,115,1,2,1,0
1,normal,100,0,30,cartservice,server,96,1,1,1,0
1,normal,100,0,30,checkoutservice,checkout,26,1,1,1,0
1,normal,100,0,30,currencyservice,server,70,1,1,1,0
1,normal,100,0,30,emailservice,email,50,1,1,1,0
1,normal,100,0,30,frontend,server,93,1,1,1,0
1,normal,100,0,30,paymentservice,payment,62,1,1,1,0
1,normal,100,0,30,productcatalogservice,server,77,1,1,1,0
1,normal,100,0,30,recommendationservice,server,76,1,1,1,0
1,normal,100,0,30,redis-cart,-,,1,1,1,0
1,normal,100,0,30,shippingservice,server,11,1,1,1,0
1,normal,100,0,46,adservice,server,63,2,2,1,0
1,normal,100,0,46,cartservice,server,87,1,2,1,0
1,normal,100,0,46,checkoutservice,checkout,29,1,1,1,0
1,normal,100,0,46,currencyservice,server,51,1,1,1,0
