cycle,arm,target_rate,time,object,message
1,normal,150,2026-08-19T16:57:29Z,adservice,New size: 2; reason: All metrics below target
1,normal,200,2026-08-19T17:01:59Z,adservice,New size: 2; reason: cpu container resource utilization (percentage of request) above target
1,normal,200,2026-08-19T17:02:00Z,cartservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,normal,200,2026-08-19T17:02:00Z,currencyservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,normal,200,2026-08-19T17:02:00Z,emailservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,normal,200,2026-08-19T17:02:16Z,recommendationservice,New size: 2; reason: cpu container resource utilization (percentage of request) above target
1,normal,200,2026-08-19T17:02:46Z,paymentservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,normal,200,2026-08-19T17:04:15Z,checkoutservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,normal,200,2026-08-19T17:04:16Z,shippingservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,normal,250,2026-08-19T17:08:15Z,cartservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,normal,250,2026-08-19T17:08:15Z,checkoutservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,normal,250,2026-08-19T17:08:16Z,productcatalogservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,normal,250,2026-08-19T17:08:16Z,recommendationservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,normal,250,2026-08-19T17:09:00Z,adservice,New size: 6; reason: cpu container resource utilization (percentage of request) above target
1,normal,250,2026-08-19T17:09:00Z,currencyservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,normal,250,2026-08-19T17:09:46Z,emailservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,normal,250,2026-08-19T17:10:45Z,adservice,New size: 3; reason: All metrics below target
1,normal,250,2026-08-19T17:13:01Z,currencyservice,New size: 3; reason: All metrics below target
1,normal,300,2026-08-19T17:14:30Z,checkoutservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,normal,300,2026-08-19T17:14:31Z,emailservice,New size: 5; reason: cpu container resource utilization (percentage of request) above target
1,normal,300,2026-08-19T17:14:31Z,frontend,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,normal,300,2026-08-19T17:14:31Z,paymentservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,normal,300,2026-08-19T17:14:32Z,recommendationservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,normal,300,2026-08-19T17:14:47Z,shippingservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,normal,300,2026-08-19T17:15:15Z,adservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,normal,300,2026-08-19T17:18:00Z,adservice,New size: 3; reason: All metrics below target
1,frontcatalog,150,2026-08-19T17:23:22Z,adservice,New size: 2; reason: All metrics below target
1,frontcatalog,200,2026-08-19T17:28:08Z,emailservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,200,2026-08-19T17:28:08Z,paymentservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,200,2026-08-19T17:28:37Z,cartservice,New size: 2; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,200,2026-08-19T17:28:52Z,cartservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
