cycle,arm,target_rate,limit_x,time,object,message
1,frontcatalog,200,2026-08-31T17:22:34Z,paymentservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,200,2026-08-31T17:23:03Z,adservice,New size: 2; reason: All metrics below target
1,frontcatalog,200,2026-08-31T17:23:05Z,recommendationservice,New size: 2; reason: All metrics below target
1,frontcatalog,200,2026-08-31T17:23:35Z,shippingservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,200,2026-08-31T17:25:18Z,checkoutservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,250,2026-08-31T17:32:48Z,adservice,New size: 3; reason: All metrics below target
2,frontcatalog,200,2026-08-31T17:39:10Z,emailservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
2,frontcatalog,200,2026-08-31T17:39:26Z,paymentservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
2,frontcatalog,200,2026-08-31T17:39:54Z,adservice,New size: 2; reason: All metrics below target
2,frontcatalog,200,2026-08-31T17:40:55Z,cartservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
2,frontcatalog,250,2026-08-31T17:47:55Z,adservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
3,frontcatalog,200,2026-08-31T17:55:30Z,adservice,New size: 3; reason: All metrics below target
3,frontcatalog,200,2026-08-31T17:58:00Z,cartservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
3,frontcatalog,200,2026-08-31T17:58:01Z,emailservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
3,frontcatalog,200,2026-08-31T17:58:02Z,paymentservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
3,frontcatalog,200,2026-08-31T17:58:15Z,adservice,New size: 2; reason: All metrics below target
3,frontcatalog,200,2026-08-31T17:59:15Z,cartservice,New size: 2; reason: All metrics below target
3,frontcatalog,200,2026-08-31T17:59:32Z,paymentservice,New size: 2; reason: All metrics below target
3,frontcatalog,200,2026-08-31T17:59:46Z,emailservice,New size: 2; reason: All metrics below target
