cycle,arm,target_rate,time,object,message
1,normal,200,2026-08-19T09:21:24Z,adservice,New size: 2; reason: All metrics below target
1,normal,200,2026-08-19T09:23:56Z,shippingservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,normal,200,2026-08-19T09:24:55Z,checkoutservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,200,2026-08-19T09:30:16Z,adservice,New size: 3; reason: All metrics below target
1,frontcatalog,200,2026-08-19T09:31:31Z,adservice,New size: 2; reason: All metrics below target
1,frontcatalog,200,2026-08-19T09:31:46Z,checkoutservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,200,2026-08-19T09:34:02Z,shippingservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontreco,200,2026-08-19T09:39:36Z,adservice,New size: 3; reason: All metrics below target
1,frontreco,200,2026-08-19T09:39:51Z,adservice,New size: 2; reason: All metrics below target
1,frontreco,200,2026-08-19T09:41:22Z,currencyservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontreco,200,2026-08-19T09:41:38Z,shippingservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontreco,200,2026-08-19T09:42:07Z,checkoutservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcart,200,2026-08-19T09:48:33Z,adservice,New size: 3; reason: All metrics below target
1,frontcart,200,2026-08-19T09:49:03Z,adservice,New size: 2; reason: All metrics below target
1,frontcart,200,2026-08-19T09:51:18Z,checkoutservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcart,200,2026-08-19T09:51:20Z,shippingservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
2,normal,200,2026-08-19T09:57:40Z,adservice,New size: 3; reason: All metrics below target
2,normal,200,2026-08-19T09:59:40Z,adservice,New size: 2; reason: All metrics below target
2,frontcatalog,200,2026-08-19T10:07:01Z,adservice,New size: 4; reason: All metrics below target
2,frontcatalog,200,2026-08-19T10:08:31Z,adservice,New size: 2; reason: All metrics below target
2,frontcatalog,200,2026-08-19T10:09:16Z,adservice,New size: 5; reason: cpu container resource utilization (percentage of request) above target
2,frontcatalog,200,2026-08-19T10:11:01Z,adservice,New size: 3; reason: All metrics below target
2,frontreco,200,2026-08-19T10:16:08Z,adservice,New size: 2; reason: All metrics below target
2,frontreco,200,2026-08-19T10:19:55Z,shippingservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
2,frontreco,200,2026-08-19T10:20:24Z,frontend,New size: 3; reason: cpu container resource utilization (percentage of request) above target
2,frontcart,200,2026-08-19T10:25:20Z,adservice,New size: 4; reason: All metrics below target
2,frontcart,200,2026-08-19T10:26:37Z,shippingservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
2,frontcart,200,2026-08-19T10:27:05Z,adservice,New size: 5; reason: cpu container resource utilization (percentage of request) above target
2,frontcart,200,2026-08-19T10:29:05Z,adservice,New size: 3; reason: All metrics below target
2,frontcart,200,2026-08-19T10:30:05Z,adservice,New size: 2; reason: All metrics below target
3,normal,200,2026-08-19T10:34:12Z,adservice,New size: 2; reason: All metrics below target
3,frontcatalog,200,2026-08-19T10:43:20Z,cartservice,New size: 3; reason: All metrics below target
3,frontcatalog,200,2026-08-19T10:43:35Z,adservice,New size: 2; reason: All metrics below target
3,frontcatalog,200,2026-08-19T10:44:21Z,checkoutservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
3,frontcatalog,200,2026-08-19T10:47:07Z,shippingservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
3,frontreco,200,2026-08-19T10:52:27Z,adservice,New size: 2; reason: All metrics below target
3,frontreco,200,2026-08-19T10:55:43Z,frontend,New size: 3; reason: cpu container resource utilization (percentage of request) above target
3,frontcart,200,2026-08-19T11:02:04Z,adservice,New size: 2; reason: All metrics below target
