目標[周/s],構成,サイクル,実測[周/s],取りこぼし窓,取りこぼし全体,p50[ms],p99[ms],商品p50,カートp50,購入p50,ノードCPU[コア秒],softirq[コア秒],k6[コア秒],softirq[ms/周],CPU[コア],予約[コア]
150,分離,1,150.0,0,0,8.0,580.4,6.5,7.2,9.9,687.9,54.0,25.8,3.003,5.73,6.3
150,分離,2,150.0,0,0,8.3,638.3,6.7,7.5,9.9,702.6,54.8,28.0,3.042,5.86,6.3
150,分離,3,150.0,0,0,7.9,617.5,6.5,7.2,9.7,703.1,55.0,24.8,3.058,5.86,6.3
150,front3,1,150.0,0,0,8.0,742.3,6.4,7.0,9.8,685.6,42.2,28.0,2.346,5.71,6.3
150,front3,2,150.0,0,0,8.0,846.1,6.4,7.0,9.7,680.6,42.1,27.8,2.342,5.67,6.3
150,front3,3,150.0,0,0,7.5,913.4,6.1,6.7,9.6,684.3,42.0,27.4,2.333,5.7,6.3
150,mega,1,150.0,0,0,7.0,193.6,5.9,6.3,8.7,627.1,27.2,26.4,1.511,5.23,6.3
150,mega,2,150.0,0,0,7.1,412.1,5.9,6.3,8.7,621.3,26.4,26.7,1.466,5.18,6.3
150,mega,3,150.0,0,0,7.2,558.3,6.0,6.4,8.8,636.8,27.4,26.7,1.521,5.31,6.3
200,分離,1,200.0,0,0,7.9,338.3,6.6,7.3,10.2,897.6,70.5,37.8,2.94,7.48,6.3
200,分離,2,200.0,0,0,8.6,712.6,6.7,7.6,10.4,887.6,68.7,36.8,2.86,7.4,6.3
200,分離,3,200.0,0,0,8.2,652.9,6.6,7.4,10.3,887.3,70.0,36.5,2.918,7.39,6.3
200,front3,1,200.0,0,0,7.9,789.0,6.3,7.1,10.1,867.7,53.5,35.2,2.229,7.23,6.3
200,front3,2,200.0,0,0,8.1,725.8,6.4,7.3,10.2,875.4,54.8,36.6,2.281,7.29,6.3
200,front3,3,200.0,0,0,8.2,792.1,6.4,7.2,10.3,861.2,52.8,31.6,2.198,7.18,6.3
200,mega,1,200.0,0,0,7.7,604.8,6.2,7.0,9.6,823.0,35.9,36.5,1.496,6.86,6.3
200,mega,2,200.0,0,0,8.0,672.3,6.3,7.1,9.7,809.1,35.6,33.2,1.483,6.74,6.3
200,mega,3,200.0,0,0,7.6,511.2,6.2,7.0,9.5,829.3,36.8,36.5,1.534,6.91,6.3
250,分離,1,250.0,0,0,11.6,838.5,8.9,9.9,14.3,1156.8,88.0,48.0,2.932,9.64,6.3
250,分離,2,250.0,0,0,18.5,793.5,13.7,15.1,47.1,1174.8,87.2,47.8,2.906,9.79,6.3
250,分離,3,250.0,0,0,13.6,793.9,10.6,11.9,17.2,1181.4,89.8,48.1,2.992,9.85,6.3
250,front3,1,250.0,0,0,11.4,743.8,8.8,9.9,14.6,1193.3,73.1,48.5,2.436,9.94,6.3
250,front3,2,250.0,0,0,11.6,720.1,9.1,10.4,13.9,1172.1,73.2,44.8,2.442,9.77,6.3
250,front3,3,250.0,0,0,10.7,605.0,8.3,9.5,13.6,1166.1,72.5,43.2,2.416,9.72,6.3
250,mega,1,250.0,0,0,10.6,578.2,8.5,9.6,12.8,1077.8,47.4,46.8,1.579,8.98,6.3
250,mega,2,250.0,0,0,10.5,681.9,8.3,9.4,12.6,1074.7,47.3,43.1,1.577,8.96,6.3
250,mega,3,250.0,0,0,10.3,674.2,8.1,9.1,12.3,1086.9,47.0,47.4,1.568,9.06,6.3
300,分離,1,300.0,0,0,22.8,787.9,18.1,19.8,30.1,1475.6,106.3,58.4,2.953,12.3,6.3
300,分離,2,300.0,0,0,79.1,1246.2,38.7,42.4,714.6,1388.2,103.3,52.8,2.87,11.57,6.3
300,分離,3,300.0,0,33,64.3,787.7,54.2,57.5,80.8,1502.2,108.7,48.9,3.02,12.52,6.3
300,front3,1,300.0,0,57,18.9,980.2,14.3,15.9,33.8,1449.2,88.5,58.5,2.459,12.08,6.3
300,front3,2,300.0,0,129,20.9,839.4,16.5,19.4,27.3,1466.5,87.5,58.9,2.432,12.22,6.3
300,front3,3,300.0,0,14,20.4,1230.1,14.5,16.6,46.4,1425.1,83.9,57.8,2.33,11.88,6.3
300,mega,1,300.0,0,0,17.5,640.7,14.5,16.2,21.0,1388.2,59.8,52.8,1.66,11.57,6.3
300,mega,2,300.0,0,0,16.7,602.4,13.8,15.3,20.1,1416.5,60.4,53.7,1.679,11.8,6.3
300,mega,3,300.0,0,0,16.3,589.2,13.4,14.9,19.6,1455.0,61.7,59.0,1.714,12.12,6.3
350,分離,1,348.5,176,2941,1424.6,4655.3,1399.1,1363.3,1525.0,1672.8,112.0,68.7,2.679,13.94,6.3
350,分離,2,350.0,0,0,74.4,730.4,61.4,72.9,85.4,1605.9,115.1,60.8,2.74,13.38,6.3
350,分離,3,350.0,0,28,303.8,1101.5,279.1,284.7,356.4,1655.6,113.3,66.7,2.697,13.8,6.3
350,分離,4,339.9,1215,2859,2633.5,4200.2,2597.1,2601.5,2729.6,1575.1,111.5,66.9,2.732,13.13,6.3
350,分離,5,350.0,0,70,79.5,966.5,64.6,72.6,103.6,1623.2,108.8,65.0,2.591,13.53,6.3
350,分離,6,349.8,20,136,258.7,1008.1,243.1,247.9,286.1,1549.0,107.4,66.2,2.558,12.91,6.3
350,front3,1,350.0,0,58,61.7,810.9,47.1,55.1,83.3,1615.6,91.9,58.9,2.187,13.46,6.3
350,front3,2,350.0,0,26,65.7,1023.3,42.4,47.5,174.2,1578.0,87.7,61.0,2.087,13.15,6.3
350,front3,3,350.0,0,17,75.2,995.6,63.3,79.5,84.6,1555.4,89.1,65.2,2.122,12.96,6.3
350,front3,4,350.0,0,102,45.7,836.8,37.2,43.6,57.0,1622.1,93.3,66.0,2.222,13.52,6.3
350,front3,5,350.0,0,0,73.6,908.5,51.6,60.4,142.6,1613.3,91.1,66.3,2.169,13.44,6.3
350,front3,6,350.0,0,134,78.8,973.7,54.6,60.7,150.2,1630.3,93.0,66.3,2.214,13.59,6.3
350,mega,1,350.0,0,0,54.2,627.6,48.4,52.4,61.7,1590.5,63.4,67.3,1.51,13.25,6.3
350,mega,2,350.0,0,0,52.3,637.4,46.4,50.6,59.6,1680.1,68.1,61.6,1.621,14.0,6.3
350,mega,3,350.0,0,0,55.2,724.1,49.1,53.8,62.9,1651.2,66.2,61.6,1.577,13.76,6.3
350,mega,4,350.0,0,0,45.8,587.0,40.2,44.1,52.6,1607.4,65.0,65.5,1.548,13.4,6.3
350,mega,5,350.0,0,0,51.3,697.9,45.9,49.5,58.1,1679.3,68.5,67.3,1.63,13.99,6.3
350,mega,6,350.0,0,0,49.6,553.2,44.0,47.9,56.6,1716.0,61.5,66.9,1.465,14.3,6.3
400,分離,1,345.9,6487,9088,4160.5,5752.7,4133.1,4133.6,4198.2,1573.8,111.6,68.8,2.69,13.12,6.3
400,分離,2,388.0,1437,2345,1598.6,3947.5,1562.7,1581.0,1657.4,1679.9,105.5,74.0,2.265,14.0,6.3
400,分離,3,350.1,5986,7593,3122.0,6136.2,3089.3,3088.8,3226.5,1597.2,111.2,69.1,2.648,13.31,6.3
400,分離,4,328.5,8583,14421,2933.0,7307.1,3236.0,2351.6,3254.2,1551.5,109.3,64.8,2.772,12.93,6.3
400,分離,5,399.0,125,135,279.5,1403.1,240.4,256.8,353.4,1623.3,100.5,72.4,2.099,13.53,6.3
400,分離,6,358.4,4992,6734,2644.4,8198.0,2215.1,2190.4,3587.6,1608.5,112.6,70.8,2.617,13.4,6.3
400,front3,1,399.8,29,152,233.6,1368.4,186.0,204.6,342.5,1715.0,90.5,71.5,1.886,14.29,6.3
400,front3,2,398.8,148,174,266.4,1607.7,119.6,129.1,875.0,1719.9,91.0,73.1,1.9,14.33,6.3
400,front3,3,400.0,0,0,170.3,827.1,147.8,191.1,174.5,1688.3,88.0,70.5,1.833,14.07,6.3
400,front3,4,399.2,97,98,202.3,1279.6,172.3,188.9,254.0,1709.8,90.9,67.1,1.897,14.25,6.3
400,front3,5,399.6,47,75,358.9,1324.5,227.3,251.7,671.3,1758.5,90.8,66.0,1.893,14.65,6.3
400,front3,6,399.4,72,294,308.9,1879.8,195.7,208.5,877.4,1725.8,91.2,68.9,1.904,14.38,6.3
400,mega,1,400.0,0,0,249.1,807.1,237.5,248.8,262.4,1737.0,66.9,70.0,1.394,14.47,6.3
400,mega,2,400.0,0,0,301.4,909.6,288.2,299.7,316.0,1675.2,63.8,66.3,1.328,13.96,6.3
400,mega,3,399.6,50,50,317.8,992.6,305.3,317.5,330.6,1790.9,68.8,61.9,1.435,14.92,6.3
400,mega,4,400.0,0,0,251.5,799.7,239.9,251.0,264.8,1767.0,65.6,65.3,1.366,14.72,6.3
400,mega,5,400.0,0,0,324.9,814.0,312.7,323.5,338.2,1815.7,68.9,73.1,1.436,15.13,6.3
400,mega,6,400.0,0,0,315.7,862.1,304.8,315.1,327.9,1704.4,64.5,72.4,1.343,14.2,6.3
450,分離,1,375.8,8908,14764,2804.5,6125.3,2745.6,2759.0,2898.6,1684.6,113.0,69.4,2.506,14.04,6.3
450,分離,2,354.6,11449,14855,2690.0,7479.2,2573.8,2573.0,3125.0,1456.8,107.3,66.5,2.521,12.14,6.3
450,分離,3,392.3,6929,8299,2328.2,5587.1,2151.5,2259.3,2467.2,1652.5,112.2,74.1,2.384,13.77,6.3
450,分離,4,344.0,12721,17800,2764.6,6963.0,2581.6,2260.0,3432.6,1524.5,109.0,55.5,2.64,12.7,6.3
450,分離,5,363.0,10444,11846,2090.6,6927.3,2033.0,2066.1,2177.3,1568.2,108.0,63.1,2.479,13.07,6.3
450,分離,6,327.7,14673,24621,4147.3,6682.4,4079.5,4062.6,4315.6,1487.7,109.5,62.6,2.784,12.4,6.3
450,front3,1,439.9,1216,2298,1511.5,3223.8,1357.4,1417.9,1742.0,1774.4,89.2,78.9,1.689,14.79,6.3
450,front3,2,435.4,1749,3144,1273.9,9908.7,1006.7,1006.7,4016.4,1775.7,90.8,80.4,1.738,14.8,6.3
450,front3,3,449.9,12,359,508.0,1188.6,459.0,614.6,473.4,1730.5,83.0,71.4,1.537,14.42,6.3
450,front3,4,439.5,1255,2115,1313.2,2832.7,1219.7,1237.7,1545.8,1776.9,90.3,78.6,1.712,14.81,6.3
