cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cores,softirq_mc_per_iter,replicas
1,normal,200,200.0,0,0,321.2,922.0,3.0,0.0,66.7,18,0,6.2315,1.91,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1
1,frontcatalog,200,200.0,119,0,9.2,633.9,3.0,0.0,66.7,17,0,6.7332,2.29,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1
1,frontreco,200,200.0,7,0,406.1,1072.0,3.0,0.0,66.7,17,0,6.1104,1.85,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1
1,frontcart,200,200.0,37,0,179.1,803.0,3.0,0.0,66.7,18,0,6.4047,2.14,adservice:1 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1
2,normal,200,200.0,0,0,261.7,791.1,3.0,0.0,66.7,19,0,6.4739,2.11,adservice:2 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1
2,frontcatalog,200,200,20,0,395.6,1010.9,3.0,0.0,66.7,17,0,6.1397,1.67,adservice:2 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1
2,frontreco,200,200.0,18,0,317.4,1023.5,3.0,0.0,66.7,16,0,6.1227,1.9,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1
2,frontcart,200,200.0,34,0,265.6,966.5,3.0,0.0,66.7,16,0,6.2333,1.94,adservice:1 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1
3,normal,200,200.0,22,0,122.4,873.4,3.0,0.0,66.7,19,0,6.5551,2.29,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:1
3,frontcatalog,200,199.8,39,0,54.6,872.5,3.0,0.0,66.6,19,0,6.5913,2.12,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 recommendationservice:2 redis-cart:1 shippingservice:1
3,frontreco,200,199.4,160,0.0018,260.3,1390.6,3.0,0.0,66.5,17,0,6.4572,2.22,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 productcatalogservice:3 redis-cart:1 shippingservice:1
3,frontcart,200,199.8,46,0,363.3,1091.5,3.0,0.0,66.6,19,0,6.283,1.93,adservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1
