cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cores,softirq_mc_per_iter,k6_cores,tcp_retrans_s,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,throttled,replicas,limit_x
1,frontcatalog,250,250.0,0,0,12.3,716.4,12.89,0.0,19.4,31,0,9.6462,2.53,0.39,0.0,9.3,10.4,15.2,723.6,313.5,915.9,frontend/server=10%;frontend/server=8%;paymentservice/payment=8%;emailservice/email=4%;emailservice/email=4%,adservice:3 cartservice:4 checkoutservice:3 currencyservice:3 emailservice:4 frontend:3 paymentservice:4 recommendationservice:3 redis-cart:1 shippingservice:3,0
1,frontcatalog,300,300.0,0,0,252.3,1024.6,14.02,2.76,21.4,34,4,11.868,2.59,0.47,0.0,237.0,217.3,294.6,792.7,581.1,1321.0,emailservice/email=52%;paymentservice/payment=19%;emailservice/email=5%;cartservice/server=2%;frontend/server=2%,adservice:4 cartservice:4 checkoutservice:4 currencyservice:3 emailservice:4 frontend:3 paymentservice:4 recommendationservice:4 redis-cart:1 shippingservice:3,0
1,frontcatalog,250,241.9,3576,0,3168.3,5922.7,11.2,0.84,21.6,27,2,9.1218,2.47,0.39,0.0,3278.6,3125.5,3135.9,5912.5,5926.0,5928.3,,adservice:3 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:3 frontend:3 paymentservice:3 recommendationservice:0 redis-cart:1 shippingservice:3,10
1,frontcatalog,300,237.0,24097,0,5951.8,6389.7,12.8,0.0,18.5,30,0,8.7459,2.44,0.38,0.1,5953.6,5954.3,5946.3,6486.9,6390.9,6359.7,emailservice/email=2%,adservice:3 cartservice:4 checkoutservice:3 currencyservice:3 emailservice:4 frontend:3 paymentservice:3 recommendationservice:3 redis-cart:1 shippingservice:3,10
2,frontcatalog,250,247.6,1555,0,33.1,3459.8,12.32,0.0,20.1,28,0,8.8123,2.37,0.39,0.1,20.8,22.1,135.7,2852.2,2854.5,3721.0,emailservice/email=43%;frontend/server=14%;frontend/server=13%;frontend/server=9%;paymentservice/payment=2%,adservice:3 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:3 paymentservice:3 recommendationservice:3 redis-cart:1 shippingservice:3,0
2,frontcatalog,300,300.0,8,0,26.1,1709.4,13.41,2.48,22.4,32,2,11.1336,2.43,0.43,0.1,14.1,16.1,977.2,773.1,326.9,1799.6,emailservice/email=94%;emailservice/email=65%;paymentservice/payment=6%;frontend/server=5%;cartservice/server=3%,adservice:3 cartservice:4 checkoutservice:3 currencyservice:4 emailservice:4 frontend:3 paymentservice:4 recommendationservice:3 redis-cart:1 shippingservice:3,0
2,frontcatalog,250,250,0,0,11.2,23.4,12.89,0.0,19.4,31,0,9.9084,2.58,0.39,0.0,8.9,10.7,14.5,16.8,20.3,26.7,,adservice:3 cartservice:4 checkoutservice:3 currencyservice:3 emailservice:4 frontend:3 paymentservice:4 recommendationservice:3 redis-cart:1 shippingservice:3,10
2,frontcatalog,300,300.0,88,0,305.3,750.7,14.14,2.84,21.2,37,3,12.5749,2.77,0.48,0.0,302.5,304.4,309.9,748.3,748.3,753.8,,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:5 frontend:3 paymentservice:5 recommendationservice:3 redis-cart:1 shippingservice:4,10
3,frontcatalog,250,245.9,2519,0,332.0,4378.6,12.53,0.0,19.6,30,0,9.303,2.49,0.4,0.1,337.3,244.9,446.2,4258.1,4269.3,4968.9,emailservice/email=26%;emailservice/email=15%;paymentservice/payment=12%;frontend/server=5%;frontend/server=4%,adservice:3 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:4 frontend:3 paymentservice:4 recommendationservice:3 redis-cart:1 shippingservice:3,0
3,frontcatalog,300,299.8,94,0,343.8,1651.6,13.86,2.48,21.6,34,2,11.4846,2.5,0.44,0.2,284.5,273.1,746.8,784.0,598.7,1880.5,emailservice/email=93%;paymentservice/payment=5%;adservice/server=4%;cartservice/server=2%;cartservice/server=2%,adservice:3 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:3 paymentservice:4 recommendationservice:3 redis-cart:1 shippingservice:4,0
3,frontcatalog,250,236.3,4623,0,3697.5,6734.7,11.2,0.0,21.1,27,0,8.8776,2.44,0.39,0.1,3724.9,3701.9,3639.7,6743.3,6719.9,6736.8,,adservice:3 cartservice:4 checkoutservice:3 currencyservice:3 emailservice:3 frontend:3 paymentservice:3 recommendationservice:1 redis-cart:1 shippingservice:3,10
3,frontcatalog,300,262.0,17367,0,3760.1,6650.3,11.2,0.0,23.4,27,0,9.2084,2.25,0.37,0.0,3667.7,3739.8,3885.3,6611.6,6676.7,6622.7,,adservice:3 cartservice:4 checkoutservice:3 currencyservice:3 emailservice:4 frontend:3 paymentservice:3 recommendationservice:0 redis-cart:1 shippingservice:3,10
