cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cpu_sec,softirq_cpu_sec,k6_cpu_sec,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,replicas,limit_x,dropped_win,started,replicas_at_window_start,replicas_changed_in_window,browse_rate_target,browse_rate,browse_dropped_win,browse_p50,browse_p99,rs_scale,limit_scale,reserved_core_sec,pending_core_sec,reserved_avg_cores,n_samples
1,normal,150,150,0,0,8.0,580.4,6.3,0.0,23.8,41,0,687.9,54.05,25.81,6.5,7.2,9.9,681.2,173.0,639.8,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,0,0,18000,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,normal,200,200.0,0,0,7.9,338.3,6.3,0.0,31.7,41,0,897.6,70.55,37.78,6.6,7.3,10.2,500.4,126.2,472.7,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,0,0,24001,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,normal,250,250.0,0,0,11.6,838.5,6.3,0.0,39.7,41,0,1156.8,87.97,48.03,8.9,9.9,14.3,720.9,234.8,1156.9,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,0,0,30001,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,normal,300,300.0,0,0,22.8,787.9,6.3,0.0,47.6,41,0,1475.6,106.32,58.44,18.1,19.8,30.1,790.9,348.9,875.5,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,0,0,36001,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,frontrecocatalog,150,150.0,0,0,8.0,742.3,6.3,0.0,23.8,33,0,685.6,42.23,28.02,6.4,7.0,9.8,825.2,131.9,733.5,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,0,0,18001,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,frontrecocatalog,200,200.0,0,0,7.9,789.0,6.3,0.0,31.7,33,0,867.7,53.49,35.19,6.3,7.1,10.1,753.5,203.1,1243.6,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,0,0,24001,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,frontrecocatalog,250,250.0,0,0,11.4,743.8,6.3,0.0,39.7,33,0,1193.3,73.09,48.49,8.8,9.9,14.6,747.8,190.3,843.3,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,0,0,30001,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,frontrecocatalog,300,300,57,0,18.9,980.2,6.3,0.0,47.6,33,0,1449.2,88.52,58.45,14.3,15.9,33.8,808.2,298.5,1246.0,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,0,0,36000,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,mega,150,150,0,0,7.0,193.6,6.3,0.0,23.8,5,0,627.1,27.2,26.45,5.9,6.3,8.7,633.5,97.2,98.4,megapod:4 redis-cart:1,0,0,18000,megapod:4 redis-cart:1,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,mega,200,200,0,0,7.7,604.8,6.3,0.0,31.7,5,0,823.0,35.91,36.51,6.2,7.0,9.6,764.5,220.0,235.8,megapod:4 redis-cart:1,0,0,24000,megapod:4 redis-cart:1,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
