cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cpu_sec,softirq_cpu_sec,k6_cpu_sec,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,replicas,limit_x,dropped_win,started,replicas_at_window_start,replicas_changed_in_window,browse_rate_target,browse_rate,browse_dropped_win,browse_p50,browse_p99,rs_scale,limit_scale,reserved_core_sec,pending_core_sec,reserved_avg_cores,n_samples
1,normal,350,348.5,2941,0,1424.6,4655.3,6.3,0.0,55.3,41,0,1672.8,112.04,68.7,1399.1,1363.3,1525.0,4670.9,4556.8,4945.4,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,0,176,41824,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:2 redis-cart:1 shippingservice:4,yes,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,normal,400,345.9,9088,0,4160.5,5752.7,6.3,0.0,54.9,41,0,1573.8,111.64,68.78,4133.1,4133.6,4198.2,5653.1,5682.4,6400.3,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,0,6487,41513,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:1 redis-cart:1 shippingservice:4,yes,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,normal,450,375.8,14764,0,2804.5,6125.3,6.3,0.0,59.6,41,0,1684.6,112.99,69.4,2745.6,2759.0,2898.6,6048.7,6025.0,6364.9,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,0,8908,45092,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:1 redis-cart:1 shippingservice:4,yes,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,frontrecocatalog,350,350.0,58,0,61.7,810.9,6.3,0.0,55.6,33,0,1615.6,91.87,58.93,47.1,55.1,83.3,672.2,363.1,1035.7,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,0,0,42001,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,frontrecocatalog,400,399.8,152,0,233.6,1368.4,6.3,0.0,63.5,33,0,1715.0,90.47,71.47,186.0,204.6,342.5,841.7,576.9,1649.4,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,0,29,47971,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,frontrecocatalog,450,439.9,2298,0.0003,1511.5,3223.8,6.3,0.0,69.8,33,0,1774.4,89.18,78.89,1357.4,1417.9,1742.0,2676.7,2712.5,3762.0,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,0,1216,52784,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,mega,350,350.0,0,0,54.2,627.6,6.3,0.0,55.6,5,0,1590.5,63.41,67.31,48.4,52.4,61.7,769.1,453.9,514.4,megapod:4 redis-cart:1,0,0,42001,megapod:4 redis-cart:1,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,mega,400,400.0,0,0,249.1,807.1,6.3,0.0,63.5,5,0,1737.0,66.92,69.97,237.5,248.8,262.4,846.3,522.0,1134.1,megapod:4 redis-cart:1,0,0,48001,megapod:4 redis-cart:1,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
1,mega,450,437.4,2998,0.0014,1662.1,3826.8,6.3,0.0,69.4,5,0,1827.8,67.69,80.28,1606.8,1612.9,1751.4,3809.1,3836.6,3834.2,megapod:4 redis-cart:1,0,1506,52494,megapod:0 redis-cart:1,yes,0,0,0,0,0,1,0,756.0,0.0,6.300,8
2,normal,350,350.0,0,0,74.4,730.4,6.3,0.0,55.6,41,0,1605.9,115.07,60.8,61.4,72.9,85.4,745.4,645.0,865.6,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,0,0,42001,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
2,normal,400,388.0,2345,0,1598.6,3947.5,6.3,0.0,61.6,41,0,1679.9,105.45,74.02,1562.7,1581.0,1657.4,3784.6,3813.0,4454.8,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,0,1437,46563,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:3 redis-cart:1 shippingservice:4,yes,0,0,0,0,0,1,0,756.0,0.0,6.300,8
2,normal,450,354.6,14855,0,2690.0,7479.2,6.3,0.0,56.3,41,0,1456.8,107.27,66.46,2573.8,2573.0,3125.0,6306.9,6290.1,8364.0,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:3 redis-cart:1 shippingservice:4,0,11449,42551,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:1 redis-cart:1 shippingservice:4,yes,0,0,0,0,0,1,0,756.0,0.0,6.300,8
2,frontrecocatalog,350,350.0,26,0,65.7,1023.3,6.3,0.0,55.6,33,0,1578.0,87.67,61.05,42.4,47.5,174.2,755.0,395.6,1306.0,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,0,0,42001,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
2,frontrecocatalog,400,398.8,174,0,266.4,1607.7,6.3,0.0,63.3,33,0,1719.9,90.95,73.09,119.6,129.1,875.0,753.7,562.8,1837.9,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,0,148,47852,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
2,frontrecocatalog,450,435.4,3144,0,1273.9,9908.7,6.3,0.0,69.1,33,0,1775.7,90.81,80.43,1006.7,1006.7,4016.4,1839.8,1872.2,13014.3,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:3 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,0,1749,52251,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:3 frontend:3 paymentservice:4 redis-cart:1 shippingservice:4,yes,0,0,0,0,0,1,0,756.0,0.0,6.300,8
2,mega,350,350.0,0,0,52.3,637.4,6.3,0.0,55.6,5,0,1680.1,68.08,61.56,46.4,50.6,59.6,796.3,387.3,455.7,megapod:4 redis-cart:1,0,0,42001,megapod:4 redis-cart:1,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
2,mega,400,400.0,0,0,301.4,909.6,6.3,0.0,63.5,5,0,1675.2,63.75,66.32,288.2,299.7,316.0,843.0,525.1,1179.8,megapod:4 redis-cart:1,0,0,48001,megapod:4 redis-cart:1,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
2,mega,450,436.8,2931,0.0016,1634.0,4022.5,6.3,0.0,69.3,5,0,1825.4,67.84,79.51,1577.6,1620.7,1695.5,3954.9,3987.0,4268.2,megapod:4 redis-cart:1,0,1582,52418,megapod:2 redis-cart:1,yes,0,0,0,0,0,1,0,756.0,0.0,6.300,8
3,normal,350,350,28,0,303.8,1101.5,6.3,0.0,55.6,41,0,1655.6,113.27,66.73,279.1,284.7,356.4,897.8,825.7,1328.3,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,0,0,42000,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
3,normal,400,350.1,7593,0,3122.0,6136.2,6.3,0.0,55.6,41,0,1597.2,111.24,69.11,3089.3,3088.8,3226.5,6056.0,6106.4,6496.1,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,0,5986,42014,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:2 redis-cart:1 shippingservice:4,yes,0,0,0,0,0,1,0,756.0,0.0,6.300,8
3,normal,450,392.3,8299,0,2328.2,5587.1,6.3,0.0,62.3,41,0,1652.5,112.25,74.1,2151.5,2259.3,2467.2,5510.6,5521.5,5747.8,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,0,6929,47071,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 productcatalogservice:4 recommendationservice:2 redis-cart:1 shippingservice:4,yes,0,0,0,0,0,1,0,756.0,0.0,6.300,8
3,frontrecocatalog,350,350.0,17,0,75.2,995.6,6.3,0.0,55.6,33,0,1555.4,89.11,65.22,63.3,79.5,84.6,933.6,461.8,1429.9,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,0,0,42001,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
3,frontrecocatalog,400,400,0,0,170.3,827.1,6.3,0.0,63.5,33,0,1688.3,88.0,70.55,147.8,191.1,174.5,764.9,563.6,1029.0,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,0,0,48000,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
3,frontrecocatalog,450,449.9,359,0,508.0,1188.6,6.3,0.0,71.4,33,0,1730.5,82.96,71.36,459.0,614.6,473.4,989.1,950.5,1531.4,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,0,12,53988,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:4 frontend:4 paymentservice:4 redis-cart:1 shippingservice:4,no,0,0,0,0,0,1,0,756.0,0.0,6.300,8
