cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cores,softirq_mc_per_iter,replicas
1,normal,150,150.0,0,0,7.9,821.2,8.23,0.0,18.2,21,0,5.4083,2.86,adservice:2 cartservice:2 checkoutservice:2 currencyservice:2 emailservice:2 frontend:2 paymentservice:2 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:2
1,normal,200,200.0,0,0,9.3,672.4,9.77,0.0,20.5,27,0,7.2277,2.83,adservice:2 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:2 paymentservice:3 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:3
1,normal,250,250.0,446,0,14.7,707.5,13.33,0.0,18.8,34,0,9.3413,2.82,adservice:3 cartservice:4 checkoutservice:3 currencyservice:4 emailservice:4 frontend:3 paymentservice:3 productcatalogservice:3 recommendationservice:3 redis-cart:1 shippingservice:3
1,normal,300,299.9,88,0,380.8,1202.3,13.98,1.82,21.4,38,2,11.8741,2.95,adservice:3 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:5 frontend:3 paymentservice:4 productcatalogservice:3 recommendationservice:3 redis-cart:1 shippingservice:4
1,frontcatalog,150,150.0,0,0,7.1,436.4,8.23,0.0,18.2,19,0,5.2339,2.34,adservice:2 cartservice:2 checkoutservice:2 currencyservice:2 emailservice:2 frontend:2 paymentservice:2 recommendationservice:2 redis-cart:1 shippingservice:2
1,frontcatalog,200,200.0,0,0,7.8,441.3,9.77,0.0,20.5,25,0,7.1436,2.41,adservice:2 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:2 paymentservice:3 recommendationservice:2 redis-cart:1 shippingservice:3
1,frontcatalog,250,244.7,2058,0,2377.5,3998.3,10.96,0.0,22.3,27,0,8.7922,2.38,adservice:3 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:4 frontend:3 paymentservice:3 recommendationservice:0 redis-cart:1 shippingservice:3
1,frontcatalog,300,245.6,16267,0,5619.5,6626.2,10.84,0.0,22.7,26,0,8.2582,2.26,adservice:3 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:3 paymentservice:3 recommendationservice:0 redis-cart:1 shippingservice:3
1,frontreco,150,150,0,0,7.4,489.0,8.23,0.0,18.2,19,0,5.3152,2.8,adservice:2 cartservice:2 checkoutservice:2 currencyservice:2 emailservice:2 frontend:2 paymentservice:2 productcatalogservice:2 redis-cart:1 shippingservice:2
1,frontreco,200,200,0,0,7.9,513.6,11.59,0.0,17.3,26,0,7.1459,2.82,adservice:2 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:3 paymentservice:3 productcatalogservice:2 redis-cart:1 shippingservice:3
