cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cpu_sec,softirq_cpu_sec,k6_cpu_sec,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,replicas,limit_x,dropped_win,started,replicas_at_window_start,replicas_changed_in_window,browse_rate_target,browse_rate,browse_dropped_win,browse_p50,browse_p99,rs_scale,limit_scale,reserved_core_sec,pending_core_sec,reserved_avg_cores,n_samples
1,normal,100,100.0,0,0,6.2,465.5,5.98,0.0,16.7,12,0,831.7,66.27,33.21,5.1,5.9,8.1,727.7,254.0,202.7,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1434.7,0.0,5.978,16
1,normal,100,100.0,0,0,7.2,530.5,8.04,0.0,12.4,15,0,1004.2,77.37,44.71,6.0,6.4,8.6,738.7,380.9,295.0,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,yes,100,100.0,0,6.0,739.1,1,0,1919.5,0.0,7.998,16
1,normal,100,100.0,27,0,8.9,652.7,10.04,0.0,10.0,17,0,1299.0,105.09,59.98,6.5,7.0,10.1,860.3,447.7,432.9,adservice:1 cartservice:1 checkoutservice:2 currencyservice:2 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 checkoutservice:2 currencyservice:2 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,200,200.0,0,6.4,847.8,1,0,2409.1,0.0,10.038,16
1,normal,100,99.6,572,0,1350.6,2014.0,11.68,0.0,8.5,19,0,1681.9,136.22,79.83,1350.1,1341.0,1362.3,1966.8,1934.1,2084.2,adservice:1 cartservice:2 checkoutservice:2 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,105,23895,adservice:1 cartservice:2 checkoutservice:2 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,yes,300,299.7,72,1351.5,1971.4,1,0,2802.0,0.0,11.675,16
1,frontemail,100,100,0,0,6.2,443.5,7.05,0.0,14.2,11,0,841.6,66.15,33.31,5.1,5.8,8.0,687.3,206.1,206.0,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24000,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1693.2,0.0,7.055,16
1,frontemail,100,100.0,0,0,7.0,477.0,8.04,0.0,12.4,13,0,1002.6,79.19,44.61,6.3,6.2,8.7,779.5,324.6,276.4,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,no,100,100.0,0,6.3,780.9,1,0,1929.1,0.0,8.038,16
1,frontemail,100,100.0,80,0,238.5,900.9,11.79,0.0,8.5,17,0,1434.3,115.15,65.13,251.2,236.2,228.0,906.1,881.4,923.1,adservice:1 cartservice:2 checkoutservice:2 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,11,23989,adservice:1 cartservice:1 checkoutservice:2 currencyservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,yes,200,200,0,252.9,908.3,1,0,2743.1,0.0,11.430,16
1,frontemail,100,99.5,1789,0,10.2,3917.5,11.79,0.0,8.4,17,0,1476.1,121.37,69.11,8.2,8.3,12.4,3917.1,3917.9,3917.2,adservice:1 cartservice:2 checkoutservice:2 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,110,23890,adservice:1 cartservice:2 checkoutservice:2 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,yes,300,299.8,50,7.6,3925.1,1,0,2830.6,0.0,11.794,16
1,frontcheckout,100,100.0,0,0,6.1,338.0,5.98,0.0,16.7,11,0,826.3,65.34,32.36,5.1,5.8,8.0,627.9,207.7,209.4,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1434.7,0.0,5.978,16
1,frontcheckout,100,100.0,0,0,7.3,514.5,8.04,0.0,12.4,13,0,1027.8,78.63,46.09,5.6,6.3,8.6,751.9,392.9,302.8,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,no,100,100.0,0,5.5,747.8,1,0,1929.1,0.0,8.038,16
