cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cpu_sec,softirq_cpu_sec,k6_cpu_sec,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,replicas,limit_x,dropped_win,started,replicas_at_window_start,replicas_changed_in_window,browse_rate_target,browse_rate,browse_dropped_win,browse_p50,browse_p99,rs_scale,limit_scale,reserved_core_sec,pending_core_sec,reserved_avg_cores,n_samples
1,normal,100,100,0,0,6.2,470.2,5.98,0.0,16.7,12,0,846.6,66.22,34.18,5.1,5.9,8.1,710.0,252.0,203.8,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24000,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1434.7,0.0,5.978,16
1,normal,150,150.0,0,0,9.1,530.7,8.04,0.0,18.7,15,0,1254.6,95.04,56.16,6.8,7.8,10.1,701.7,400.5,388.7,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,36001,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1929.1,0.0,8.038,16
1,normal,200,200.0,0,0,259.4,867.1,12.12,0.0,16.5,21,0,1704.6,138.37,72.83,266.2,254.6,257.8,871.1,814.6,953.4,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 emailservice:3 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48001,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 emailservice:3 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,2907.6,0.0,12.115,16
1,normal,250,239.4,5382,0,4495.9,7408.1,12.78,0.0,18.7,22,0,1873.2,147.79,82.54,4248.5,4231.6,4923.3,6975.3,7011.1,7930.9,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 emailservice:3 frontend:3 paymentservice:1 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:1,0,2550,57450,adservice:1 cartservice:2 checkoutservice:2 currencyservice:2 emailservice:3 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,2908.5,0.0,12.119,16
1,frontemail,100,100.0,0,0,6.2,464.3,7.05,0.0,14.2,11,0,838.6,66.62,35.05,5.1,5.8,8.0,706.3,285.9,230.7,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1722.1,0.0,7.175,16
1,frontemail,150,150,0,0,8.0,607.3,8.6,0.0,17.4,14,0,1279.3,103.53,53.17,6.3,7.0,9.3,758.0,493.7,484.1,adservice:1 cartservice:2 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,36000,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,1971.1,0.0,8.213,16
1,frontemail,200,200.0,8,0,197.4,964.9,11.79,0.0,17.0,17,0,1706.0,135.77,75.56,203.3,195.9,193.6,959.2,929.2,1024.7,adservice:1 cartservice:2 checkoutservice:2 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,7,47993,adservice:1 cartservice:2 checkoutservice:2 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,2830.6,0.0,11.794,16
1,frontemail,250,244.8,2388,0,2882.9,4700.6,12.98,0.0,18.9,20,0,1944.6,156.45,88.84,2810.4,2792.0,3071.5,4032.2,4045.2,5386.8,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:1,0,1245,58755,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,3114.5,0.0,12.977,16
1,frontcheckout,100,100.0,0,0,6.2,426.9,7.38,0.0,13.6,12,0,852.6,66.57,33.27,5.1,5.8,8.0,670.0,268.9,226.2,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,1623.5,0.0,6.764,16
1,frontcheckout,150,150.0,0,0,9.1,618.0,8.04,0.0,18.7,13,0,1256.1,93.58,53.41,6.9,7.8,10.0,771.5,490.5,486.9,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,36001,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1929.1,0.0,8.038,16
1,frontcheckout,200,200.0,59,0,10.3,578.3,12.12,0.0,16.5,18,0,1653.7,134.31,71.77,7.5,8.6,11.5,810.8,490.8,529.7,adservice:1 cartservice:2 currencyservice:2 emailservice:3 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48001,adservice:1 cartservice:2 currencyservice:2 emailservice:3 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,2907.6,0.0,12.115,16
1,frontcheckout,250,241.8,3306,0,3559.0,5429.3,12.98,0.0,18.6,20,0,2009.3,157.34,91.07,3520.0,3484.5,3644.0,5412.0,5416.7,5767.3,adservice:1 cartservice:2 currencyservice:2 emailservice:3 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:1,0,1965,58035,adservice:1 cartservice:2 currencyservice:2 emailservice:3 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,3114.5,0.0,12.977,16
1,checkoutemail,100,100,0,0,6.1,384.8,6.3,0.0,15.9,11,0,821.1,65.7,32.96,5.1,5.8,8.0,640.7,185.2,167.6,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24000,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1511.8,0.0,6.299,16
1,checkoutemail,150,150,0,0,8.6,661.6,8.04,0.0,18.7,13,0,1235.2,93.03,54.61,6.5,7.3,9.6,872.9,505.3,540.8,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,36000,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1929.1,0.0,8.038,16
