cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cores,softirq_mc_per_iter,replicas
1,normal,200,200.0,0,0,10.2,834.8,9.77,0.0,20.5,27,0,7.0926,2.74,adservice:2 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:2 paymentservice:3 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:3
1,frontcatalog,200,200.0,0,0,9.8,777.4,9.77,0.0,20.5,25,0,6.9531,2.35,adservice:2 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:2 paymentservice:3 recommendationservice:2 redis-cart:1 shippingservice:3
1,frontreco,200,200.0,0,0,8.5,752.6,9.77,0.0,20.5,25,0,7.1756,2.75,adservice:2 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:2 paymentservice:3 productcatalogservice:2 redis-cart:1 shippingservice:3
1,frontcart,200,200.0,0,0,9.6,730.3,10.85,0.0,18.4,25,0,7.1807,2.73,adservice:2 checkoutservice:3 currencyservice:3 emailservice:3 frontend:3 paymentservice:3 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:3
2,normal,200,200.0,0,0,10.3,702.0,8.8,0.0,22.7,24,0,6.824,2.69,adservice:2 cartservice:3 checkoutservice:2 currencyservice:2 emailservice:3 frontend:2 paymentservice:3 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:2
2,frontcatalog,200,200.0,0,0,9.8,692.9,9.84,0.0,20.3,26,0,7.3903,2.44,adservice:3 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:2 paymentservice:3 recommendationservice:2 redis-cart:1 shippingservice:3
2,frontreco,200,200.0,0,0,8.9,638.2,8.93,0.0,22.4,23,0,6.9493,2.67,adservice:2 cartservice:3 checkoutservice:2 currencyservice:2 emailservice:3 frontend:2 paymentservice:3 productcatalogservice:2 redis-cart:1 shippingservice:3
2,frontcart,200,200.0,0,0,10.1,692.4,10.92,0.0,18.3,26,0,7.2077,2.73,adservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:3 paymentservice:3 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:3
3,normal,200,200.0,0,0,8.8,685.4,9.77,0.0,20.5,27,0,7.1076,2.74,adservice:2 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:2 paymentservice:3 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:3
3,frontcatalog,200,200.0,0,0,8.1,619.7,9.77,0.0,20.5,25,0,7.1351,2.39,adservice:2 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:2 paymentservice:3 recommendationservice:2 redis-cart:1 shippingservice:3
3,frontreco,200,200.0,0,0,8.9,570.0,11.59,0.0,17.3,26,0,7.2338,2.75,adservice:2 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:3 paymentservice:3 productcatalogservice:2 redis-cart:1 shippingservice:3
