cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cores,softirq_mc_per_iter,k6_cores,tcp_retrans_s,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,throttled,replicas,limit_x,dropped_win,started
1,normal,150,150.0,0,0,8.9,744.3,8.6,0.0,17.4,15,0,5.221,2.55,0.24,0.0,6.7,7.6,9.9,803.1,444.9,911.3,frontend/server=36%;emailservice/email=3%;productcatalogservice/server=3%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,36001
1,normal,200,200.0,14,0,401.1,968.7,11.78,0.0,17.0,20,0,7.5301,2.96,0.33,0.0,406.3,391.6,406.0,902.0,851.5,1113.0,productcatalogservice/server=86%;emailservice/email=6%;frontend/server=5%;frontend/server=4%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:3 redis-cart:1 shippingservice:1,0,0,48001
1,normal,250,250.0,2225,0,19.4,627.9,12.65,0.0,19.8,22,0,8.2539,2.47,0.34,0.0,15.8,18.1,24.3,723.4,382.3,623.9,productcatalogservice/server=68%;emailservice/email=23%;paymentservice/payment=12%;cartservice/server=10%;frontend/server=7%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:3 redis-cart:1 shippingservice:1,0,0,60001
1,frontcatalog,150,150.0,0,0,8.0,546.8,8.6,0.0,17.4,13,0,5.0179,2.2,0.22,0.0,6.1,6.7,9.2,758.0,477.2,397.7,frontend/server=24%;emailservice/email=2%;frontend/productcatalog=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,36001
1,frontcatalog,200,200.0,0,0,9.1,649.7,9.96,0.0,20.1,16,0,6.8009,2.29,0.29,0.0,6.9,7.9,10.8,679.8,310.2,793.2,frontend/server=7%;frontend/server=6%;emailservice/email=6%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48001
1,frontcatalog,250,250.0,539,0,17.3,768.8,12.97,0.0,19.3,20,0,8.6147,2.26,0.38,0.1,13.0,15.1,27.6,828.0,339.2,883.7,emailservice/email=35%;frontend/server=17%;frontend/server=17%;paymentservice/payment=2%;frontend/productcatalog=1%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 recommendationservice:3 redis-cart:1 shippingservice:2,0,0,60001
1,frontreco,150,150.0,0,0,8.3,621.1,8.6,0.0,17.4,13,0,5.1022,2.51,0.21,0.0,6.4,7.1,9.4,795.2,479.9,461.5,frontend/server=26%;productcatalogservice/server=3%;emailservice/email=2%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,0,0,36001
1,frontreco,200,200.0,0,0,9.1,676.5,9.96,0.0,20.1,16,0,6.8584,2.6,0.28,0.1,6.9,7.9,10.8,763.0,287.6,754.7,productcatalogservice/server=15%;emailservice/email=14%;frontend/server=7%;frontend/server=5%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,0,0,48001
1,frontreco,250,250.0,0,0,33.6,1294.9,12.45,0.0,20.1,18,0,8.3008,2.41,0.33,0.1,26.1,28.9,61.6,719.3,357.7,1690.0,productcatalogservice/server=69%;emailservice/email=47%;frontend/server=15%;frontend/server=11%;paymentservice/payment=1%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:3 redis-cart:1 shippingservice:1,0,0,60001
1,frontcart,150,150.0,0,0,8.2,610.6,8.6,0.0,17.4,13,0,5.1955,2.53,0.21,0.1,6.3,7.0,9.3,706.9,484.0,623.6,frontend/server=27%;productcatalogservice/server=4%;emailservice/email=2%,adservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,36001
