cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cpu_sec,softirq_cpu_sec,k6_cpu_sec,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,replicas,limit_x,dropped_win,started,replicas_at_window_start,replicas_changed_in_window,browse_rate_target,browse_rate,browse_dropped_win,browse_p50,browse_p99,rs_scale,limit_scale,reserved_core_sec,pending_core_sec,reserved_avg_cores,n_samples
1,normal,100,100.0,0,0,6.2,466.9,6.24,0.0,16.0,21,0,845.3,65.82,34.84,5.1,5.9,8.1,752.9,219.5,189.0,adservice:1 cartservice:4 checkoutservice:1 currencyservice:1 emailservice:1 frontend:4 paymentservice:1 productcatalogservice:3 recommendationservice:3 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:4 checkoutservice:1 currencyservice:1 emailservice:1 frontend:4 paymentservice:1 productcatalogservice:3 recommendationservice:3 redis-cart:1 shippingservice:1,no,0,0,0,0,0,0.3333,0,1497.6,0.0,6.240,16
1,normal,100,100.0,0,0,7.0,393.3,6.83,0.0,14.6,24,0,1059.4,83.26,44.47,6.3,6.3,8.9,697.4,131.6,120.4,adservice:1 cartservice:5 checkoutservice:1 currencyservice:1 emailservice:1 frontend:4 paymentservice:1 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:5 checkoutservice:1 currencyservice:1 emailservice:1 frontend:4 paymentservice:1 productcatalogservice:4 recommendationservice:4 redis-cart:1 shippingservice:1,no,100,100.0,0,6.3,678.8,0.3333,0,1638.7,0.0,6.828,16
1,normal,100,100,34,0,7.5,623.3,9.88,0.0,10.1,34,0,1575.3,125.06,64.9,6.4,6.9,10.1,766.2,185.1,657.5,adservice:1 cartservice:7 checkoutservice:1 currencyservice:2 emailservice:1 frontend:7 paymentservice:1 productcatalogservice:6 recommendationservice:6 redis-cart:1 shippingservice:1,0,0,24000,adservice:1 cartservice:7 checkoutservice:1 currencyservice:2 emailservice:1 frontend:7 paymentservice:1 productcatalogservice:6 recommendationservice:6 redis-cart:1 shippingservice:1,no,300,300.0,0,6.2,776.0,0.3333,0,2371.4,0.0,9.881,16
1,frontcatalog,100,100,0,0,6.5,441.2,6.83,0.0,14.6,20,0,1074.4,70.05,44.94,5.3,6.2,8.9,650.3,115.9,469.0,adservice:1 cartservice:5 checkoutservice:1 currencyservice:1 emailservice:1 frontend:4 paymentservice:1 recommendationservice:4 redis-cart:1 shippingservice:1,0,0,24000,adservice:1 cartservice:5 checkoutservice:1 currencyservice:1 emailservice:1 frontend:5 paymentservice:1 recommendationservice:4 redis-cart:1 shippingservice:1,yes,100,100.0,0,5.5,644.9,0.3333,0,1708.3,0.0,7.118,16
1,frontcatalog,100,100,2,0,7.9,689.9,9.4,0.0,10.6,26,0,1370.7,89.83,53.98,6.7,7.0,10.3,685.2,132.0,1129.1,adservice:1 cartservice:6 checkoutservice:1 currencyservice:2 emailservice:1 frontend:6 paymentservice:1 recommendationservice:6 redis-cart:1 shippingservice:1,0,0,24000,adservice:1 cartservice:6 checkoutservice:1 currencyservice:1 emailservice:1 frontend:6 paymentservice:1 recommendationservice:6 redis-cart:1 shippingservice:1,yes,200,200.0,0,6.5,731.1,0.3333,0,2088.5,0.0,8.702,16
1,frontcatalog,100,99.9,16,0,7.8,602.6,10.1,0.0,9.9,28,0,1588.4,104.47,65.27,6.5,7.2,10.4,670.8,127.7,837.3,adservice:1 cartservice:7 checkoutservice:1 currencyservice:2 emailservice:1 frontend:7 paymentservice:1 recommendationservice:6 redis-cart:1 shippingservice:1,0,15,23985,adservice:1 cartservice:7 checkoutservice:1 currencyservice:2 emailservice:1 frontend:7 paymentservice:1 recommendationservice:6 redis-cart:1 shippingservice:1,no,300,300.0,0,6.3,664.3,0.3333,0,2424.5,0.0,10.102,16
1,frontreco,100,100.0,0,0,6.1,472.5,6.49,0.0,15.4,18,0,860.0,65.89,33.57,5.2,5.9,8.3,597.6,86.2,590.9,adservice:1 cartservice:4 checkoutservice:1 currencyservice:1 emailservice:1 frontend:4 paymentservice:1 productcatalogservice:3 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:4 checkoutservice:1 currencyservice:1 emailservice:1 frontend:4 paymentservice:1 productcatalogservice:3 redis-cart:1 shippingservice:1,no,0,0,0,0,0,0.3333,0,1556.9,0.0,6.487,16
1,frontreco,100,100.0,0,0,7.0,619.5,6.83,0.0,14.6,20,0,1073.2,82.62,44.16,6.2,6.3,9.0,748.1,129.4,659.2,adservice:1 cartservice:5 checkoutservice:1 currencyservice:1 emailservice:1 frontend:4 paymentservice:1 productcatalogservice:4 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:4 checkoutservice:1 currencyservice:1 emailservice:1 frontend:4 paymentservice:1 productcatalogservice:4 redis-cart:1 shippingservice:1,yes,100,100.0,0,6.2,760.7,0.3333,0,1627.9,0.0,6.783,16
1,frontreco,100,100,0,0,7.6,624.2,9.28,0.0,10.8,25,0,1342.2,105.22,58.22,6.1,6.9,9.9,775.3,201.9,569.9,adservice:1 cartservice:5 checkoutservice:1 currencyservice:2 emailservice:1 frontend:6 paymentservice:1 productcatalogservice:6 redis-cart:1 shippingservice:1,0,0,24000,adservice:1 cartservice:5 checkoutservice:1 currencyservice:2 emailservice:1 frontend:6 paymentservice:1 productcatalogservice:6 redis-cart:1 shippingservice:1,no,200,200.0,0,6.1,776.5,0.3333,0,2227.7,0.0,9.282,16
1,frontreco,100,100.0,21,0,7.6,571.1,10.13,0.0,9.9,28,0,1567.6,122.39,66.8,6.4,7.1,10.1,700.8,144.8,637.3,adservice:1 cartservice:7 checkoutservice:1 currencyservice:2 emailservice:1 frontend:7 paymentservice:1 productcatalogservice:6 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:6 checkoutservice:1 currencyservice:2 emailservice:1 frontend:7 paymentservice:1 productcatalogservice:6 redis-cart:1 shippingservice:1,yes,300,300.0,0,6.2,664.5,0.3333,0,2419.9,0.0,10.083,16
