cycle,arm,target_rate,limit_x,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,frontcatalog,120,0,1,adservice,-,,1,0,1,0
1,frontcatalog,120,0,1,cartservice,-,,1,0,1,0
1,frontcatalog,120,0,1,checkoutservice,checkout,0,1,1,1,0
1,frontcatalog,120,0,1,currencyservice,server,0,1,1,1,0
1,frontcatalog,120,0,1,emailservice,email,1,1,1,1,0
1,frontcatalog,120,0,1,frontend,-,,1,0,1,0
1,frontcatalog,120,0,1,paymentservice,payment,2,1,1,1,0
1,frontcatalog,120,0,1,recommendationservice,-,,,0,1,0
1,frontcatalog,120,0,1,redis-cart,-,,1,1,1,0
1,frontcatalog,120,0,1,shippingservice,-,,,0,1,0
1,frontcatalog,120,0,16,adservice,server,17,1,1,1,0
1,frontcatalog,120,0,16,cartservice,server,64,1,1,1,0
1,frontcatalog,120,0,16,checkoutservice,checkout,0,1,1,1,0
1,frontcatalog,120,0,16,currencyservice,server,0,1,1,1,0
1,frontcatalog,120,0,16,emailservice,email,20,1,1,1,0
1,frontcatalog,120,0,16,frontend,-,,1,0,1,0
1,frontcatalog,120,0,16,paymentservice,payment,2,1,1,1,0
1,frontcatalog,120,0,16,recommendationservice,server,0,1,1,1,0
1,frontcatalog,120,0,16,redis-cart,-,,1,1,1,0
1,frontcatalog,120,0,16,shippingservice,server,0,1,1,1,0
1,frontcatalog,120,0,31,adservice,server,157,1,1,1,0
1,frontcatalog,120,0,31,cartservice,server,64,1,1,1,0
1,frontcatalog,120,0,31,checkoutservice,checkout,37,1,1,1,0
1,frontcatalog,120,0,31,currencyservice,server,82,1,1,1,0
1,frontcatalog,120,0,31,emailservice,email,72,1,1,1,0
1,frontcatalog,120,0,31,frontend,productcatalog,55,1,2,1,1
1,frontcatalog,120,0,31,frontend,server,80,1,2,1,1
1,frontcatalog,120,0,31,paymentservice,payment,46,1,1,1,0
1,frontcatalog,120,0,31,recommendationservice,server,79,1,1,1,0
1,frontcatalog,120,0,31,redis-cart,-,,1,1,1,0
1,frontcatalog,120,0,31,shippingservice,server,8,1,1,1,0
1,frontcatalog,120,0,46,adservice,server,82,1,2,1,0
1,frontcatalog,120,0,46,cartservice,server,150,1,1,1,0
1,frontcatalog,120,0,46,checkoutservice,checkout,38,1,1,1,0
1,frontcatalog,120,0,46,currencyservice,server,74,1,1,1,0
1,frontcatalog,120,0,46,emailservice,email,72,1,1,1,0
1,frontcatalog,120,0,46,frontend,productcatalog,101,2,2,2,0
1,frontcatalog,120,0,46,frontend,server,113,2,2,2,0
1,frontcatalog,120,0,46,paymentservice,payment,49,1,1,1,0
1,frontcatalog,120,0,46,recommendationservice,server,107,1,2,1,1
1,frontcatalog,120,0,46,redis-cart,-,,1,1,1,0
1,frontcatalog,120,0,46,shippingservice,server,43,1,1,1,0
1,frontcatalog,120,0,61,adservice,server,82,2,2,1,0
1,frontcatalog,120,0,61,cartservice,server,99,1,2,1,0
1,frontcatalog,120,0,61,checkoutservice,checkout,37,1,1,1,0
1,frontcatalog,120,0,61,currencyservice,server,67,1,1,1,0
1,frontcatalog,120,0,61,emailservice,email,61,1,1,1,0
1,frontcatalog,120,0,61,frontend,productcatalog,96,2,2,2,0
1,frontcatalog,120,0,61,frontend,server,106,2,2,2,0
1,frontcatalog,120,0,61,paymentservice,payment,42,1,1,1,0
1,frontcatalog,120,0,61,recommendationservice,server,103,2,2,2,0
1,frontcatalog,120,0,61,redis-cart,-,,1,1,1,0
1,frontcatalog,120,0,61,shippingservice,server,38,1,1,1,0
1,frontcatalog,120,0,77,adservice,server,51,2,2,2,0
1,frontcatalog,120,0,77,cartservice,server,102,2,2,1,0
1,frontcatalog,120,0,77,checkoutservice,checkout,37,1,1,1,0
1,frontcatalog,120,0,77,currencyservice,server,66,1,1,1,0
1,frontcatalog,120,0,77,emailservice,email,56,1,1,1,0
1,frontcatalog,120,0,77,frontend,productcatalog,45,2,2,2,0
1,frontcatalog,120,0,77,frontend,server,50,2,2,2,0
1,frontcatalog,120,0,77,paymentservice,payment,36,1,1,1,0
1,frontcatalog,120,0,77,recommendationservice,server,48,2,2,2,0
1,frontcatalog,120,0,77,redis-cart,-,,1,1,1,0
1,frontcatalog,120,0,77,shippingservice,server,37,1,1,1,0
1,frontcatalog,120,0,92,adservice,server,30,2,2,2,0
1,frontcatalog,120,0,92,cartservice,server,98,2,2,2,0
1,frontcatalog,120,0,92,checkoutservice,checkout,36,1,1,1,0
1,frontcatalog,120,0,92,currencyservice,server,68,1,1,1,0
1,frontcatalog,120,0,92,emailservice,email,62,1,1,1,0
1,frontcatalog,120,0,92,frontend,productcatalog,96,2,2,2,0
1,frontcatalog,120,0,92,frontend,server,105,2,2,2,0
1,frontcatalog,120,0,92,paymentservice,payment,45,1,1,1,0
1,frontcatalog,120,0,92,recommendationservice,server,53,2,2,2,0
1,frontcatalog,120,0,92,redis-cart,-,,1,1,1,0
1,frontcatalog,120,0,92,shippingservice,server,37,1,1,1,0
1,frontcatalog,120,0,107,adservice,server,28,2,2,2,0
1,frontcatalog,120,0,107,cartservice,server,98,2,2,2,0
1,frontcatalog,120,0,107,checkoutservice,checkout,36,1,1,1,0
1,frontcatalog,120,0,107,currencyservice,server,67,1,1,1,0
1,frontcatalog,120,0,107,emailservice,email,62,1,1,1,0
1,frontcatalog,120,0,107,frontend,productcatalog,45,2,2,2,0
1,frontcatalog,120,0,107,frontend,server,52,2,2,2,0
1,frontcatalog,120,0,107,paymentservice,payment,42,1,1,1,0
1,frontcatalog,120,0,107,recommendationservice,server,50,2,2,2,0
1,frontcatalog,120,0,107,redis-cart,-,,1,1,1,0
1,frontcatalog,120,0,107,shippingservice,server,38,1,1,1,0
1,frontcatalog,120,0,122,adservice,server,16,2,1,1,0
1,frontcatalog,120,0,122,cartservice,server,49,2,2,2,0
1,frontcatalog,120,0,122,checkoutservice,checkout,36,1,1,1,0
1,frontcatalog,120,0,122,currencyservice,server,63,1,1,1,0
1,frontcatalog,120,0,122,emailservice,email,57,1,1,1,0
1,frontcatalog,120,0,122,frontend,productcatalog,49,2,2,2,0
1,frontcatalog,120,0,122,frontend,server,50,2,2,2,0
1,frontcatalog,120,0,122,paymentservice,payment,28,1,1,1,0
1,frontcatalog,120,0,122,recommendationservice,server,50,2,2,2,0
1,frontcatalog,120,0,122,redis-cart,-,,1,1,1,0
1,frontcatalog,120,0,122,shippingservice,server,38,1,1,1,0
1,frontcatalog,120,0,138,adservice,server,30,1,1,1,0
1,frontcatalog,120,0,138,cartservice,server,48,2,2,2,0
1,frontcatalog,120,0,138,checkoutservice,checkout,36,1,1,1,0
1,frontcatalog,120,0,138,currencyservice,server,63,1,1,1,0
1,frontcatalog,120,0,138,emailservice,email,58,1,1,1,0
1,frontcatalog,120,0,138,frontend,productcatalog,49,2,2,2,0
1,frontcatalog,120,0,138,frontend,server,60,2,2,2,0
1,frontcatalog,120,0,138,paymentservice,payment,39,1,1,1,0
1,frontcatalog,120,0,138,recommendationservice,server,56,2,2,2,0
1,frontcatalog,120,0,138,redis-cart,-,,1,1,1,0
1,frontcatalog,120,0,138,shippingservice,server,34,1,1,1,0
1,frontcatalog,120,0,153,adservice,server,30,1,1,1,0
1,frontcatalog,120,0,153,cartservice,server,55,2,2,2,0
1,frontcatalog,120,0,153,checkoutservice,checkout,34,1,1,1,0
1,frontcatalog,120,0,153,currencyservice,server,67,1,1,1,0
1,frontcatalog,120,0,153,emailservice,email,58,1,1,1,0
1,frontcatalog,120,0,153,frontend,productcatalog,44,2,2,2,0
1,frontcatalog,120,0,153,frontend,server,50,2,2,2,0
1,frontcatalog,120,0,153,paymentservice,payment,44,1,1,1,0
1,frontcatalog,120,0,153,recommendationservice,server,50,2,2,2,0
1,frontcatalog,120,0,153,redis-cart,-,,1,1,1,0
1,frontcatalog,120,0,153,shippingservice,server,37,1,1,1,0
1,frontcatalog,120,0,168,adservice,server,21,1,1,1,0
1,frontcatalog,120,0,168,cartservice,server,47,2,2,2,0
1,frontcatalog,120,0,168,checkoutservice,checkout,30,1,1,1,0
1,frontcatalog,120,0,168,currencyservice,server,65,1,1,1,0
1,frontcatalog,120,0,168,emailservice,email,58,1,1,1,0
1,frontcatalog,120,0,168,frontend,productcatalog,35,2,2,2,0
1,frontcatalog,120,0,168,frontend,server,53,2,2,2,0
1,frontcatalog,120,0,168,paymentservice,payment,37,1,1,1,0
1,frontcatalog,120,0,168,recommendationservice,server,38,2,2,2,0
1,frontcatalog,120,0,168,redis-cart,-,,1,1,1,0
