cycle,arm,target_rate,limit_x,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,frontcatalog,200,0,0,adservice,-,,1,0,1,0
1,frontcatalog,200,0,0,cartservice,-,,1,0,1,0
1,frontcatalog,200,0,0,checkoutservice,checkout,0,1,1,1,0
1,frontcatalog,200,0,0,currencyservice,server,0,1,1,1,0
1,frontcatalog,200,0,0,emailservice,email,1,1,1,1,0
1,frontcatalog,200,0,0,frontend,-,,1,0,1,0
1,frontcatalog,200,0,0,paymentservice,payment,0,1,1,1,0
1,frontcatalog,200,0,0,recommendationservice,-,,,0,1,0
1,frontcatalog,200,0,0,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,0,shippingservice,-,,,0,1,0
1,frontcatalog,200,0,15,adservice,server,0,1,1,1,0
1,frontcatalog,200,0,15,cartservice,server,60,1,1,1,0
1,frontcatalog,200,0,15,checkoutservice,checkout,0,1,1,1,0
1,frontcatalog,200,0,15,currencyservice,server,21,1,1,1,0
1,frontcatalog,200,0,15,emailservice,email,1,1,1,1,0
1,frontcatalog,200,0,15,frontend,productcatalog,46,1,1,1,0
1,frontcatalog,200,0,15,frontend,server,0,1,1,1,0
1,frontcatalog,200,0,15,paymentservice,payment,14,1,1,1,0
1,frontcatalog,200,0,15,recommendationservice,server,0,1,1,1,0
1,frontcatalog,200,0,15,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,15,shippingservice,server,0,1,1,1,0
1,frontcatalog,200,0,30,adservice,server,150,1,1,1,0
1,frontcatalog,200,0,30,cartservice,server,108,1,1,1,0
1,frontcatalog,200,0,30,checkoutservice,checkout,40,1,1,1,0
1,frontcatalog,200,0,30,currencyservice,server,71,1,1,1,0
1,frontcatalog,200,0,30,emailservice,email,71,1,1,1,0
1,frontcatalog,200,0,30,frontend,productcatalog,110,1,1,1,0
1,frontcatalog,200,0,30,frontend,server,93,1,1,1,0
1,frontcatalog,200,0,30,paymentservice,payment,60,1,1,1,0
1,frontcatalog,200,0,30,recommendationservice,server,137,1,1,1,0
1,frontcatalog,200,0,30,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,30,shippingservice,server,14,1,1,1,0
1,frontcatalog,200,0,46,adservice,server,107,1,2,1,0
1,frontcatalog,200,0,46,cartservice,server,83,1,2,1,0
1,frontcatalog,200,0,46,checkoutservice,checkout,40,1,1,1,0
1,frontcatalog,200,0,46,currencyservice,server,61,1,1,1,0
1,frontcatalog,200,0,46,emailservice,email,72,1,1,1,0
1,frontcatalog,200,0,46,frontend,productcatalog,110,1,2,1,0
1,frontcatalog,200,0,46,frontend,server,148,1,2,1,0
1,frontcatalog,200,0,46,paymentservice,payment,23,1,1,1,0
1,frontcatalog,200,0,46,recommendationservice,server,148,1,2,1,1
1,frontcatalog,200,0,46,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,46,shippingservice,server,41,1,1,1,0
1,frontcatalog,200,0,61,adservice,server,93,2,2,1,0
1,frontcatalog,200,0,61,cartservice,server,111,2,2,1,0
1,frontcatalog,200,0,61,checkoutservice,checkout,49,1,1,1,0
1,frontcatalog,200,0,61,currencyservice,server,72,1,1,1,0
1,frontcatalog,200,0,61,emailservice,email,79,1,1,1,0
1,frontcatalog,200,0,61,frontend,productcatalog,124,2,2,2,0
1,frontcatalog,200,0,61,frontend,server,148,2,2,2,0
1,frontcatalog,200,0,61,paymentservice,payment,42,1,1,1,0
1,frontcatalog,200,0,61,recommendationservice,server,148,2,2,2,0
1,frontcatalog,200,0,61,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,61,shippingservice,server,41,1,1,1,0
1,frontcatalog,200,0,76,adservice,server,47,2,2,2,0
1,frontcatalog,200,0,76,cartservice,server,123,2,2,2,0
1,frontcatalog,200,0,76,checkoutservice,checkout,45,1,1,1,0
1,frontcatalog,200,0,76,currencyservice,server,73,1,1,1,0
1,frontcatalog,200,0,76,emailservice,email,79,1,2,1,0
1,frontcatalog,200,0,76,frontend,productcatalog,118,2,2,2,0
1,frontcatalog,200,0,76,frontend,server,141,2,2,2,0
