cycle,arm,target_rate,limit_x,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,normal,100,0,0,adservice,-,,1,0,1,0
1,normal,100,0,0,cartservice,-,,1,0,1,0
1,normal,100,0,0,checkoutservice,checkout,0,1,1,1,0
1,normal,100,0,0,currencyservice,server,0,1,1,1,0
1,normal,100,0,0,emailservice,email,1,1,1,1,0
1,normal,100,0,0,frontend,server,0,1,1,1,0
1,normal,100,0,0,paymentservice,payment,1,1,1,1,0
1,normal,100,0,0,productcatalogservice,server,0,1,1,1,0
1,normal,100,0,0,recommendationservice,-,,,0,1,0
1,normal,100,0,0,redis-cart,-,,1,1,1,0
1,normal,100,0,0,shippingservice,-,,,0,1,0
1,normal,100,0,15,adservice,-,,1,0,1,0
1,normal,100,0,15,cartservice,server,1,1,1,1,0
1,normal,100,0,15,checkoutservice,checkout,0,1,1,1,0
1,normal,100,0,15,currencyservice,server,13,1,1,1,0
1,normal,100,0,15,emailservice,email,1,1,1,1,0
1,normal,100,0,15,frontend,server,2,1,1,1,0
1,normal,100,0,15,paymentservice,payment,10,1,1,1,0
1,normal,100,0,15,productcatalogservice,server,0,1,1,1,0
1,normal,100,0,15,recommendationservice,server,4,1,1,1,0
1,normal,100,0,15,redis-cart,-,,1,1,1,0
1,normal,100,0,15,shippingservice,server,0,1,1,1,0
1,normal,100,0,30,adservice,server,130,1,2,1,0
1,normal,100,0,30,cartservice,server,111,1,1,1,0
1,normal,100,0,30,checkoutservice,checkout,39,1,1,1,0
1,normal,100,0,30,currencyservice,server,72,1,1,1,0
1,normal,100,0,30,emailservice,email,43,1,1,1,0
1,normal,100,0,30,frontend,server,119,1,1,1,0
1,normal,100,0,30,paymentservice,payment,71,1,1,1,0
1,normal,100,0,30,productcatalogservice,server,40,1,1,1,0
1,normal,100,0,30,recommendationservice,server,112,1,1,1,0
1,normal,100,0,30,redis-cart,-,,1,1,1,0
1,normal,100,0,30,shippingservice,server,0,1,1,1,0
1,normal,100,0,46,adservice,server,124,2,2,1,0
1,normal,100,0,46,cartservice,server,136,1,2,1,0
1,normal,100,0,46,checkoutservice,checkout,35,1,1,1,0
1,normal,100,0,46,currencyservice,server,69,1,1,1,0
