cycle,arm,target_rate,limit_x,browse_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods,ns_running_cores,ns_pending_cores
1,frontemail,100,0,0,0,adservice,-,,1,0,1,0,3.014,0.0
1,frontemail,100,0,0,0,cartservice,-,,1,0,1,0,3.014,0.0
1,frontemail,100,0,0,0,checkoutservice,checkout,2,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,0,currencyservice,server,0,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,0,frontend,-,,1,0,1,0,3.014,0.0
1,frontemail,100,0,0,0,paymentservice,payment,3,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,0,productcatalogservice,server,0,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,0,recommendationservice,-,,,0,1,0,3.014,0.0
1,frontemail,100,0,0,0,redis-cart,-,,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,0,shippingservice,-,,,0,1,0,3.014,0.0
1,frontemail,100,0,0,15,adservice,-,,1,0,1,0,3.014,0.0
1,frontemail,100,0,0,15,cartservice,server,2,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,15,checkoutservice,checkout,1,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,15,currencyservice,server,0,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,15,frontend,email,5,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,15,frontend,server,0,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,15,paymentservice,payment,0,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,15,productcatalogservice,server,0,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,15,recommendationservice,server,0,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,15,redis-cart,-,,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,15,shippingservice,server,0,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,30,adservice,server,75,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,30,cartservice,server,264,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,30,checkoutservice,checkout,204,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,30,currencyservice,server,44,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,30,frontend,email,177,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,30,frontend,server,251,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,30,paymentservice,payment,38,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,30,productcatalogservice,server,226,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,30,recommendationservice,server,254,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,30,redis-cart,-,,1,1,1,0,3.014,0.0
1,frontemail,100,0,0,30,shippingservice,server,0,1,1,1,0,3.014,0.0
