cycle,arm,target_rate,limit_x,browse_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods,ns_running_cores,ns_pending_cores
1,normal,100,0,200,0,adservice,-,,1,0,1,0,5.762,0.0
1,normal,100,0,200,0,cartservice,-,,1,0,1,0,5.762,0.0
1,normal,100,0,200,0,checkoutservice,checkout,0,1,1,1,0,5.762,0.0
1,normal,100,0,200,0,currencyservice,server,0,1,1,1,0,5.762,0.0
1,normal,100,0,200,0,emailservice,email,1,1,1,1,0,5.762,0.0
1,normal,100,0,200,0,frontend,-,,1,0,1,0,5.762,0.0
1,normal,100,0,200,0,paymentservice,payment,0,1,1,1,0,5.762,0.0
1,normal,100,0,200,0,productcatalogservice,-,,,0,1,0,5.762,0.0
1,normal,100,0,200,0,recommendationservice,-,,,0,1,0,5.762,0.0
1,normal,100,0,200,0,redis-cart,-,,1,1,1,0,5.762,0.0
1,normal,100,0,200,0,shippingservice,-,,,0,1,0,5.762,0.0
1,normal,100,0,200,15,adservice,-,,1,0,1,0,5.762,0.0
1,normal,100,0,200,15,cartservice,server,1,1,1,1,0,5.762,0.0
1,normal,100,0,200,15,checkoutservice,checkout,0,1,1,1,0,5.762,0.0
1,normal,100,0,200,15,currencyservice,server,0,1,1,1,0,5.762,0.0
1,normal,100,0,200,15,emailservice,email,5,1,1,1,0,5.762,0.0
1,normal,100,0,200,15,frontend,server,0,1,1,1,0,5.762,0.0
1,normal,100,0,200,15,paymentservice,payment,0,1,1,1,0,5.762,0.0
1,normal,100,0,200,15,productcatalogservice,server,0,1,1,1,0,5.762,0.0
1,normal,100,0,200,15,recommendationservice,server,0,1,1,1,0,5.762,0.0
1,normal,100,0,200,15,redis-cart,-,,1,1,1,0,5.762,0.0
1,normal,100,0,200,15,shippingservice,server,0,1,1,1,0,5.762,0.0
1,normal,100,0,200,31,adservice,server,65,1,1,1,0,5.762,0.0
1,normal,100,0,200,31,cartservice,server,151,1,1,1,0,5.762,0.0
1,normal,100,0,200,31,checkoutservice,checkout,29,1,1,1,0,5.762,0.0
1,normal,100,0,200,31,currencyservice,server,68,1,1,1,0,5.762,0.0
1,normal,100,0,200,31,emailservice,email,57,1,1,1,0,5.762,0.0
1,normal,100,0,200,31,frontend,server,113,1,1,1,0,5.762,0.0
1,normal,100,0,200,31,paymentservice,payment,52,1,1,1,0,5.762,0.0
1,normal,100,0,200,31,productcatalogservice,server,49,1,1,1,0,5.762,0.0
1,normal,100,0,200,31,recommendationservice,server,125,1,1,1,0,5.762,0.0
1,normal,100,0,200,31,redis-cart,-,,1,1,1,0,5.762,0.0
1,normal,100,0,200,31,shippingservice,server,0,1,1,1,0,5.762,0.0
1,normal,100,0,200,46,adservice,server,157,1,1,1,0,6.123,1.819
1,normal,100,0,200,46,cartservice,server,112,1,2,1,0,6.123,1.819
1,normal,100,0,200,46,checkoutservice,checkout,35,1,1,1,0,6.123,1.819
1,normal,100,0,200,46,currencyservice,server,75,1,1,1,0,6.123,1.819
1,normal,100,0,200,46,emailservice,email,55,1,1,1,0,6.123,1.819
1,normal,100,0,200,46,frontend,server,129,1,2,1,1,6.123,1.819
1,normal,100,0,200,46,paymentservice,payment,52,1,1,1,0,6.123,1.819
1,normal,100,0,200,46,productcatalogservice,server,122,1,1,1,0,6.123,1.819
1,normal,100,0,200,46,recommendationservice,server,128,1,2,1,1,6.123,1.819
1,normal,100,0,200,46,redis-cart,-,,1,1,1,0,6.123,1.819
1,normal,100,0,200,46,shippingservice,server,35,1,1,1,0,6.123,1.819
1,normal,100,0,200,61,adservice,server,86,1,2,1,0,8.242,0.662
1,normal,100,0,200,61,cartservice,server,106,2,2,1,0,8.242,0.662
1,normal,100,0,200,61,checkoutservice,checkout,33,1,1,1,0,8.242,0.662
1,normal,100,0,200,61,currencyservice,server,73,1,1,1,0,8.242,0.662
1,normal,100,0,200,61,emailservice,email,52,1,1,1,0,8.242,0.662
1,normal,100,0,200,61,frontend,server,129,2,2,2,0,8.242,0.662
1,normal,100,0,200,61,paymentservice,payment,40,1,1,1,0,8.242,0.662
1,normal,100,0,200,61,productcatalogservice,server,117,1,2,1,1,8.242,0.662
1,normal,100,0,200,61,recommendationservice,server,119,2,2,2,0,8.242,0.662
1,normal,100,0,200,61,redis-cart,-,,1,1,1,0,8.242,0.662
1,normal,100,0,200,61,shippingservice,server,36,1,1,1,0,8.242,0.662
1,normal,100,0,200,76,adservice,server,54,2,2,1,0,8.904,0.0
1,normal,100,0,200,76,cartservice,server,103,2,2,2,0,8.904,0.0
1,normal,100,0,200,76,checkoutservice,checkout,34,1,1,1,0,8.904,0.0
1,normal,100,0,200,76,currencyservice,server,71,1,1,1,0,8.904,0.0
1,normal,100,0,200,76,emailservice,email,52,1,1,1,0,8.904,0.0
1,normal,100,0,200,76,frontend,server,118,2,2,2,0,8.904,0.0
1,normal,100,0,200,76,paymentservice,payment,39,1,1,1,0,8.904,0.0
1,normal,100,0,200,76,productcatalogservice,server,110,2,2,2,0,8.904,0.0
1,normal,100,0,200,76,recommendationservice,server,114,2,2,2,0,8.904,0.0
1,normal,100,0,200,76,redis-cart,-,,1,1,1,0,8.904,0.0
1,normal,100,0,200,76,shippingservice,server,34,1,1,1,0,8.904,0.0
1,normal,100,0,200,92,adservice,server,41,2,2,2,0,8.904,0.0
1,normal,100,0,200,92,cartservice,server,105,2,2,2,0,8.904,0.0
1,normal,100,0,200,92,checkoutservice,checkout,32,1,1,1,0,8.904,0.0
1,normal,100,0,200,92,currencyservice,server,69,1,1,1,0,8.904,0.0
1,normal,100,0,200,92,emailservice,email,51,1,1,1,0,8.904,0.0
1,normal,100,0,200,92,frontend,server,58,2,2,2,0,8.904,0.0
1,normal,100,0,200,92,paymentservice,payment,35,1,1,1,0,8.904,0.0
1,normal,100,0,200,92,productcatalogservice,server,106,2,2,2,0,8.904,0.0
