cycle,arm,target_rate,limit_x,browse_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods,ns_running_cores,ns_pending_cores
1,normal,100,0,0,0,adservice,-,,1,0,1,0,3.867,0.0
1,normal,100,0,0,0,cartservice,-,,1,0,1,0,3.867,0.0
1,normal,100,0,0,0,checkoutservice,checkout,0,1,1,1,0,3.867,0.0
1,normal,100,0,0,0,currencyservice,server,0,1,1,1,0,3.867,0.0
1,normal,100,0,0,0,emailservice,email,1,1,1,1,0,3.867,0.0
1,normal,100,0,0,0,frontend,server,0,1,1,1,0,3.867,0.0
1,normal,100,0,0,0,paymentservice,payment,1,1,1,1,0,3.867,0.0
1,normal,100,0,0,0,productcatalogservice,server,0,1,1,1,0,3.867,0.0
1,normal,100,0,0,0,recommendationservice,-,,,0,1,0,3.867,0.0
1,normal,100,0,0,0,redis-cart,-,,1,1,1,0,3.867,0.0
1,normal,100,0,0,0,shippingservice,-,,,0,1,0,3.867,0.0
1,normal,100,0,0,16,adservice,server,1,1,1,1,0,3.867,0.0
1,normal,100,0,0,16,cartservice,server,82,1,1,1,0,3.867,0.0
1,normal,100,0,0,16,checkoutservice,checkout,2,1,1,1,0,3.867,0.0
1,normal,100,0,0,16,currencyservice,server,15,1,1,1,0,3.867,0.0
1,normal,100,0,0,16,emailservice,email,12,1,1,1,0,3.867,0.0
1,normal,100,0,0,16,frontend,server,41,1,1,1,0,3.867,0.0
1,normal,100,0,0,16,paymentservice,payment,17,1,1,1,0,3.867,0.0
1,normal,100,0,0,16,productcatalogservice,server,0,1,1,1,0,3.867,0.0
1,normal,100,0,0,16,recommendationservice,server,0,1,1,1,0,3.867,0.0
1,normal,100,0,0,16,redis-cart,-,,1,1,1,0,3.867,0.0
1,normal,100,0,0,16,shippingservice,server,0,1,1,1,0,3.867,0.0
1,normal,100,0,0,31,adservice,server,74,1,1,1,0,3.987,0.0
1,normal,100,0,0,31,cartservice,server,192,1,2,1,0,3.987,0.0
1,normal,100,0,0,31,checkoutservice,checkout,20,1,1,1,0,3.987,0.0
1,normal,100,0,0,31,currencyservice,server,32,1,1,1,0,3.987,0.0
1,normal,100,0,0,31,emailservice,email,37,1,1,1,0,3.987,0.0
1,normal,100,0,0,31,frontend,server,147,1,1,1,0,3.987,0.0
