cycle,arm,target_rate,limit_x,browse_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods,ns_running_cores,ns_pending_cores
1,normal,100,0,0,0,adservice,server,1,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,cartservice,server,4,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,checkoutservice,checkout,0,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,currencyservice,server,0,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,emailservice,email,1,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,frontend,server,0,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,paymentservice,payment,0,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,productcatalogservice,server,0,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,recommendationservice,-,,,0,3,0,11.001,0.0
1,normal,100,0,0,0,redis-cart,-,,1,1,1,0,11.001,0.0
1,normal,100,0,0,0,shippingservice,-,,,0,3,0,11.001,0.0
1,normal,100,0,0,16,adservice,server,33,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,cartservice,server,43,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,checkoutservice,checkout,3,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,currencyservice,server,17,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,emailservice,email,1,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,frontend,server,83,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,paymentservice,payment,4,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,productcatalogservice,server,13,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,recommendationservice,server,23,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,redis-cart,-,,1,1,1,0,11.001,0.0
1,normal,100,0,0,16,shippingservice,server,0,3,3,3,0,11.001,0.0
1,normal,100,0,0,31,adservice,server,58,3,3,3,0,11.001,0.359
1,normal,100,0,0,31,cartservice,server,119,3,3,3,0,11.001,0.359
1,normal,100,0,0,31,checkoutservice,checkout,11,3,3,3,0,11.001,0.359
1,normal,100,0,0,31,currencyservice,server,22,3,3,3,0,11.001,0.359
1,normal,100,0,0,31,emailservice,email,20,3,3,3,0,11.001,0.359
1,normal,100,0,0,31,frontend,server,90,3,4,3,1,11.001,0.359
1,normal,100,0,0,31,paymentservice,payment,19,3,3,3,0,11.001,0.359
1,normal,100,0,0,31,productcatalogservice,server,77,3,3,3,0,11.001,0.359
1,normal,100,0,0,31,recommendationservice,server,105,3,3,3,0,11.001,0.359
1,normal,100,0,0,31,redis-cart,-,,1,1,1,0,11.001,0.359
1,normal,100,0,0,31,shippingservice,server,12,3,3,3,0,11.001,0.359
1,normal,100,0,0,46,adservice,server,47,3,3,3,0,11.821,0.494
1,normal,100,0,0,46,cartservice,server,103,3,5,3,0,11.821,0.494
1,normal,100,0,0,46,checkoutservice,checkout,12,3,3,3,0,11.821,0.494
1,normal,100,0,0,46,currencyservice,server,22,3,3,3,0,11.821,0.494
1,normal,100,0,0,46,emailservice,email,24,3,3,3,0,11.821,0.494
1,normal,100,0,0,46,frontend,server,113,4,4,4,0,11.821,0.494
1,normal,100,0,0,46,paymentservice,payment,20,3,3,3,0,11.821,0.494
1,normal,100,0,0,46,productcatalogservice,server,89,3,4,4,0,11.821,0.494
1,normal,100,0,0,46,recommendationservice,server,110,3,5,3,2,11.821,0.494
1,normal,100,0,0,46,redis-cart,-,,1,1,1,0,11.821,0.494
1,normal,100,0,0,46,shippingservice,server,13,3,3,3,0,11.821,0.494
1,normal,100,0,0,62,adservice,server,41,3,3,3,0,10.434,0.0
1,normal,100,0,0,62,cartservice,server,101,5,5,3,0,10.434,0.0
1,normal,100,0,0,62,checkoutservice,checkout,13,3,1,1,0,10.434,0.0
1,normal,100,0,0,62,currencyservice,server,21,3,1,1,0,10.434,0.0
1,normal,100,0,0,62,emailservice,email,20,3,2,2,0,10.434,0.0
1,normal,100,0,0,62,frontend,server,107,4,5,4,0,10.434,0.0
1,normal,100,0,0,62,paymentservice,payment,21,3,1,1,0,10.434,0.0
1,normal,100,0,0,62,productcatalogservice,server,87,4,4,4,0,10.434,0.0
1,normal,100,0,0,62,recommendationservice,server,99,5,5,5,0,10.434,0.0
1,normal,100,0,0,62,redis-cart,-,,1,1,1,0,10.434,0.0
1,normal,100,0,0,62,shippingservice,server,13,3,1,1,0,10.434,0.0
1,normal,100,0,0,77,adservice,server,30,3,3,3,0,8.234,0.0
1,normal,100,0,0,77,cartservice,server,78,5,5,4,0,8.234,0.0
1,normal,100,0,0,77,checkoutservice,checkout,20,1,1,1,0,8.234,0.0
1,normal,100,0,0,77,currencyservice,server,19,1,1,1,0,8.234,0.0
1,normal,100,0,0,77,emailservice,email,5,2,2,2,0,8.234,0.0
1,normal,100,0,0,77,frontend,server,75,5,5,5,0,8.234,0.0
1,normal,100,0,0,77,paymentservice,payment,28,1,1,1,0,8.234,0.0
1,normal,100,0,0,77,productcatalogservice,server,59,4,4,4,0,8.234,0.0
1,normal,100,0,0,77,recommendationservice,server,60,5,5,5,0,8.234,0.0
1,normal,100,0,0,77,redis-cart,-,,1,1,1,0,8.234,0.0
1,normal,100,0,0,77,shippingservice,server,24,1,1,1,0,8.234,0.0
1,normal,100,0,0,92,adservice,server,21,3,3,3,0,8.234,0.0
1,normal,100,0,0,92,cartservice,server,81,5,5,5,0,8.234,0.0
1,normal,100,0,0,92,checkoutservice,checkout,33,1,1,1,0,8.234,0.0
1,normal,100,0,0,92,currencyservice,server,19,1,1,1,0,8.234,0.0
1,normal,100,0,0,92,emailservice,email,14,2,2,2,0,8.234,0.0
1,normal,100,0,0,92,frontend,server,78,5,5,5,0,8.234,0.0
1,normal,100,0,0,92,paymentservice,payment,27,1,1,1,0,8.234,0.0
1,normal,100,0,0,92,productcatalogservice,server,64,4,4,4,0,8.234,0.0
1,normal,100,0,0,92,recommendationservice,server,57,5,5,5,0,8.234,0.0
1,normal,100,0,0,92,redis-cart,-,,1,1,1,0,8.234,0.0
1,normal,100,0,0,92,shippingservice,server,24,1,1,1,0,8.234,0.0
1,normal,100,0,0,107,adservice,server,21,3,2,2,0,7.934,0.0
1,normal,100,0,0,107,cartservice,server,65,5,5,5,0,7.934,0.0
1,normal,100,0,0,107,checkoutservice,checkout,31,1,1,1,0,7.934,0.0
1,normal,100,0,0,107,currencyservice,server,55,1,1,1,0,7.934,0.0
1,normal,100,0,0,107,emailservice,email,26,2,1,1,0,7.934,0.0
1,normal,100,0,0,107,frontend,server,68,5,5,5,0,7.934,0.0
1,normal,100,0,0,107,paymentservice,payment,24,1,1,1,0,7.934,0.0
1,normal,100,0,0,107,productcatalogservice,server,64,4,4,4,0,7.934,0.0
1,normal,100,0,0,107,recommendationservice,server,62,5,5,5,0,7.934,0.0
1,normal,100,0,0,107,redis-cart,-,,1,1,1,0,7.934,0.0
1,normal,100,0,0,107,shippingservice,server,34,1,1,1,0,7.934,0.0
1,normal,100,0,0,123,adservice,server,28,2,2,2,0,7.734,0.0
1,normal,100,0,0,123,cartservice,server,71,5,5,5,0,7.734,0.0
1,normal,100,0,0,123,checkoutservice,checkout,36,1,1,1,0,7.734,0.0
1,normal,100,0,0,123,currencyservice,server,59,1,1,1,0,7.734,0.0
1,normal,100,0,0,123,emailservice,email,57,1,1,1,0,7.734,0.0
1,normal,100,0,0,123,frontend,server,64,5,5,5,0,7.734,0.0
1,normal,100,0,0,123,paymentservice,payment,32,1,1,1,0,7.734,0.0
1,normal,100,0,0,123,productcatalogservice,server,67,4,4,4,0,7.734,0.0
1,normal,100,0,0,123,recommendationservice,server,63,5,5,5,0,7.734,0.0
1,normal,100,0,0,123,redis-cart,-,,1,1,1,0,7.734,0.0
1,normal,100,0,0,123,shippingservice,server,35,1,1,1,0,7.734,0.0
1,normal,100,0,0,138,adservice,server,23,2,1,1,0,7.434,0.0
1,normal,100,0,0,138,cartservice,server,60,5,5,5,0,7.434,0.0
1,normal,100,0,0,138,checkoutservice,checkout,32,1,1,1,0,7.434,0.0
1,normal,100,0,0,138,currencyservice,server,54,1,1,1,0,7.434,0.0
1,normal,100,0,0,138,emailservice,email,48,1,1,1,0,7.434,0.0
1,normal,100,0,0,138,frontend,server,63,5,5,5,0,7.434,0.0
1,normal,100,0,0,138,paymentservice,payment,32,1,1,1,0,7.434,0.0
1,normal,100,0,0,138,productcatalogservice,server,61,4,4,4,0,7.434,0.0
1,normal,100,0,0,138,recommendationservice,server,62,5,5,5,0,7.434,0.0
1,normal,100,0,0,138,redis-cart,-,,1,1,1,0,7.434,0.0
1,normal,100,0,0,138,shippingservice,server,34,1,1,1,0,7.434,0.0
1,normal,100,0,0,153,adservice,server,65,1,1,1,0,7.434,0.0
1,normal,100,0,0,153,cartservice,server,62,5,5,5,0,7.434,0.0
1,normal,100,0,0,153,checkoutservice,checkout,35,1,1,1,0,7.434,0.0
1,normal,100,0,0,153,currencyservice,server,58,1,1,1,0,7.434,0.0
1,normal,100,0,0,153,emailservice,email,54,1,1,1,0,7.434,0.0
1,normal,100,0,0,153,frontend,server,68,5,5,5,0,7.434,0.0
1,normal,100,0,0,153,paymentservice,payment,29,1,1,1,0,7.434,0.0
1,normal,100,0,0,153,productcatalogservice,server,62,4,4,4,0,7.434,0.0
1,normal,100,0,0,153,recommendationservice,server,63,5,5,5,0,7.434,0.0
1,normal,100,0,0,153,redis-cart,-,,1,1,1,0,7.434,0.0
1,normal,100,0,0,153,shippingservice,server,36,1,1,1,0,7.434,0.0
1,normal,100,0,0,168,adservice,server,54,1,1,1,0,7.434,0.0
1,normal,100,0,0,168,cartservice,server,57,5,5,5,0,7.434,0.0
1,normal,100,0,0,168,checkoutservice,checkout,33,1,1,1,0,7.434,0.0
1,normal,100,0,0,168,currencyservice,server,56,1,1,1,0,7.434,0.0
1,normal,100,0,0,168,emailservice,email,64,1,1,1,0,7.434,0.0
1,normal,100,0,0,168,frontend,server,68,5,5,5,0,7.434,0.0
1,normal,100,0,0,168,paymentservice,payment,29,1,1,1,0,7.434,0.0
1,normal,100,0,0,168,productcatalogservice,server,68,4,4,4,0,7.434,0.0
1,normal,100,0,0,168,recommendationservice,server,64,5,5,5,0,7.434,0.0
1,normal,100,0,0,168,redis-cart,-,,1,1,1,0,7.434,0.0
1,normal,100,0,0,168,shippingservice,server,33,1,1,1,0,7.434,0.0
1,normal,100,0,0,184,adservice,server,27,1,1,1,0,7.434,0.0
1,normal,100,0,0,184,cartservice,server,51,5,5,5,0,7.434,0.0
1,normal,100,0,0,184,checkoutservice,checkout,33,1,1,1,0,7.434,0.0
1,normal,100,0,0,184,currencyservice,server,54,1,1,1,0,7.434,0.0
1,normal,100,0,0,184,emailservice,email,48,1,1,1,0,7.434,0.0
1,normal,100,0,0,184,frontend,server,68,5,5,5,0,7.434,0.0
1,normal,100,0,0,184,paymentservice,payment,25,1,1,1,0,7.434,0.0
1,normal,100,0,0,184,productcatalogservice,server,64,4,4,4,0,7.434,0.0
1,normal,100,0,0,184,recommendationservice,server,62,5,5,5,0,7.434,0.0
1,normal,100,0,0,184,redis-cart,-,,1,1,1,0,7.434,0.0
1,normal,100,0,0,184,shippingservice,server,33,1,1,1,0,7.434,0.0
1,normal,100,0,0,199,adservice,server,29,1,1,1,0,7.434,0.0
1,normal,100,0,0,199,cartservice,server,54,5,5,5,0,7.434,0.0
1,normal,100,0,0,199,checkoutservice,checkout,33,1,1,1,0,7.434,0.0
1,normal,100,0,0,199,currencyservice,server,54,1,1,1,0,7.434,0.0
1,normal,100,0,0,199,emailservice,email,51,1,1,1,0,7.434,0.0
1,normal,100,0,0,199,frontend,server,66,5,5,5,0,7.434,0.0
1,normal,100,0,0,199,paymentservice,payment,35,1,1,1,0,7.434,0.0
1,normal,100,0,0,199,productcatalogservice,server,65,4,4,4,0,7.434,0.0
1,normal,100,0,0,199,recommendationservice,server,64,5,5,5,0,7.434,0.0
1,normal,100,0,0,199,redis-cart,-,,1,1,1,0,7.434,0.0
1,normal,100,0,0,199,shippingservice,server,35,1,1,1,0,7.434,0.0
1,normal,100,0,0,214,adservice,server,28,1,1,1,0,7.434,0.0
1,normal,100,0,0,214,cartservice,server,59,5,5,5,0,7.434,0.0
1,normal,100,0,0,214,checkoutservice,checkout,32,1,1,1,0,7.434,0.0
1,normal,100,0,0,214,currencyservice,server,56,1,1,1,0,7.434,0.0
1,normal,100,0,0,214,emailservice,email,54,1,1,1,0,7.434,0.0
1,normal,100,0,0,214,frontend,server,65,5,5,5,0,7.434,0.0
1,normal,100,0,0,214,paymentservice,payment,47,1,1,1,0,7.434,0.0
1,normal,100,0,0,214,productcatalogservice,server,65,4,4,4,0,7.434,0.0
1,normal,100,0,0,214,recommendationservice,server,61,5,5,5,0,7.434,0.0
1,normal,100,0,0,214,redis-cart,-,,1,1,1,0,7.434,0.0
1,normal,100,0,0,214,shippingservice,server,32,1,1,1,0,7.434,0.0
1,normal,100,0,0,229,adservice,server,28,1,1,1,0,7.434,0.0
1,normal,100,0,0,229,cartservice,server,56,5,5,5,0,7.434,0.0
1,normal,100,0,0,229,checkoutservice,checkout,34,1,1,1,0,7.434,0.0
1,normal,100,0,0,229,currencyservice,server,55,1,1,1,0,7.434,0.0
1,normal,100,0,0,229,emailservice,email,54,1,1,1,0,7.434,0.0
1,normal,100,0,0,229,frontend,server,65,5,5,5,0,7.434,0.0
1,normal,100,0,0,229,paymentservice,payment,35,1,1,1,0,7.434,0.0
1,normal,100,0,0,229,productcatalogservice,server,65,4,4,4,0,7.434,0.0
1,normal,100,0,0,229,recommendationservice,server,61,5,5,5,0,7.434,0.0
1,normal,100,0,0,229,redis-cart,-,,1,1,1,0,7.434,0.0
1,normal,100,0,0,229,shippingservice,server,35,1,1,1,0,7.434,0.0
1,normal,100,0,0,245,adservice,server,26,1,1,1,0,7.434,0.0
1,normal,100,0,0,245,cartservice,server,54,5,5,5,0,7.434,0.0
1,normal,100,0,0,245,checkoutservice,checkout,34,1,1,1,0,7.434,0.0
1,normal,100,0,0,245,currencyservice,server,55,1,1,1,0,7.434,0.0
1,normal,100,0,0,245,emailservice,email,55,1,1,1,0,7.434,0.0
1,normal,100,0,0,245,frontend,server,67,5,5,5,0,7.434,0.0
1,normal,100,0,0,245,paymentservice,payment,40,1,1,1,0,7.434,0.0
1,normal,100,0,0,245,productcatalogservice,server,63,4,4,4,0,7.434,0.0
1,normal,100,0,0,245,recommendationservice,server,63,5,5,5,0,7.434,0.0
1,normal,100,0,0,245,redis-cart,-,,1,1,1,0,7.434,0.0
1,normal,100,0,0,245,shippingservice,server,34,1,1,1,0,7.434,0.0
1,normal,100,0,0,260,adservice,server,21,1,1,1,0,7.434,0.0
1,normal,100,0,0,260,cartservice,server,53,5,5,5,0,7.434,0.0
1,normal,100,0,0,260,checkoutservice,checkout,33,1,1,1,0,7.434,0.0
1,normal,100,0,0,260,currencyservice,server,54,1,1,1,0,7.434,0.0
1,normal,100,0,0,260,emailservice,email,52,1,1,1,0,7.434,0.0
1,normal,100,0,0,260,frontend,server,64,5,5,5,0,7.434,0.0
1,normal,100,0,0,260,paymentservice,payment,37,1,1,1,0,7.434,0.0
1,normal,100,0,0,260,productcatalogservice,server,63,4,4,4,0,7.434,0.0
1,normal,100,0,0,260,recommendationservice,server,60,5,5,5,0,7.434,0.0
1,normal,100,0,0,260,redis-cart,-,,1,1,1,0,7.434,0.0
1,normal,100,0,0,260,shippingservice,server,33,1,1,1,0,7.434,0.0
1,normal,100,0,0,275,adservice,server,22,1,1,1,0,7.314,0.0
1,normal,100,0,0,275,cartservice,server,56,5,4,4,0,7.314,0.0
1,normal,100,0,0,275,checkoutservice,checkout,33,1,1,1,0,7.314,0.0
1,normal,100,0,0,275,currencyservice,server,57,1,1,1,0,7.314,0.0
1,normal,100,0,0,275,emailservice,email,54,1,1,1,0,7.314,0.0
1,normal,100,0,0,275,frontend,server,68,5,5,5,0,7.314,0.0
1,normal,100,0,0,275,paymentservice,payment,27,1,1,1,0,7.314,0.0
1,normal,100,0,0,275,productcatalogservice,server,67,4,4,4,0,7.314,0.0
1,normal,100,0,0,275,recommendationservice,server,63,5,5,5,0,7.314,0.0
1,normal,100,0,0,275,redis-cart,-,,1,1,1,0,7.314,0.0
1,normal,100,0,0,275,shippingservice,server,35,1,1,1,0,7.314,0.0
1,normal,100,0,0,290,adservice,server,22,1,1,1,0,7.314,0.0
1,normal,100,0,0,290,cartservice,server,73,4,4,4,0,7.314,0.0
1,normal,100,0,0,290,checkoutservice,checkout,34,1,1,1,0,7.314,0.0
1,normal,100,0,0,290,currencyservice,server,58,1,1,1,0,7.314,0.0
1,normal,100,0,0,290,emailservice,email,59,1,1,1,0,7.314,0.0
1,normal,100,0,0,290,frontend,server,70,5,5,5,0,7.314,0.0
1,normal,100,0,0,290,paymentservice,payment,31,1,1,1,0,7.314,0.0
1,normal,100,0,0,290,productcatalogservice,server,66,4,4,4,0,7.314,0.0
1,normal,100,0,0,290,recommendationservice,server,64,5,5,5,0,7.314,0.0
1,normal,100,0,0,290,redis-cart,-,,1,1,1,0,7.314,0.0
1,normal,100,0,0,290,shippingservice,server,39,1,1,1,0,7.314,0.0
1,normal,100,0,0,306,adservice,server,21,1,1,1,0,7.314,0.0
1,normal,100,0,0,306,cartservice,server,78,4,4,4,0,7.314,0.0
1,normal,100,0,0,306,checkoutservice,checkout,37,1,1,1,0,7.314,0.0
1,normal,100,0,0,306,currencyservice,server,56,1,1,1,0,7.314,0.0
1,normal,100,0,0,306,emailservice,email,60,1,1,1,0,7.314,0.0
1,normal,100,0,0,306,frontend,server,69,5,5,5,0,7.314,0.0
1,normal,100,0,0,306,paymentservice,payment,29,1,1,1,0,7.314,0.0
1,normal,100,0,0,306,productcatalogservice,server,65,4,4,4,0,7.314,0.0
1,normal,100,0,0,306,recommendationservice,server,65,5,5,5,0,7.314,0.0
1,normal,100,0,0,306,redis-cart,-,,1,1,1,0,7.314,0.0
1,normal,100,0,0,306,shippingservice,server,35,1,1,1,0,7.314,0.0
1,normal,100,0,0,321,adservice,server,22,1,1,1,0,7.434,0.0
1,normal,100,0,0,321,cartservice,server,80,4,5,4,0,7.434,0.0
1,normal,100,0,0,321,checkoutservice,checkout,36,1,1,1,0,7.434,0.0
1,normal,100,0,0,321,currencyservice,server,60,1,1,1,0,7.434,0.0
