cycle,arm,target_rate,limit_x,browse_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods,ns_running_cores,ns_pending_cores
1,normal,100,0,0,0,adservice,server,1,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,cartservice,server,4,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,checkoutservice,checkout,0,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,currencyservice,server,0,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,emailservice,email,1,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,frontend,server,0,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,paymentservice,payment,0,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,productcatalogservice,server,0,3,3,3,0,11.001,0.0
1,normal,100,0,0,0,recommendationservice,-,,,0,3,0,11.001,0.0
1,normal,100,0,0,0,redis-cart,-,,1,1,1,0,11.001,0.0
1,normal,100,0,0,0,shippingservice,-,,,0,3,0,11.001,0.0
1,normal,100,0,0,16,adservice,server,6,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,cartservice,server,147,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,checkoutservice,checkout,7,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,currencyservice,server,14,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,emailservice,email,8,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,frontend,server,22,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,paymentservice,payment,5,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,productcatalogservice,server,32,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,recommendationservice,server,32,3,3,3,0,11.001,0.0
1,normal,100,0,0,16,redis-cart,-,,1,1,1,0,11.001,0.0
1,normal,100,0,0,16,shippingservice,server,0,3,3,3,0,11.001,0.0
1,normal,100,0,0,31,adservice,server,33,3,3,3,0,11.481,0.0
1,normal,100,0,0,31,cartservice,server,141,3,7,3,0,11.481,0.0
1,normal,100,0,0,31,checkoutservice,checkout,8,3,3,3,0,11.481,0.0
1,normal,100,0,0,31,currencyservice,server,26,3,3,3,0,11.481,0.0
1,normal,100,0,0,31,emailservice,email,17,3,3,3,0,11.481,0.0
1,normal,100,0,0,31,frontend,server,78,3,3,3,0,11.481,0.0
1,normal,100,0,0,31,paymentservice,payment,20,3,3,3,0,11.481,0.0
1,normal,100,0,0,31,productcatalogservice,server,59,3,3,3,0,11.481,0.0
1,normal,100,0,0,31,recommendationservice,server,53,3,3,3,0,11.481,0.0
1,normal,100,0,0,31,redis-cart,-,,1,1,1,0,11.481,0.0
1,normal,100,0,0,31,shippingservice,server,8,3,3,3,0,11.481,0.0
1,normal,100,0,0,46,adservice,server,33,3,3,3,0,11.84,0.0
1,normal,100,0,0,46,cartservice,server,94,7,7,3,0,11.84,0.0
1,normal,100,0,0,46,checkoutservice,checkout,10,3,3,3,0,11.84,0.0
1,normal,100,0,0,46,currencyservice,server,20,3,3,3,0,11.84,0.0
1,normal,100,0,0,46,emailservice,email,16,3,3,3,0,11.84,0.0
1,normal,100,0,0,46,frontend,server,77,3,4,3,0,11.84,0.0
1,normal,100,0,0,46,paymentservice,payment,16,3,3,3,0,11.84,0.0
1,normal,100,0,0,46,productcatalogservice,server,75,3,3,3,0,11.84,0.0
1,normal,100,0,0,46,recommendationservice,server,70,3,3,3,0,11.84,0.0
1,normal,100,0,0,46,redis-cart,-,,1,1,1,0,11.84,0.0
1,normal,100,0,0,46,shippingservice,server,11,3,3,3,0,11.84,0.0
1,normal,100,0,0,61,adservice,server,22,3,2,2,0,9.3,0.0
1,normal,100,0,0,61,cartservice,server,93,7,7,7,0,9.3,0.0
1,normal,100,0,0,61,checkoutservice,checkout,10,3,1,1,0,9.3,0.0
1,normal,100,0,0,61,currencyservice,server,19,3,2,2,0,9.3,0.0
1,normal,100,0,0,61,emailservice,email,16,3,1,1,0,9.3,0.0
1,normal,100,0,0,61,frontend,server,77,4,4,4,0,9.3,0.0
1,normal,100,0,0,61,paymentservice,payment,16,3,1,1,0,9.3,0.0
1,normal,100,0,0,61,productcatalogservice,server,71,3,3,3,0,9.3,0.0
1,normal,100,0,0,61,recommendationservice,server,70,3,3,3,0,9.3,0.0
1,normal,100,0,0,61,redis-cart,-,,1,1,1,0,9.3,0.0
1,normal,100,0,0,61,shippingservice,server,10,3,1,1,0,9.3,0.0
1,normal,100,0,0,77,adservice,server,19,2,2,2,0,7.7,0.0
1,normal,100,0,0,77,cartservice,server,67,7,7,7,0,7.7,0.0
1,normal,100,0,0,77,checkoutservice,checkout,21,1,1,1,0,7.7,0.0
1,normal,100,0,0,77,currencyservice,server,14,2,2,2,0,7.7,0.0
1,normal,100,0,0,77,emailservice,email,17,1,1,1,0,7.7,0.0
1,normal,100,0,0,77,frontend,server,75,4,4,4,0,7.7,0.0
1,normal,100,0,0,77,paymentservice,payment,17,1,1,1,0,7.7,0.0
1,normal,100,0,0,77,productcatalogservice,server,72,3,3,3,0,7.7,0.0
1,normal,100,0,0,77,recommendationservice,server,73,3,3,3,0,7.7,0.0
1,normal,100,0,0,77,redis-cart,-,,1,1,1,0,7.7,0.0
1,normal,100,0,0,77,shippingservice,server,25,1,1,1,0,7.7,0.0
1,normal,100,0,0,92,adservice,server,16,2,2,2,0,7.7,0.0
1,normal,100,0,0,92,cartservice,server,40,7,7,7,0,7.7,0.0
1,normal,100,0,0,92,checkoutservice,checkout,30,1,1,1,0,7.7,0.0
1,normal,100,0,0,92,currencyservice,server,22,2,1,1,0,7.7,0.0
1,normal,100,0,0,92,emailservice,email,47,1,1,1,0,7.7,0.0
1,normal,100,0,0,92,frontend,server,56,4,4,4,0,7.7,0.0
1,normal,100,0,0,92,paymentservice,payment,30,1,1,1,0,7.7,0.0
1,normal,100,0,0,92,productcatalogservice,server,70,3,3,3,0,7.7,0.0
1,normal,100,0,0,92,recommendationservice,server,65,3,3,3,0,7.7,0.0
1,normal,100,0,0,92,redis-cart,-,,1,1,1,0,7.7,0.0
1,normal,100,0,0,92,shippingservice,server,31,1,1,1,0,7.7,0.0
1,normal,100,0,0,107,adservice,server,28,2,1,1,0,6.6,0.0
1,normal,100,0,0,107,cartservice,server,40,7,7,7,0,6.6,0.0
1,normal,100,0,0,107,checkoutservice,checkout,28,1,1,1,0,6.6,0.0
1,normal,100,0,0,107,currencyservice,server,13,1,1,1,0,6.6,0.0
1,normal,100,0,0,107,emailservice,email,47,1,1,1,0,6.6,0.0
1,normal,100,0,0,107,frontend,server,56,4,4,4,0,6.6,0.0
1,normal,100,0,0,107,paymentservice,payment,35,1,1,1,0,6.6,0.0
1,normal,100,0,0,107,productcatalogservice,server,70,3,3,3,0,6.6,0.0
1,normal,100,0,0,107,recommendationservice,server,70,3,3,3,0,6.6,0.0
1,normal,100,0,0,107,redis-cart,-,,1,1,1,0,6.6,0.0
1,normal,100,0,0,107,shippingservice,server,30,1,1,1,0,6.6,0.0
1,normal,100,0,0,122,adservice,server,18,1,1,1,0,6.6,0.0
1,normal,100,0,0,122,cartservice,server,37,7,7,7,0,6.6,0.0
1,normal,100,0,0,122,checkoutservice,checkout,29,1,1,1,0,6.6,0.0
1,normal,100,0,0,122,currencyservice,server,34,1,1,1,0,6.6,0.0
1,normal,100,0,0,122,emailservice,email,47,1,1,1,0,6.6,0.0
1,normal,100,0,0,122,frontend,server,55,4,4,4,0,6.6,0.0
1,normal,100,0,0,122,paymentservice,payment,34,1,1,1,0,6.6,0.0
1,normal,100,0,0,122,productcatalogservice,server,71,3,3,3,0,6.6,0.0
1,normal,100,0,0,122,recommendationservice,server,67,3,3,3,0,6.6,0.0
1,normal,100,0,0,122,redis-cart,-,,1,1,1,0,6.6,0.0
1,normal,100,0,0,122,shippingservice,server,31,1,1,1,0,6.6,0.0
1,normal,100,0,0,138,adservice,server,33,1,1,1,0,6.24,0.0
1,normal,100,0,0,138,cartservice,server,37,7,4,4,0,6.24,0.0
1,normal,100,0,0,138,checkoutservice,checkout,29,1,1,1,0,6.24,0.0
1,normal,100,0,0,138,currencyservice,server,50,1,1,1,0,6.24,0.0
1,normal,100,0,0,138,emailservice,email,47,1,1,1,0,6.24,0.0
1,normal,100,0,0,138,frontend,server,55,4,4,4,0,6.24,0.0
1,normal,100,0,0,138,paymentservice,payment,37,1,1,1,0,6.24,0.0
1,normal,100,0,0,138,productcatalogservice,server,67,3,3,3,0,6.24,0.0
1,normal,100,0,0,138,recommendationservice,server,68,3,3,3,0,6.24,0.0
1,normal,100,0,0,138,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,138,shippingservice,server,31,1,1,1,0,6.24,0.0
1,normal,100,0,0,153,adservice,server,36,1,1,1,0,6.24,0.0
1,normal,100,0,0,153,cartservice,server,62,4,4,4,0,6.24,0.0
1,normal,100,0,0,153,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,153,currencyservice,server,49,1,1,1,0,6.24,0.0
1,normal,100,0,0,153,emailservice,email,47,1,1,1,0,6.24,0.0
1,normal,100,0,0,153,frontend,server,53,4,4,4,0,6.24,0.0
1,normal,100,0,0,153,paymentservice,payment,32,1,1,1,0,6.24,0.0
1,normal,100,0,0,153,productcatalogservice,server,72,3,3,3,0,6.24,0.0
1,normal,100,0,0,153,recommendationservice,server,67,3,3,3,0,6.24,0.0
1,normal,100,0,0,153,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,153,shippingservice,server,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,168,adservice,server,17,1,1,1,0,6.24,0.0
1,normal,100,0,0,168,cartservice,server,70,4,4,4,0,6.24,0.0
1,normal,100,0,0,168,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,168,currencyservice,server,48,1,1,1,0,6.24,0.0
1,normal,100,0,0,168,emailservice,email,46,1,1,1,0,6.24,0.0
1,normal,100,0,0,168,frontend,server,56,4,4,4,0,6.24,0.0
1,normal,100,0,0,168,paymentservice,payment,34,1,1,1,0,6.24,0.0
1,normal,100,0,0,168,productcatalogservice,server,71,3,3,3,0,6.24,0.0
1,normal,100,0,0,168,recommendationservice,server,66,3,3,3,0,6.24,0.0
1,normal,100,0,0,168,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,168,shippingservice,server,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,adservice,server,18,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,cartservice,server,67,4,4,4,0,6.24,0.0
1,normal,100,0,0,183,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,currencyservice,server,49,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,emailservice,email,46,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,frontend,server,54,4,4,4,0,6.24,0.0
1,normal,100,0,0,183,paymentservice,payment,34,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,productcatalogservice,server,68,3,3,3,0,6.24,0.0
1,normal,100,0,0,183,recommendationservice,server,66,3,3,3,0,6.24,0.0
1,normal,100,0,0,183,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,shippingservice,server,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,adservice,server,20,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,cartservice,server,63,4,4,4,0,6.24,0.0
1,normal,100,0,0,198,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,currencyservice,server,49,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,emailservice,email,46,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,frontend,server,56,4,4,4,0,6.24,0.0
1,normal,100,0,0,198,paymentservice,payment,34,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,productcatalogservice,server,69,3,3,3,0,6.24,0.0
1,normal,100,0,0,198,recommendationservice,server,68,3,3,3,0,6.24,0.0
1,normal,100,0,0,198,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,shippingservice,server,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,214,adservice,server,16,1,1,1,0,6.24,0.0
1,normal,100,0,0,214,cartservice,server,66,4,4,4,0,6.24,0.0
1,normal,100,0,0,214,checkoutservice,checkout,29,1,1,1,0,6.24,0.0
1,normal,100,0,0,214,currencyservice,server,50,1,1,1,0,6.24,0.0
1,normal,100,0,0,214,emailservice,email,46,1,1,1,0,6.24,0.0
1,normal,100,0,0,214,frontend,server,54,4,4,4,0,6.24,0.0
1,normal,100,0,0,214,paymentservice,payment,34,1,1,1,0,6.24,0.0
1,normal,100,0,0,214,productcatalogservice,server,69,3,3,3,0,6.24,0.0
1,normal,100,0,0,214,recommendationservice,server,67,3,3,3,0,6.24,0.0
1,normal,100,0,0,214,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,214,shippingservice,server,31,1,1,1,0,6.24,0.0
1,normal,100,0,0,229,adservice,server,15,1,1,1,0,6.24,0.0
1,normal,100,0,0,229,cartservice,server,58,4,4,4,0,6.24,0.0
1,normal,100,0,0,229,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,229,currencyservice,server,48,1,1,1,0,6.24,0.0
1,normal,100,0,0,229,emailservice,email,46,1,1,1,0,6.24,0.0
1,normal,100,0,0,229,frontend,server,55,4,4,4,0,6.24,0.0
1,normal,100,0,0,229,paymentservice,payment,34,1,1,1,0,6.24,0.0
1,normal,100,0,0,229,productcatalogservice,server,68,3,3,3,0,6.24,0.0
1,normal,100,0,0,229,recommendationservice,server,65,3,3,3,0,6.24,0.0
1,normal,100,0,0,229,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,229,shippingservice,server,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,244,adservice,server,15,1,1,1,0,6.24,0.0
1,normal,100,0,0,244,cartservice,server,58,4,4,4,0,6.24,0.0
1,normal,100,0,0,244,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,244,currencyservice,server,49,1,1,1,0,6.24,0.0
1,normal,100,0,0,244,emailservice,email,46,1,1,1,0,6.24,0.0
1,normal,100,0,0,244,frontend,server,55,4,4,4,0,6.24,0.0
1,normal,100,0,0,244,paymentservice,payment,33,1,1,1,0,6.24,0.0
1,normal,100,0,0,244,productcatalogservice,server,69,3,3,3,0,6.24,0.0
1,normal,100,0,0,244,recommendationservice,server,71,3,3,3,0,6.24,0.0
1,normal,100,0,0,244,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,244,shippingservice,server,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,259,adservice,server,14,1,1,1,0,6.24,0.0
1,normal,100,0,0,259,cartservice,server,62,4,4,4,0,6.24,0.0
1,normal,100,0,0,259,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,259,currencyservice,server,48,1,1,1,0,6.24,0.0
1,normal,100,0,0,259,emailservice,email,46,1,1,1,0,6.24,0.0
1,normal,100,0,0,259,frontend,server,54,4,4,4,0,6.24,0.0
1,normal,100,0,0,259,paymentservice,payment,33,1,1,1,0,6.24,0.0
1,normal,100,0,0,259,productcatalogservice,server,67,3,3,3,0,6.24,0.0
1,normal,100,0,0,259,recommendationservice,server,65,3,3,3,0,6.24,0.0
1,normal,100,0,0,259,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,259,shippingservice,server,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,275,adservice,server,19,1,1,1,0,6.24,0.0
1,normal,100,0,0,275,cartservice,server,63,4,4,4,0,6.24,0.0
1,normal,100,0,0,275,checkoutservice,checkout,27,1,1,1,0,6.24,0.0
1,normal,100,0,0,275,currencyservice,server,50,1,1,1,0,6.24,0.0
1,normal,100,0,0,275,emailservice,email,47,1,1,1,0,6.24,0.0
1,normal,100,0,0,275,frontend,server,55,4,4,4,0,6.24,0.0
1,normal,100,0,0,275,paymentservice,payment,33,1,1,1,0,6.24,0.0
1,normal,100,0,0,275,productcatalogservice,server,71,3,3,3,0,6.24,0.0
1,normal,100,0,0,275,recommendationservice,server,71,3,3,3,0,6.24,0.0
1,normal,100,0,0,275,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,275,shippingservice,server,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,290,adservice,server,13,1,1,1,0,6.24,0.0
1,normal,100,0,0,290,cartservice,server,58,4,4,4,0,6.24,0.0
1,normal,100,0,0,290,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,290,currencyservice,server,50,1,1,1,0,6.24,0.0
1,normal,100,0,0,290,emailservice,email,46,1,1,1,0,6.24,0.0
1,normal,100,0,0,290,frontend,server,54,4,4,4,0,6.24,0.0
1,normal,100,0,0,290,paymentservice,payment,33,1,1,1,0,6.24,0.0
1,normal,100,0,0,290,productcatalogservice,server,68,3,3,3,0,6.24,0.0
1,normal,100,0,0,290,recommendationservice,server,66,3,3,3,0,6.24,0.0
1,normal,100,0,0,290,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,290,shippingservice,server,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,305,adservice,server,12,1,1,1,0,6.24,0.0
1,normal,100,0,0,305,cartservice,server,67,4,4,4,0,6.24,0.0
1,normal,100,0,0,305,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,305,currencyservice,server,49,1,1,1,0,6.24,0.0
1,normal,100,0,0,305,emailservice,email,46,1,1,1,0,6.24,0.0
1,normal,100,0,0,305,frontend,server,53,4,4,4,0,6.24,0.0
1,normal,100,0,0,305,paymentservice,payment,34,1,1,1,0,6.24,0.0
1,normal,100,0,0,305,productcatalogservice,server,69,3,3,3,0,6.24,0.0
1,normal,100,0,0,305,recommendationservice,server,66,3,3,3,0,6.24,0.0
1,normal,100,0,0,305,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,305,shippingservice,server,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,320,adservice,server,12,1,1,1,0,6.24,0.0
1,normal,100,0,0,320,cartservice,server,60,4,4,4,0,6.24,0.0
1,normal,100,0,0,320,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,320,currencyservice,server,49,1,1,1,0,6.24,0.0
