cycle,arm,target_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,frontcatalog,250,0,adservice,server,4,2,2,2,0
1,frontcatalog,250,0,cartservice,server,1,2,2,2,0
1,frontcatalog,250,0,checkoutservice,checkout,0,2,2,2,0
1,frontcatalog,250,0,currencyservice,server,0,2,2,2,0
1,frontcatalog,250,0,emailservice,email,2,2,2,2,0
1,frontcatalog,250,0,frontend,productcatalog,0,2,2,2,0
1,frontcatalog,250,0,frontend,server,0,2,2,2,0
1,frontcatalog,250,0,paymentservice,payment,1,2,2,2,0
1,frontcatalog,250,0,recommendationservice,-,,,0,2,0
1,frontcatalog,250,0,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,shippingservice,-,,,0,2,0
1,frontcatalog,250,16,adservice,server,254,2,2,2,0
1,frontcatalog,250,16,cartservice,server,0,2,2,2,0
1,frontcatalog,250,16,checkoutservice,checkout,40,2,2,2,0
1,frontcatalog,250,16,currencyservice,server,4,2,2,2,0
1,frontcatalog,250,16,emailservice,email,1,2,2,2,0
1,frontcatalog,250,16,frontend,productcatalog,17,2,2,2,0
1,frontcatalog,250,16,frontend,server,21,2,2,2,0
1,frontcatalog,250,16,paymentservice,payment,1,2,2,2,0
1,frontcatalog,250,16,recommendationservice,server,0,2,2,2,0
1,frontcatalog,250,16,redis-cart,-,,1,1,1,0
1,frontcatalog,250,16,shippingservice,server,0,2,2,2,0
1,frontcatalog,250,31,adservice,server,431,2,6,2,0
1,frontcatalog,250,31,cartservice,server,101,2,2,2,0
1,frontcatalog,250,31,checkoutservice,checkout,88,2,2,2,0
1,frontcatalog,250,31,currencyservice,server,80,2,2,2,0
1,frontcatalog,250,31,emailservice,email,78,2,2,2,0
1,frontcatalog,250,31,frontend,productcatalog,49,2,2,2,0
1,frontcatalog,250,31,frontend,server,57,2,2,2,0
1,frontcatalog,250,31,paymentservice,payment,108,2,2,2,0
1,frontcatalog,250,31,recommendationservice,server,60,2,2,2,0
1,frontcatalog,250,31,redis-cart,-,,1,1,1,0
1,frontcatalog,250,31,shippingservice,server,90,2,2,2,0
1,frontcatalog,250,46,adservice,server,331,6,8,2,0
1,frontcatalog,250,46,cartservice,server,87,2,3,2,0
1,frontcatalog,250,46,checkoutservice,checkout,78,2,3,2,0
1,frontcatalog,250,46,currencyservice,server,100,2,3,3,0
1,frontcatalog,250,46,emailservice,email,96,2,3,2,0
1,frontcatalog,250,46,frontend,productcatalog,78,2,2,2,0
1,frontcatalog,250,46,frontend,server,84,2,2,2,0
1,frontcatalog,250,46,paymentservice,payment,104,2,3,2,1
1,frontcatalog,250,46,recommendationservice,server,86,2,2,2,0
1,frontcatalog,250,46,redis-cart,-,,1,1,1,0
1,frontcatalog,250,46,shippingservice,server,82,2,3,2,1
1,frontcatalog,250,62,adservice,server,218,8,8,4,0
1,frontcatalog,250,62,cartservice,server,87,3,3,2,0
1,frontcatalog,250,62,checkoutservice,checkout,79,3,3,3,0
1,frontcatalog,250,62,currencyservice,server,91,3,3,3,0
1,frontcatalog,250,62,emailservice,email,96,3,3,3,0
1,frontcatalog,250,62,frontend,productcatalog,75,2,3,2,0
1,frontcatalog,250,62,frontend,server,83,2,3,2,0
1,frontcatalog,250,62,paymentservice,payment,88,3,3,3,0
1,frontcatalog,250,62,recommendationservice,server,83,2,3,2,0
1,frontcatalog,250,62,redis-cart,-,,1,1,1,0
1,frontcatalog,250,62,shippingservice,server,80,3,3,3,0
1,frontcatalog,250,77,adservice,server,157,8,8,7,0
1,frontcatalog,250,77,cartservice,server,72,3,3,3,0
1,frontcatalog,250,77,checkoutservice,checkout,53,3,3,3,0
1,frontcatalog,250,77,currencyservice,server,61,3,3,3,0
1,frontcatalog,250,77,emailservice,email,61,3,3,3,0
1,frontcatalog,250,77,frontend,productcatalog,80,3,3,3,0
1,frontcatalog,250,77,frontend,server,86,3,3,3,0
1,frontcatalog,250,77,paymentservice,payment,88,3,3,3,0
1,frontcatalog,250,77,recommendationservice,server,0,3,3,2,0
1,frontcatalog,250,77,redis-cart,-,,1,1,1,0
1,frontcatalog,250,77,shippingservice,server,57,3,3,3,0
1,frontcatalog,250,92,adservice,server,78,8,8,8,0
1,frontcatalog,250,92,cartservice,server,86,3,3,3,0
1,frontcatalog,250,92,checkoutservice,checkout,58,3,3,3,0
1,frontcatalog,250,92,currencyservice,server,63,3,3,3,0
1,frontcatalog,250,92,emailservice,email,62,3,3,3,0
1,frontcatalog,250,92,frontend,productcatalog,81,3,3,3,0
1,frontcatalog,250,92,frontend,server,88,3,3,3,0
1,frontcatalog,250,92,paymentservice,payment,61,3,3,3,0
1,frontcatalog,250,92,recommendationservice,server,0,3,3,2,0
1,frontcatalog,250,92,redis-cart,-,,1,1,1,0
1,frontcatalog,250,92,shippingservice,server,59,3,3,3,0
1,frontcatalog,250,107,adservice,server,44,8,8,8,0
1,frontcatalog,250,107,cartservice,server,58,3,3,3,0
1,frontcatalog,250,107,checkoutservice,checkout,55,3,3,3,0
1,frontcatalog,250,107,currencyservice,server,63,3,3,3,0
1,frontcatalog,250,107,emailservice,email,64,3,3,3,0
1,frontcatalog,250,107,frontend,productcatalog,54,3,3,3,0
1,frontcatalog,250,107,frontend,server,59,3,3,3,0
1,frontcatalog,250,107,paymentservice,payment,61,3,3,3,0
1,frontcatalog,250,107,recommendationservice,server,0,3,3,2,0
1,frontcatalog,250,107,redis-cart,-,,1,1,1,0
1,frontcatalog,250,107,shippingservice,server,57,3,3,3,0
1,frontcatalog,250,123,adservice,server,31,8,8,8,0
1,frontcatalog,250,123,cartservice,server,55,3,3,3,0
1,frontcatalog,250,123,checkoutservice,checkout,55,3,3,3,0
1,frontcatalog,250,123,currencyservice,server,63,3,3,3,0
1,frontcatalog,250,123,emailservice,email,64,3,3,3,0
1,frontcatalog,250,123,frontend,productcatalog,54,3,3,3,0
1,frontcatalog,250,123,frontend,server,61,3,3,3,0
1,frontcatalog,250,123,paymentservice,payment,61,3,3,3,0
1,frontcatalog,250,123,recommendationservice,server,0,3,2,2,0
1,frontcatalog,250,123,redis-cart,-,,1,1,1,0
1,frontcatalog,250,123,shippingservice,server,56,3,3,3,0
1,frontcatalog,250,138,adservice,server,24,8,8,8,0
1,frontcatalog,250,138,cartservice,server,56,3,3,3,0
1,frontcatalog,250,138,checkoutservice,checkout,54,3,3,3,0
1,frontcatalog,250,138,currencyservice,server,64,3,3,3,0
1,frontcatalog,250,138,emailservice,email,64,3,3,3,0
1,frontcatalog,250,138,frontend,productcatalog,56,3,3,3,0
1,frontcatalog,250,138,frontend,server,60,3,3,3,0
1,frontcatalog,250,138,paymentservice,payment,61,3,3,3,0
1,frontcatalog,250,138,recommendationservice,server,0,2,1,1,0
1,frontcatalog,250,138,redis-cart,-,,1,1,1,0
1,frontcatalog,250,138,shippingservice,server,56,3,3,3,0
1,frontcatalog,250,153,adservice,server,31,8,4,4,0
1,frontcatalog,250,153,cartservice,server,56,3,3,3,0
1,frontcatalog,250,153,checkoutservice,checkout,63,3,3,3,0
1,frontcatalog,250,153,currencyservice,server,74,3,3,3,0
1,frontcatalog,250,153,emailservice,email,74,3,3,3,0
1,frontcatalog,250,153,frontend,productcatalog,65,3,3,3,0
1,frontcatalog,250,153,frontend,server,71,3,3,3,0
1,frontcatalog,250,153,paymentservice,payment,71,3,3,3,0
1,frontcatalog,250,153,recommendationservice,server,52,1,1,1,0
1,frontcatalog,250,153,redis-cart,-,,1,1,1,0
1,frontcatalog,250,153,shippingservice,server,66,3,3,3,0
1,frontcatalog,250,169,adservice,server,52,4,4,4,0
1,frontcatalog,250,169,cartservice,server,60,3,3,3,0
1,frontcatalog,250,169,checkoutservice,checkout,63,3,3,3,0
1,frontcatalog,250,169,currencyservice,server,65,3,3,3,0
1,frontcatalog,250,169,emailservice,email,74,3,3,3,0
1,frontcatalog,250,169,frontend,productcatalog,56,3,3,3,0
1,frontcatalog,250,169,frontend,server,62,3,3,3,0
1,frontcatalog,250,169,paymentservice,payment,59,3,3,3,0
1,frontcatalog,250,169,recommendationservice,-,,1,1,0,0
1,frontcatalog,250,169,redis-cart,-,,1,1,1,0
1,frontcatalog,250,169,shippingservice,server,63,3,3,3,0
1,frontcatalog,250,184,adservice,server,49,4,4,4,0
1,frontcatalog,250,184,cartservice,server,54,3,3,3,0
1,frontcatalog,250,184,checkoutservice,checkout,53,3,3,3,0
1,frontcatalog,250,184,currencyservice,server,62,3,3,3,0
1,frontcatalog,250,184,emailservice,email,61,3,3,3,0
1,frontcatalog,250,184,frontend,productcatalog,54,3,3,3,0
1,frontcatalog,250,184,frontend,server,59,3,3,3,0
1,frontcatalog,250,184,paymentservice,payment,59,3,3,3,0
1,frontcatalog,250,184,recommendationservice,-,,1,1,0,0
1,frontcatalog,250,184,redis-cart,-,,1,1,1,0
1,frontcatalog,250,184,shippingservice,server,56,3,3,3,0
1,frontcatalog,250,199,adservice,server,40,4,4,4,0
1,frontcatalog,250,199,cartservice,server,57,3,3,3,0
1,frontcatalog,250,199,checkoutservice,checkout,55,3,3,3,0
1,frontcatalog,250,199,currencyservice,server,62,3,3,3,0
1,frontcatalog,250,199,emailservice,email,63,3,3,3,0
1,frontcatalog,250,199,frontend,productcatalog,56,3,3,3,0
1,frontcatalog,250,199,frontend,server,61,3,3,3,0
1,frontcatalog,250,199,paymentservice,payment,58,3,3,3,0
1,frontcatalog,250,199,recommendationservice,-,,1,1,0,0
1,frontcatalog,250,199,redis-cart,-,,1,1,1,0
1,frontcatalog,250,199,shippingservice,server,56,3,3,3,0
1,frontcatalog,250,215,adservice,server,36,4,3,3,0
1,frontcatalog,250,215,cartservice,server,60,3,3,3,0
1,frontcatalog,250,215,checkoutservice,checkout,57,3,3,3,0
1,frontcatalog,250,215,currencyservice,server,63,3,3,3,0
1,frontcatalog,250,215,emailservice,email,65,3,3,3,0
1,frontcatalog,250,215,frontend,productcatalog,55,3,3,3,0
1,frontcatalog,250,215,frontend,server,61,3,3,3,0
1,frontcatalog,250,215,paymentservice,payment,63,3,3,3,0
1,frontcatalog,250,215,recommendationservice,-,,1,1,0,0
1,frontcatalog,250,215,redis-cart,-,,1,1,1,0
1,frontcatalog,250,215,shippingservice,server,57,3,3,3,0
1,frontcatalog,250,230,adservice,server,50,3,3,3,0
1,frontcatalog,250,230,cartservice,server,53,3,3,3,0
