cycle,arm,target_rate,limit_x,browse_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods,ns_running_cores,ns_pending_cores
1,frontrecocartcatalog,100,0,100,0,adservice,-,,1,0,1,0,8.741,0.0
1,frontrecocartcatalog,100,0,100,0,checkoutservice,checkout,0,1,1,1,0,8.741,0.0
1,frontrecocartcatalog,100,0,100,0,currencyservice,server,0,1,1,1,0,8.741,0.0
1,frontrecocartcatalog,100,0,100,0,emailservice,email,1,1,1,1,0,8.741,0.0
1,frontrecocartcatalog,100,0,100,0,frontend,-,,1,0,1,0,8.741,0.0
1,frontrecocartcatalog,100,0,100,0,paymentservice,-,,,0,1,0,8.741,0.0
1,frontrecocartcatalog,100,0,100,0,redis-cart,-,,1,1,1,0,8.741,0.0
1,frontrecocartcatalog,100,0,100,0,shippingservice,-,,,0,1,0,8.741,0.0
1,frontrecocartcatalog,100,0,100,15,adservice,-,,1,0,1,0,5.762,0.0
1,frontrecocartcatalog,100,0,100,15,checkoutservice,checkout,0,1,1,1,0,5.762,0.0
1,frontrecocartcatalog,100,0,100,15,currencyservice,server,46,1,1,1,0,5.762,0.0
1,frontrecocartcatalog,100,0,100,15,emailservice,email,36,1,1,1,0,5.762,0.0
1,frontrecocartcatalog,100,0,100,15,frontend,cartservice,88,1,1,1,0,5.762,0.0
1,frontrecocartcatalog,100,0,100,15,frontend,productcatalog,63,1,1,1,0,5.762,0.0
1,frontrecocartcatalog,100,0,100,15,frontend,recommendation,9,1,1,1,0,5.762,0.0
1,frontrecocartcatalog,100,0,100,15,frontend,server,85,1,1,1,0,5.762,0.0
1,frontrecocartcatalog,100,0,100,15,paymentservice,payment,1,1,1,1,0,5.762,0.0
1,frontrecocartcatalog,100,0,100,15,redis-cart,-,,1,1,1,0,5.762,0.0
1,frontrecocartcatalog,100,0,100,15,shippingservice,server,0,1,1,1,0,5.762,0.0
1,frontrecocartcatalog,100,0,100,30,adservice,server,102,1,2,1,0,6.062,2.842
1,frontrecocartcatalog,100,0,100,30,checkoutservice,checkout,0,1,1,1,0,6.062,2.842
1,frontrecocartcatalog,100,0,100,30,currencyservice,server,66,1,1,1,0,6.062,2.842
1,frontrecocartcatalog,100,0,100,30,emailservice,email,53,1,1,1,0,6.062,2.842
1,frontrecocartcatalog,100,0,100,30,frontend,cartservice,109,1,2,1,1,6.062,2.842
1,frontrecocartcatalog,100,0,100,30,frontend,productcatalog,86,1,2,1,1,6.062,2.842
1,frontrecocartcatalog,100,0,100,30,frontend,recommendation,101,1,2,1,1,6.062,2.842
1,frontrecocartcatalog,100,0,100,30,frontend,server,96,1,2,1,1,6.062,2.842
1,frontrecocartcatalog,100,0,100,30,paymentservice,payment,54,1,1,1,0,6.062,2.842
1,frontrecocartcatalog,100,0,100,30,redis-cart,-,,1,1,1,0,6.062,2.842
