cycle,arm,target_rate,time,object,message
1,frontcatalog,250,2026-08-29T10:16:34Z,paymentservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,250,2026-08-29T10:16:48Z,adservice,New size: 6; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,250,2026-08-29T10:16:48Z,cartservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,250,2026-08-29T10:16:48Z,checkoutservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,250,2026-08-29T10:16:48Z,currencyservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,250,2026-08-29T10:16:49Z,emailservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,250,2026-08-29T10:16:49Z,frontend,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,250,2026-08-29T10:16:50Z,recommendationservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,250,2026-08-29T10:16:50Z,shippingservice,New size: 3; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,250,2026-08-29T10:17:34Z,paymentservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,250,2026-08-29T10:18:33Z,adservice,New size: 4; reason: All metrics below target
1,frontcatalog,250,2026-08-29T10:18:49Z,emailservice,New size: 4; reason: cpu container resource utilization (percentage of request) above target
1,frontcatalog,250,2026-08-29T10:19:48Z,adservice,New size: 3; reason: All metrics below target
