cycle,arm,target_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,frontcatalog,250,1,adservice,server,7,2,2,2,0
1,frontcatalog,250,1,cartservice,server,0,2,2,2,0
1,frontcatalog,250,1,checkoutservice,checkout,0,2,2,2,0
1,frontcatalog,250,1,currencyservice,server,0,2,2,2,0
1,frontcatalog,250,1,emailservice,email,2,2,2,2,0
1,frontcatalog,250,1,frontend,productcatalog,0,2,2,2,0
1,frontcatalog,250,1,frontend,server,0,2,2,2,0
1,frontcatalog,250,1,paymentservice,payment,1,2,2,2,0
1,frontcatalog,250,1,recommendationservice,-,,,0,2,0
1,frontcatalog,250,1,redis-cart,-,,1,1,1,0
1,frontcatalog,250,1,shippingservice,-,,,0,2,0
1,frontcatalog,250,16,adservice,server,14,2,2,2,0
1,frontcatalog,250,16,cartservice,server,44,2,2,2,0
1,frontcatalog,250,16,checkoutservice,checkout,48,2,2,2,0
1,frontcatalog,250,16,currencyservice,server,44,2,2,2,0
1,frontcatalog,250,16,emailservice,email,73,2,2,2,0
1,frontcatalog,250,16,frontend,productcatalog,10,2,2,2,0
1,frontcatalog,250,16,frontend,server,26,2,2,2,0
1,frontcatalog,250,16,paymentservice,payment,95,2,2,2,0
1,frontcatalog,250,16,recommendationservice,server,23,2,2,2,0
1,frontcatalog,250,16,redis-cart,-,,1,1,1,0
1,frontcatalog,250,16,shippingservice,server,0,2,2,2,0
1,frontcatalog,250,31,adservice,server,413,2,2,2,0
1,frontcatalog,250,31,cartservice,server,122,2,2,2,0
1,frontcatalog,250,31,checkoutservice,checkout,87,2,2,2,0
1,frontcatalog,250,31,currencyservice,server,80,2,2,2,0
1,frontcatalog,250,31,emailservice,email,102,2,2,2,0
1,frontcatalog,250,31,frontend,productcatalog,65,2,2,2,0
1,frontcatalog,250,31,frontend,server,86,2,2,2,0
1,frontcatalog,250,31,paymentservice,payment,117,2,3,2,1
1,frontcatalog,250,31,recommendationservice,server,92,2,2,2,0
1,frontcatalog,250,31,redis-cart,-,,1,1,1,0
1,frontcatalog,250,31,shippingservice,server,92,2,2,2,0
1,frontcatalog,250,47,adservice,server,178,2,6,2,0
1,frontcatalog,250,47,cartservice,server,128,2,4,2,0
1,frontcatalog,250,47,checkoutservice,checkout,92,2,3,3,0
1,frontcatalog,250,47,currencyservice,server,82,2,3,2,1
1,frontcatalog,250,47,emailservice,email,104,2,3,2,1
1,frontcatalog,250,47,frontend,productcatalog,78,2,3,2,1
