cycle,arm,target_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,normal,200,0,adservice,-,,1,0,1,0
1,normal,200,0,cartservice,-,,1,0,1,0
1,normal,200,0,checkoutservice,checkout,0,1,1,1,0
1,normal,200,0,currencyservice,server,0,1,1,1,0
1,normal,200,0,emailservice,email,1,1,1,1,0
1,normal,200,0,frontend,-,,,0,1,0
1,normal,200,0,paymentservice,-,,,0,1,0
1,normal,200,0,productcatalogservice,-,,,0,1,0
1,normal,200,0,recommendationservice,-,,,0,1,0
1,normal,200,0,redis-cart,-,,1,1,1,0
1,normal,200,0,shippingservice,-,,,0,1,0
1,normal,200,15,adservice,-,,1,0,1,0
1,normal,200,15,cartservice,-,,1,0,1,0
1,normal,200,15,checkoutservice,checkout,0,1,1,1,0
1,normal,200,15,currencyservice,server,0,1,1,1,0
1,normal,200,15,emailservice,email,1,1,1,1,0
1,normal,200,15,frontend,server,0,1,1,1,0
1,normal,200,15,paymentservice,payment,3,1,1,1,0
1,normal,200,15,productcatalogservice,server,0,1,1,1,0
1,normal,200,15,recommendationservice,server,0,1,1,1,0
1,normal,200,15,redis-cart,-,,1,1,1,0
1,normal,200,15,shippingservice,server,0,1,1,1,0
1,normal,200,31,adservice,server,111,1,2,1,1
1,normal,200,31,cartservice,server,27,1,1,1,0
1,normal,200,31,checkoutservice,checkout,17,1,1,1,0
1,normal,200,31,currencyservice,server,39,1,1,1,0
1,normal,200,31,emailservice,email,91,1,2,1,1
1,normal,200,31,frontend,server,48,1,1,1,0
1,normal,200,31,paymentservice,payment,52,1,1,1,0
1,normal,200,31,productcatalogservice,server,0,1,1,1,0
1,normal,200,31,recommendationservice,server,0,1,1,1,0
1,normal,200,31,redis-cart,-,,1,1,1,0
1,normal,200,31,shippingservice,server,0,1,1,1,0
1,normal,200,46,adservice,server,134,2,2,1,0
1,normal,200,46,cartservice,server,103,1,2,1,0
1,normal,200,46,checkoutservice,checkout,54,1,1,1,0
1,normal,200,46,currencyservice,server,84,1,2,1,0
1,normal,200,46,emailservice,email,97,2,2,2,0
1,normal,200,46,frontend,server,148,1,3,1,2
1,normal,200,46,paymentservice,payment,67,1,1,1,0
1,normal,200,46,productcatalogservice,server,146,2,2,2,0
1,normal,200,46,recommendationservice,server,71,1,1,1,1
1,normal,200,46,redis-cart,-,,1,1,1,0
1,normal,200,46,shippingservice,server,22,1,1,1,0
1,normal,200,61,adservice,server,85,2,2,1,0
1,normal,200,61,cartservice,server,94,2,2,1,0
1,normal,200,61,checkoutservice,checkout,59,1,1,1,0
1,normal,200,61,currencyservice,server,78,2,2,2,0
1,normal,200,61,emailservice,email,97,2,2,2,0
1,normal,200,61,frontend,server,153,3,3,3,0
1,normal,200,61,paymentservice,payment,45,1,1,1,0
1,normal,200,61,productcatalogservice,server,144,2,2,2,0
1,normal,200,61,recommendationservice,server,89,2,2,2,0
1,normal,200,61,redis-cart,-,,1,1,1,0
1,normal,200,61,shippingservice,server,58,1,1,1,0
1,normal,200,76,adservice,server,50,2,2,2,0
1,normal,200,76,cartservice,server,68,2,2,2,0
1,normal,200,76,checkoutservice,checkout,46,1,1,1,0
1,normal,200,76,currencyservice,server,78,2,2,2,0
1,normal,200,76,emailservice,email,42,2,2,2,0
1,normal,200,76,frontend,server,148,3,3,3,0
1,normal,200,76,paymentservice,payment,43,1,1,1,0
1,normal,200,76,productcatalogservice,server,63,2,2,2,0
1,normal,200,76,recommendationservice,server,92,2,2,2,0
1,normal,200,76,redis-cart,-,,1,1,1,0
1,normal,200,76,shippingservice,server,47,1,1,1,0
1,normal,200,91,adservice,server,38,2,2,2,0
1,normal,200,91,cartservice,server,73,2,2,2,0
1,normal,200,91,checkoutservice,checkout,51,1,1,1,0
1,normal,200,91,currencyservice,server,37,2,2,2,0
1,normal,200,91,emailservice,email,41,2,2,2,0
1,normal,200,91,frontend,server,74,3,3,3,0
1,normal,200,91,paymentservice,payment,54,1,1,1,0
1,normal,200,91,productcatalogservice,server,69,2,2,2,0
1,normal,200,91,recommendationservice,server,44,2,2,2,0
1,normal,200,91,redis-cart,-,,1,1,1,0
1,normal,200,91,shippingservice,server,50,1,1,1,0
1,normal,200,107,adservice,server,31,2,2,2,0
1,normal,200,107,cartservice,server,59,2,2,2,0
1,normal,200,107,checkoutservice,checkout,48,1,1,1,0
1,normal,200,107,currencyservice,server,37,2,2,2,0
1,normal,200,107,emailservice,email,43,2,2,2,0
1,normal,200,107,frontend,server,49,3,3,3,0
1,normal,200,107,paymentservice,payment,32,1,1,1,0
1,normal,200,107,productcatalogservice,server,61,2,2,2,0
1,normal,200,107,recommendationservice,server,44,2,2,2,0
1,normal,200,107,redis-cart,-,,1,1,1,0
1,normal,200,107,shippingservice,server,46,1,1,1,0
1,normal,200,122,adservice,server,18,2,2,2,0
1,normal,200,122,cartservice,server,37,2,2,2,0
1,normal,200,122,checkoutservice,checkout,48,1,1,1,0
1,normal,200,122,currencyservice,server,32,2,2,2,0
1,normal,200,122,emailservice,email,42,2,2,2,0
1,normal,200,122,frontend,server,53,3,3,3,0
1,normal,200,122,paymentservice,payment,32,1,1,1,0
1,normal,200,122,productcatalogservice,server,66,2,2,2,0
1,normal,200,122,recommendationservice,server,46,2,2,2,0
1,normal,200,122,redis-cart,-,,1,1,1,0
1,normal,200,122,shippingservice,server,43,1,1,1,0
1,normal,200,137,adservice,server,16,2,2,2,0
1,normal,200,137,cartservice,server,39,2,2,2,0
1,normal,200,137,checkoutservice,checkout,48,1,1,1,0
1,normal,200,137,currencyservice,server,34,2,2,2,0
1,normal,200,137,emailservice,email,42,2,2,2,0
1,normal,200,137,frontend,server,53,3,3,3,0
1,normal,200,137,paymentservice,payment,35,1,1,1,0
1,normal,200,137,productcatalogservice,server,65,2,2,2,0
1,normal,200,137,recommendationservice,server,47,2,2,2,0
1,normal,200,137,redis-cart,-,,1,1,1,0
1,normal,200,137,shippingservice,server,45,1,1,1,0
1,normal,200,152,adservice,server,16,2,2,2,0
1,normal,200,152,cartservice,server,36,2,2,2,0
1,normal,200,152,checkoutservice,checkout,50,1,1,1,0
1,normal,200,152,currencyservice,server,33,2,2,2,0
1,normal,200,152,emailservice,email,41,2,2,2,0
1,normal,200,152,frontend,server,53,3,3,3,0
1,normal,200,152,paymentservice,payment,33,1,1,1,0
1,normal,200,152,productcatalogservice,server,67,2,2,2,0
1,normal,200,152,recommendationservice,server,47,2,2,2,0
1,normal,200,152,redis-cart,-,,1,1,1,0
1,normal,200,152,shippingservice,server,43,1,1,1,0
1,normal,200,167,adservice,server,15,2,2,2,0
1,normal,200,167,cartservice,server,25,2,2,2,0
1,normal,200,167,checkoutservice,checkout,39,1,1,1,0
1,normal,200,167,currencyservice,server,30,2,2,2,0
1,normal,200,167,emailservice,email,29,2,2,2,0
1,normal,200,167,frontend,server,53,3,3,3,0
1,normal,200,167,paymentservice,payment,33,1,1,1,0
1,normal,200,167,productcatalogservice,server,56,2,2,2,0
1,normal,200,167,recommendationservice,server,44,2,2,2,0
1,normal,200,167,redis-cart,-,,1,1,1,0
1,normal,200,167,shippingservice,server,38,1,1,1,0
1,normal,200,183,adservice,server,14,2,2,2,0
1,normal,200,183,cartservice,server,29,2,2,2,0
1,normal,200,183,checkoutservice,checkout,44,1,1,1,0
1,normal,200,183,currencyservice,server,29,2,2,2,0
1,normal,200,183,emailservice,email,33,2,2,2,0
1,normal,200,183,frontend,server,50,3,3,3,0
1,normal,200,183,paymentservice,payment,25,1,1,1,0
1,normal,200,183,productcatalogservice,server,62,2,2,2,0
1,normal,200,183,recommendationservice,server,46,2,2,2,0
1,normal,200,183,redis-cart,-,,1,1,1,0
1,normal,200,183,shippingservice,server,38,1,1,1,0
1,normal,200,198,adservice,server,16,2,2,2,0
1,normal,200,198,cartservice,server,29,2,2,2,0
1,normal,200,198,checkoutservice,checkout,44,1,1,1,0
1,normal,200,198,currencyservice,server,29,2,2,2,0
1,normal,200,198,emailservice,email,37,2,2,2,0
1,normal,200,198,frontend,server,52,3,3,3,0
1,normal,200,198,paymentservice,payment,25,1,1,1,0
1,normal,200,198,productcatalogservice,server,62,2,2,2,0
1,normal,200,198,recommendationservice,server,46,2,2,2,0
1,normal,200,198,redis-cart,-,,1,1,1,0
1,normal,200,198,shippingservice,server,43,1,1,1,0
1,normal,200,213,adservice,server,16,2,2,2,0
1,normal,200,213,cartservice,server,33,2,2,2,0
1,normal,200,213,checkoutservice,checkout,48,1,1,1,0
1,normal,200,213,currencyservice,server,31,2,2,2,0
1,normal,200,213,emailservice,email,35,2,2,2,0
1,normal,200,213,frontend,server,53,3,3,3,0
1,normal,200,213,paymentservice,payment,29,1,1,1,0
1,normal,200,213,productcatalogservice,server,63,2,2,2,0
1,normal,200,213,recommendationservice,server,47,2,2,2,0
1,normal,200,213,redis-cart,-,,1,1,1,0
1,normal,200,213,shippingservice,server,41,1,1,1,0
1,normal,200,228,adservice,server,16,2,2,2,0
1,normal,200,228,cartservice,server,30,2,2,2,0
1,normal,200,228,checkoutservice,checkout,44,1,1,1,0
1,normal,200,228,currencyservice,server,31,2,2,2,0
1,normal,200,228,emailservice,email,36,2,2,2,0
1,normal,200,228,frontend,server,50,3,3,3,0
1,normal,200,228,paymentservice,payment,28,1,1,1,0
1,normal,200,228,productcatalogservice,server,63,2,2,2,0
1,normal,200,228,recommendationservice,server,47,2,2,2,0
1,normal,200,228,redis-cart,-,,1,1,1,0
1,normal,200,228,shippingservice,server,41,1,1,1,0
1,normal,200,243,adservice,server,16,2,2,2,0
1,normal,200,243,cartservice,server,29,2,2,2,0
1,normal,200,243,checkoutservice,checkout,44,1,1,1,0
1,normal,200,243,currencyservice,server,31,2,2,2,0
1,normal,200,243,emailservice,email,38,2,2,2,0
1,normal,200,243,frontend,server,51,3,3,3,0
1,normal,200,243,paymentservice,payment,29,1,1,1,0
1,normal,200,243,productcatalogservice,server,61,2,2,2,0
1,normal,200,243,recommendationservice,server,45,2,2,2,0
1,normal,200,243,redis-cart,-,,1,1,1,0
1,normal,200,243,shippingservice,server,39,1,1,1,0
1,normal,200,259,adservice,server,16,2,2,2,0
1,normal,200,259,cartservice,server,34,2,2,2,0
1,normal,200,259,checkoutservice,checkout,49,1,1,1,0
1,normal,200,259,currencyservice,server,31,2,2,2,0
1,normal,200,259,emailservice,email,41,2,2,2,0
1,normal,200,259,frontend,server,53,3,3,3,0
1,normal,200,259,paymentservice,payment,30,1,1,1,0
1,normal,200,259,productcatalogservice,server,63,2,2,2,0
1,normal,200,259,recommendationservice,server,45,2,2,2,0
1,normal,200,259,redis-cart,-,,1,1,1,0
1,normal,200,259,shippingservice,server,45,1,1,1,0
1,normal,200,274,adservice,server,16,2,2,2,0
1,normal,200,274,cartservice,server,36,2,2,2,0
1,normal,200,274,checkoutservice,checkout,47,1,1,1,0
1,normal,200,274,currencyservice,server,32,2,2,2,0
1,normal,200,274,emailservice,email,38,2,2,2,0
1,normal,200,274,frontend,server,52,3,3,3,0
1,normal,200,274,paymentservice,payment,28,1,1,1,0
1,normal,200,274,productcatalogservice,server,66,2,2,2,0
1,normal,200,274,recommendationservice,server,47,2,2,2,0
1,normal,200,274,redis-cart,-,,1,1,1,0
1,normal,200,274,shippingservice,server,42,1,1,1,0
1,normal,200,289,adservice,server,15,2,2,2,0
1,normal,200,289,cartservice,server,36,2,2,2,0
1,normal,200,289,checkoutservice,checkout,64,1,1,1,0
1,normal,200,289,currencyservice,server,45,2,2,2,0
1,normal,200,289,emailservice,email,38,2,2,2,0
1,normal,200,289,frontend,server,49,3,3,3,0
1,normal,200,289,paymentservice,payment,59,1,1,1,0
1,normal,200,289,productcatalogservice,server,69,2,2,2,0
1,normal,200,289,recommendationservice,server,46,2,2,2,0
1,normal,200,289,redis-cart,-,,1,1,1,0
1,normal,200,289,shippingservice,server,49,1,1,1,0
1,normal,200,304,adservice,server,15,2,2,2,0
1,normal,200,304,cartservice,server,43,2,2,2,0
1,normal,200,304,checkoutservice,checkout,45,1,1,1,0
1,normal,200,304,currencyservice,server,34,2,2,2,0
1,normal,200,304,emailservice,email,49,2,2,2,0
1,normal,200,304,frontend,server,51,3,3,3,0
1,normal,200,304,paymentservice,payment,38,1,1,1,0
1,normal,200,304,productcatalogservice,server,66,2,2,2,0
1,normal,200,304,recommendationservice,server,42,2,2,2,0
1,normal,200,304,redis-cart,-,,1,1,1,0
1,normal,200,304,shippingservice,server,55,1,1,1,0
1,normal,200,319,adservice,server,16,2,2,2,0
