cycle,arm,target_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,frontcatalog,250,0,adservice,server,5,2,2,2,0
1,frontcatalog,250,0,cartservice,server,1,2,2,2,0
1,frontcatalog,250,0,checkoutservice,checkout,0,2,2,2,0
1,frontcatalog,250,0,currencyservice,server,0,2,2,2,0
1,frontcatalog,250,0,emailservice,email,2,2,2,2,0
1,frontcatalog,250,0,frontend,productcatalog,0,2,2,2,0
1,frontcatalog,250,0,frontend,server,0,2,2,2,0
1,frontcatalog,250,0,paymentservice,payment,1,2,2,2,0
1,frontcatalog,250,0,recommendationservice,-,,,0,2,0
1,frontcatalog,250,0,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,shippingservice,-,,,0,2,0
1,frontcatalog,250,15,adservice,server,5,2,2,2,0
1,frontcatalog,250,15,cartservice,server,3,2,2,2,0
1,frontcatalog,250,15,checkoutservice,checkout,1,2,2,2,0
1,frontcatalog,250,15,currencyservice,server,0,2,2,2,0
1,frontcatalog,250,15,emailservice,email,2,2,2,2,0
1,frontcatalog,250,15,frontend,productcatalog,2,2,2,2,0
1,frontcatalog,250,15,frontend,server,0,2,2,2,0
1,frontcatalog,250,15,paymentservice,payment,1,2,2,2,0
1,frontcatalog,250,15,recommendationservice,server,0,2,2,2,0
1,frontcatalog,250,15,redis-cart,-,,1,1,1,0
1,frontcatalog,250,15,shippingservice,server,0,2,2,2,0
1,frontcatalog,250,31,adservice,server,120,2,2,2,0
1,frontcatalog,250,31,cartservice,server,114,2,2,2,0
1,frontcatalog,250,31,checkoutservice,checkout,42,2,2,2,0
1,frontcatalog,250,31,currencyservice,server,109,2,2,2,0
1,frontcatalog,250,31,emailservice,email,56,2,2,2,0
1,frontcatalog,250,31,frontend,productcatalog,33,2,2,2,0
1,frontcatalog,250,31,frontend,server,56,2,2,2,0
1,frontcatalog,250,31,paymentservice,payment,1,2,2,2,0
1,frontcatalog,250,31,recommendationservice,server,61,2,2,2,0
1,frontcatalog,250,31,redis-cart,-,,1,1,1,0
1,frontcatalog,250,31,shippingservice,server,86,2,2,2,0
1,frontcatalog,250,46,adservice,server,360,2,4,2,0
1,frontcatalog,250,46,cartservice,server,92,2,3,2,0
1,frontcatalog,250,46,checkoutservice,checkout,83,2,2,2,0
1,frontcatalog,250,46,currencyservice,server,98,2,3,2,0
1,frontcatalog,250,46,emailservice,email,82,2,2,2,0
1,frontcatalog,250,46,frontend,productcatalog,79,2,2,2,0
1,frontcatalog,250,46,frontend,server,86,2,2,2,0
1,frontcatalog,250,46,paymentservice,payment,132,2,2,2,0
1,frontcatalog,250,46,recommendationservice,server,93,2,2,2,0
1,frontcatalog,250,46,redis-cart,-,,1,1,1,0
1,frontcatalog,250,46,shippingservice,server,94,2,3,2,1
1,frontcatalog,250,62,adservice,server,183,4,6,2,0
1,frontcatalog,250,62,cartservice,server,113,3,3,2,0
1,frontcatalog,250,62,checkoutservice,checkout,93,2,3,3,0
1,frontcatalog,250,62,currencyservice,server,96,3,3,3,0
1,frontcatalog,250,62,emailservice,email,105,2,3,2,0
1,frontcatalog,250,62,frontend,productcatalog,79,2,3,2,0
1,frontcatalog,250,62,frontend,server,83,2,3,2,0
1,frontcatalog,250,62,paymentservice,payment,112,2,4,2,0
1,frontcatalog,250,62,recommendationservice,server,88,2,3,2,1
1,frontcatalog,250,62,redis-cart,-,,1,1,1,0
1,frontcatalog,250,62,shippingservice,server,93,3,3,3,0
1,frontcatalog,250,77,adservice,server,100,6,6,4,0
1,frontcatalog,250,77,cartservice,server,111,3,3,3,0
1,frontcatalog,250,77,checkoutservice,checkout,98,3,3,3,0
1,frontcatalog,250,77,currencyservice,server,106,3,3,3,0
1,frontcatalog,250,77,emailservice,email,113,3,3,3,0
1,frontcatalog,250,77,frontend,productcatalog,81,3,3,3,0
1,frontcatalog,250,77,frontend,server,91,3,3,3,0
1,frontcatalog,250,77,paymentservice,payment,113,4,4,4,0
1,frontcatalog,250,77,recommendationservice,server,110,3,3,3,0
1,frontcatalog,250,77,redis-cart,-,,1,1,1,0
1,frontcatalog,250,77,shippingservice,server,108,3,3,3,0
1,frontcatalog,250,92,adservice,server,94,6,6,6,0
1,frontcatalog,250,92,cartservice,server,127,3,3,3,0
1,frontcatalog,250,92,checkoutservice,checkout,73,3,3,3,0
1,frontcatalog,250,92,currencyservice,server,77,3,3,3,0
1,frontcatalog,250,92,emailservice,email,128,3,3,3,0
1,frontcatalog,250,92,frontend,productcatalog,86,3,3,3,0
1,frontcatalog,250,92,frontend,server,92,3,3,3,0
1,frontcatalog,250,92,paymentservice,payment,129,4,4,4,0
1,frontcatalog,250,92,recommendationservice,server,69,3,3,3,0
1,frontcatalog,250,92,redis-cart,-,,1,1,1,0
1,frontcatalog,250,92,shippingservice,server,65,3,3,3,0
1,frontcatalog,250,108,adservice,server,88,6,6,6,0
1,frontcatalog,250,108,cartservice,server,83,3,4,3,0
1,frontcatalog,250,108,checkoutservice,checkout,66,3,3,3,0
1,frontcatalog,250,108,currencyservice,server,74,3,3,3,0
1,frontcatalog,250,108,emailservice,email,79,3,4,3,0
1,frontcatalog,250,108,frontend,productcatalog,58,3,3,3,0
1,frontcatalog,250,108,frontend,server,62,3,3,3,0
1,frontcatalog,250,108,paymentservice,payment,79,4,4,4,0
1,frontcatalog,250,108,recommendationservice,server,62,3,3,3,0
1,frontcatalog,250,108,redis-cart,-,,1,1,1,0
1,frontcatalog,250,108,shippingservice,server,63,3,3,3,0
1,frontcatalog,250,123,adservice,server,80,6,6,6,0
1,frontcatalog,250,123,cartservice,server,71,4,4,3,0
1,frontcatalog,250,123,checkoutservice,checkout,65,3,3,3,0
