cycle,arm,target_rate,limit_x,browse_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods,ns_running_cores,ns_pending_cores
1,normal,350,0,0,0,adservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,0,cartservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,0,checkoutservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,0,currencyservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,0,emailservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,0,frontend,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,0,paymentservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,0,productcatalogservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,0,recommendationservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,0,redis-cart,-,,1,1,1,0,6.3,0.0
1,normal,350,0,0,0,shippingservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,16,adservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,16,cartservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,16,checkoutservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,16,currencyservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,16,emailservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,16,frontend,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,16,paymentservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,16,productcatalogservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,16,recommendationservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,16,redis-cart,-,,1,1,1,0,6.3,0.0
1,normal,350,0,0,16,shippingservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,31,adservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,31,cartservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,31,checkoutservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,31,currencyservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,31,emailservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,31,frontend,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,31,paymentservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,31,productcatalogservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,31,recommendationservice,-,,4,4,3,0,6.3,0.0
1,normal,350,0,0,31,redis-cart,-,,1,1,1,0,6.3,0.0
1,normal,350,0,0,31,shippingservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,46,adservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,46,cartservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,46,checkoutservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,46,currencyservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,46,emailservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,46,frontend,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,46,paymentservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,46,productcatalogservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,46,recommendationservice,-,,4,4,3,0,6.3,0.0
1,normal,350,0,0,46,redis-cart,-,,1,1,1,0,6.3,0.0
1,normal,350,0,0,46,shippingservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,62,adservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,62,cartservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,62,checkoutservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,62,currencyservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,62,emailservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,62,frontend,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,62,paymentservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,62,productcatalogservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,62,recommendationservice,-,,4,4,2,0,6.3,0.0
1,normal,350,0,0,62,redis-cart,-,,1,1,1,0,6.3,0.0
1,normal,350,0,0,62,shippingservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,77,adservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,77,cartservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,77,checkoutservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,77,currencyservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,77,emailservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,77,frontend,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,77,paymentservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,77,productcatalogservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,77,recommendationservice,-,,4,4,2,0,6.3,0.0
1,normal,350,0,0,77,redis-cart,-,,1,1,1,0,6.3,0.0
1,normal,350,0,0,77,shippingservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,93,adservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,93,cartservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,93,checkoutservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,93,currencyservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,93,emailservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,93,frontend,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,93,paymentservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,93,productcatalogservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,93,recommendationservice,-,,4,4,2,0,6.3,0.0
1,normal,350,0,0,93,redis-cart,-,,1,1,1,0,6.3,0.0
1,normal,350,0,0,93,shippingservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,108,adservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,108,cartservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,108,checkoutservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,108,currencyservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,108,emailservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,108,frontend,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,108,paymentservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,108,productcatalogservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,108,recommendationservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,108,redis-cart,-,,1,1,1,0,6.3,0.0
1,normal,350,0,0,108,shippingservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,124,adservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,124,cartservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,124,checkoutservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,124,currencyservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,124,emailservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,124,frontend,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,124,paymentservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,124,productcatalogservice,-,,4,4,4,0,6.3,0.0
1,normal,350,0,0,124,recommendationservice,-,,4,4,3,0,6.3,0.0
