cycle,arm,target_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,normal,150,0,adservice,server,5,2,2,2,0
1,normal,150,0,cartservice,server,1,2,2,2,0
1,normal,150,0,checkoutservice,checkout,0,2,2,2,0
1,normal,150,0,currencyservice,server,0,2,2,2,0
1,normal,150,0,emailservice,email,2,2,2,2,0
1,normal,150,0,frontend,server,0,2,2,2,0
1,normal,150,0,paymentservice,-,,,0,2,0
1,normal,150,0,productcatalogservice,-,,,0,2,0
1,normal,150,0,recommendationservice,-,,,0,2,0
1,normal,150,0,redis-cart,-,,1,1,1,0
1,normal,150,0,shippingservice,-,,,0,2,0
1,normal,150,15,adservice,server,4,2,2,2,0
1,normal,150,15,cartservice,server,34,2,2,2,0
1,normal,150,15,checkoutservice,checkout,4,2,2,2,0
1,normal,150,15,currencyservice,server,26,2,2,2,0
1,normal,150,15,emailservice,email,5,2,2,2,0
1,normal,150,15,frontend,server,14,2,2,2,0
1,normal,150,15,paymentservice,payment,21,2,2,2,0
1,normal,150,15,productcatalogservice,server,0,2,2,2,0
1,normal,150,15,recommendationservice,server,0,2,2,2,0
1,normal,150,15,redis-cart,-,,1,1,1,0
1,normal,150,15,shippingservice,server,0,2,2,2,0
1,normal,150,31,adservice,server,299,2,2,2,0
1,normal,150,31,cartservice,server,96,2,2,2,0
1,normal,150,31,checkoutservice,checkout,59,2,2,2,0
1,normal,150,31,currencyservice,server,63,2,2,2,0
1,normal,150,31,emailservice,email,58,2,2,2,0
1,normal,150,31,frontend,server,60,2,2,2,0
1,normal,150,31,paymentservice,payment,105,2,2,2,0
1,normal,150,31,productcatalogservice,server,35,2,2,2,0
1,normal,150,31,recommendationservice,server,23,2,2,2,0
1,normal,150,31,redis-cart,-,,1,1,1,0
1,normal,150,31,shippingservice,server,8,2,2,2,0
1,normal,150,46,adservice,server,162,2,5,2,0
1,normal,150,46,cartservice,server,70,2,2,2,0
1,normal,150,46,checkoutservice,checkout,63,2,2,2,0
1,normal,150,46,currencyservice,server,65,2,2,2,0
1,normal,150,46,emailservice,email,67,2,2,2,0
1,normal,150,46,frontend,server,60,2,2,2,0
1,normal,150,46,paymentservice,payment,70,2,2,2,0
1,normal,150,46,productcatalogservice,server,56,2,2,2,0
1,normal,150,46,recommendationservice,server,57,2,2,2,0
1,normal,150,46,redis-cart,-,,1,1,1,0
1,normal,150,46,shippingservice,server,57,2,2,2,0
1,normal,150,61,adservice,server,125,5,5,2,0
1,normal,150,61,cartservice,server,68,2,2,2,0
1,normal,150,61,checkoutservice,checkout,58,2,2,2,0
1,normal,150,61,currencyservice,server,63,2,2,2,0
1,normal,150,61,emailservice,email,65,2,2,2,0
1,normal,150,61,frontend,server,54,2,2,2,0
1,normal,150,61,paymentservice,payment,58,2,2,2,0
1,normal,150,61,productcatalogservice,server,56,2,2,2,0
1,normal,150,61,recommendationservice,server,54,2,2,2,0
1,normal,150,61,redis-cart,-,,1,1,1,0
