cycle,arm,target_rate,limit_x,browse_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods,ns_running_cores,ns_pending_cores
1,normal,100,0,0,0,adservice,-,,1,0,1,0,5.859,0.0
1,normal,100,0,0,0,cartservice,server,1,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,checkoutservice,checkout,0,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,currencyservice,server,0,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,emailservice,email,1,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,frontend,server,0,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,paymentservice,payment,1,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,productcatalogservice,-,,,0,1,0,5.859,0.0
1,normal,100,0,0,0,recommendationservice,-,,,0,1,0,5.859,0.0
1,normal,100,0,0,0,redis-cart,-,,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,shippingservice,-,,,0,1,0,5.859,0.0
1,normal,100,0,0,15,adservice,server,61,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,cartservice,server,69,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,checkoutservice,checkout,10,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,currencyservice,server,15,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,emailservice,email,61,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,frontend,server,0,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,paymentservice,payment,0,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,productcatalogservice,server,42,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,recommendationservice,server,0,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,redis-cart,-,,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,shippingservice,server,0,1,1,1,0,5.859,0.0
1,normal,100,0,0,31,adservice,server,80,1,1,1,0,5.859,0.0
1,normal,100,0,0,31,cartservice,server,62,1,1,1,0,5.859,0.0
1,normal,100,0,0,31,checkoutservice,checkout,90,1,1,1,0,5.859,0.0
1,normal,100,0,0,31,currencyservice,server,61,1,1,1,0,5.859,0.0
1,normal,100,0,0,31,emailservice,email,61,1,1,1,0,5.859,0.0
1,normal,100,0,0,31,frontend,server,79,1,1,1,0,5.859,0.0
1,normal,100,0,0,31,paymentservice,payment,59,1,1,1,0,5.859,0.0
1,normal,100,0,0,31,productcatalogservice,server,77,1,1,1,0,5.859,0.0
1,normal,100,0,0,31,recommendationservice,server,47,1,1,1,0,5.859,0.0
1,normal,100,0,0,31,redis-cart,-,,1,1,1,0,5.859,0.0
1,normal,100,0,0,31,shippingservice,server,8,1,1,1,0,5.859,0.0
1,normal,100,0,0,46,adservice,server,61,1,1,1,0,5.859,0.0
1,normal,100,0,0,46,cartservice,server,47,1,1,1,0,5.859,0.0
1,normal,100,0,0,46,checkoutservice,checkout,74,1,1,1,0,5.859,0.0
1,normal,100,0,0,46,currencyservice,server,50,1,1,1,0,5.859,0.0
1,normal,100,0,0,46,emailservice,email,83,1,1,1,0,5.859,0.0
1,normal,100,0,0,46,frontend,server,74,1,1,1,0,5.859,0.0
1,normal,100,0,0,46,paymentservice,payment,47,1,1,1,0,5.859,0.0
1,normal,100,0,0,46,productcatalogservice,server,71,1,1,1,0,5.859,0.0
1,normal,100,0,0,46,recommendationservice,server,44,1,1,1,0,5.859,0.0
1,normal,100,0,0,46,redis-cart,-,,1,1,1,0,5.859,0.0
1,normal,100,0,0,46,shippingservice,server,35,1,1,1,0,5.859,0.0
1,normal,100,0,0,61,adservice,server,61,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,cartservice,server,50,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,checkoutservice,checkout,76,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,currencyservice,server,49,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,emailservice,email,83,1,2,1,0,5.978,0.0
1,normal,100,0,0,61,frontend,server,75,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,paymentservice,payment,36,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,productcatalogservice,server,66,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,recommendationservice,server,41,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,redis-cart,-,,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,shippingservice,server,30,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,adservice,server,34,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,cartservice,server,44,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,checkoutservice,checkout,69,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,currencyservice,server,47,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,emailservice,email,79,2,2,2,0,5.978,0.0
1,normal,100,0,0,76,frontend,server,69,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,paymentservice,payment,33,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,productcatalogservice,server,69,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,recommendationservice,server,41,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,redis-cart,-,,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,shippingservice,server,28,1,1,1,0,5.978,0.0
1,normal,100,0,0,92,adservice,server,29,1,1,1,0,5.978,0.0
1,normal,100,0,0,92,cartservice,server,47,1,1,1,0,5.978,0.0
1,normal,100,0,0,92,checkoutservice,checkout,72,1,1,1,0,5.978,0.0
1,normal,100,0,0,92,currencyservice,server,49,1,1,1,0,5.978,0.0
1,normal,100,0,0,92,emailservice,email,79,2,2,2,0,5.978,0.0
1,normal,100,0,0,92,frontend,server,72,1,1,1,0,5.978,0.0
1,normal,100,0,0,92,paymentservice,payment,35,1,1,1,0,5.978,0.0
1,normal,100,0,0,92,productcatalogservice,server,67,1,1,1,0,5.978,0.0
1,normal,100,0,0,92,recommendationservice,server,42,1,1,1,0,5.978,0.0
1,normal,100,0,0,92,redis-cart,-,,1,1,1,0,5.978,0.0
1,normal,100,0,0,92,shippingservice,server,31,1,1,1,0,5.978,0.0
1,normal,100,0,0,107,adservice,server,19,1,1,1,0,5.978,0.0
1,normal,100,0,0,107,cartservice,server,45,1,1,1,0,5.978,0.0
1,normal,100,0,0,107,checkoutservice,checkout,72,1,1,1,0,5.978,0.0
1,normal,100,0,0,107,currencyservice,server,46,1,1,1,0,5.978,0.0
1,normal,100,0,0,107,emailservice,email,41,2,2,2,0,5.978,0.0
1,normal,100,0,0,107,frontend,server,75,1,1,1,0,5.978,0.0
1,normal,100,0,0,107,paymentservice,payment,32,1,1,1,0,5.978,0.0
1,normal,100,0,0,107,productcatalogservice,server,67,1,1,1,0,5.978,0.0
1,normal,100,0,0,107,recommendationservice,server,42,1,1,1,0,5.978,0.0
1,normal,100,0,0,107,redis-cart,-,,1,1,1,0,5.978,0.0
1,normal,100,0,0,107,shippingservice,server,30,1,1,1,0,5.978,0.0
1,normal,100,0,0,122,adservice,server,22,1,1,1,0,5.978,0.0
1,normal,100,0,0,122,cartservice,server,48,1,1,1,0,5.978,0.0
1,normal,100,0,0,122,checkoutservice,checkout,70,1,1,1,0,5.978,0.0
1,normal,100,0,0,122,currencyservice,server,50,1,1,1,0,5.978,0.0
1,normal,100,0,0,122,emailservice,email,39,2,2,2,0,5.978,0.0
