cycle,arm,target_rate,limit_x,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,normal,100,0,0,adservice,-,,1,0,1,0
1,normal,100,0,0,cartservice,-,,1,0,1,0
1,normal,100,0,0,checkoutservice,checkout,0,1,1,1,0
1,normal,100,0,0,currencyservice,server,0,1,1,1,0
1,normal,100,0,0,emailservice,email,1,1,1,1,0
1,normal,100,0,0,frontend,server,0,1,1,1,0
1,normal,100,0,0,paymentservice,payment,0,1,1,1,0
1,normal,100,0,0,productcatalogservice,server,0,1,1,1,0
1,normal,100,0,0,recommendationservice,-,,,0,1,0
1,normal,100,0,0,redis-cart,-,,1,1,1,0
1,normal,100,0,0,shippingservice,-,,,0,1,0
1,normal,100,0,15,adservice,server,1,1,1,1,0
1,normal,100,0,15,cartservice,server,1,1,1,1,0
1,normal,100,0,15,checkoutservice,checkout,0,1,1,1,0
1,normal,100,0,15,currencyservice,server,21,1,1,1,0
1,normal,100,0,15,emailservice,email,1,1,1,1,0
1,normal,100,0,15,frontend,server,0,1,1,1,0
1,normal,100,0,15,paymentservice,payment,0,1,1,1,0
1,normal,100,0,15,productcatalogservice,server,0,1,1,1,0
1,normal,100,0,15,recommendationservice,server,0,1,1,1,0
1,normal,100,0,15,redis-cart,-,,1,1,1,0
1,normal,100,0,15,shippingservice,server,0,1,1,1,0
1,normal,100,0,31,adservice,server,120,1,1,1,0
1,normal,100,0,31,cartservice,server,151,1,1,1,0
1,normal,100,0,31,checkoutservice,checkout,27,1,1,1,0
1,normal,100,0,31,currencyservice,server,21,1,1,1,0
1,normal,100,0,31,emailservice,email,44,1,1,1,0
1,normal,100,0,31,frontend,server,71,1,1,1,0
1,normal,100,0,31,paymentservice,payment,55,1,1,1,0
1,normal,100,0,31,productcatalogservice,server,49,1,1,1,0
1,normal,100,0,31,recommendationservice,server,82,1,1,1,0
1,normal,100,0,31,redis-cart,-,,1,1,1,0
1,normal,100,0,31,shippingservice,server,0,1,1,1,0
1,normal,100,0,46,adservice,server,44,1,1,1,0
1,normal,100,0,46,cartservice,server,72,1,1,1,0
1,normal,100,0,46,checkoutservice,checkout,31,1,1,1,0
1,normal,100,0,46,currencyservice,server,56,1,1,1,0
