cycle,arm,target_rate,limit_x,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,frontcatalog,300,0,0,adservice,server,5,3,3,3,0
1,frontcatalog,300,0,0,cartservice,server,1,3,3,3,0
1,frontcatalog,300,0,0,checkoutservice,checkout,0,3,3,3,0
1,frontcatalog,300,0,0,currencyservice,server,0,3,3,3,0
1,frontcatalog,300,0,0,emailservice,email,2,3,3,3,0
1,frontcatalog,300,0,0,frontend,productcatalog,0,3,3,3,0
1,frontcatalog,300,0,0,frontend,server,0,3,3,3,0
1,frontcatalog,300,0,0,paymentservice,payment,1,3,3,3,0
1,frontcatalog,300,0,0,recommendationservice,-,,,0,3,0
1,frontcatalog,300,0,0,redis-cart,-,,1,1,1,0
1,frontcatalog,300,0,0,shippingservice,-,,,0,3,0
1,frontcatalog,300,0,16,adservice,server,135,3,3,3,0
1,frontcatalog,300,0,16,cartservice,server,4,3,3,3,0
1,frontcatalog,300,0,16,checkoutservice,checkout,12,3,3,3,0
1,frontcatalog,300,0,16,currencyservice,server,25,3,3,3,0
1,frontcatalog,300,0,16,emailservice,email,1,3,3,3,0
1,frontcatalog,300,0,16,frontend,productcatalog,8,3,3,3,0
1,frontcatalog,300,0,16,frontend,server,4,3,3,3,0
1,frontcatalog,300,0,16,paymentservice,payment,7,3,3,3,0
1,frontcatalog,300,0,16,recommendationservice,server,1,3,3,3,0
1,frontcatalog,300,0,16,redis-cart,-,,1,1,1,0
1,frontcatalog,300,0,16,shippingservice,server,0,3,3,3,0
1,frontcatalog,300,0,31,adservice,server,268,3,6,3,0
1,frontcatalog,300,0,31,cartservice,server,85,3,3,3,0
1,frontcatalog,300,0,31,checkoutservice,checkout,58,3,3,3,0
1,frontcatalog,300,0,31,currencyservice,server,70,3,3,3,0
1,frontcatalog,300,0,31,emailservice,email,65,3,3,3,0
1,frontcatalog,300,0,31,frontend,productcatalog,51,3,3,3,0
1,frontcatalog,300,0,31,frontend,server,56,3,3,3,0
1,frontcatalog,300,0,31,paymentservice,payment,98,3,3,3,0
1,frontcatalog,300,0,31,recommendationservice,server,0,3,3,2,0
1,frontcatalog,300,0,31,redis-cart,-,,1,1,1,0
1,frontcatalog,300,0,31,shippingservice,server,43,3,3,3,0
1,frontcatalog,300,0,46,adservice,server,210,6,8,3,0
1,frontcatalog,300,0,46,cartservice,server,64,3,3,3,0
1,frontcatalog,300,0,46,checkoutservice,checkout,58,3,3,3,0
1,frontcatalog,300,0,46,currencyservice,server,70,3,3,3,0
1,frontcatalog,300,0,46,emailservice,email,68,3,3,3,0
1,frontcatalog,300,0,46,frontend,productcatalog,51,3,3,3,0
1,frontcatalog,300,0,46,frontend,server,58,3,3,3,0
1,frontcatalog,300,0,46,paymentservice,payment,72,3,3,3,0
1,frontcatalog,300,0,46,recommendationservice,server,0,3,3,2,0
1,frontcatalog,300,0,46,redis-cart,-,,1,1,1,0
1,frontcatalog,300,0,46,shippingservice,server,57,3,3,3,0
1,frontcatalog,300,0,62,adservice,server,150,8,8,6,0
1,frontcatalog,300,0,62,cartservice,server,69,3,3,3,0
1,frontcatalog,300,0,62,checkoutservice,checkout,57,3,3,3,0
1,frontcatalog,300,0,62,currencyservice,server,70,3,3,3,0
1,frontcatalog,300,0,62,emailservice,email,66,3,3,3,0
1,frontcatalog,300,0,62,frontend,productcatalog,52,3,3,3,0
1,frontcatalog,300,0,62,frontend,server,57,3,3,3,0
1,frontcatalog,300,0,62,paymentservice,payment,68,3,3,3,0
1,frontcatalog,300,0,62,recommendationservice,server,0,3,1,1,0
1,frontcatalog,300,0,62,redis-cart,-,,1,1,1,0
1,frontcatalog,300,0,62,shippingservice,server,57,3,3,3,0
1,frontcatalog,300,0,77,adservice,server,110,8,8,8,0
1,frontcatalog,300,0,77,cartservice,server,60,3,3,3,0
1,frontcatalog,300,0,77,checkoutservice,checkout,62,3,3,3,0
1,frontcatalog,300,0,77,currencyservice,server,71,3,3,3,0
1,frontcatalog,300,0,77,emailservice,email,66,3,3,3,0
1,frontcatalog,300,0,77,frontend,productcatalog,51,3,3,3,0
1,frontcatalog,300,0,77,frontend,server,60,3,3,3,0
