cycle,arm,target_rate,limit_x,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,frontcatalog,200,0,1,adservice,-,,1,0,1,0
1,frontcatalog,200,0,1,cartservice,-,,1,0,1,0
1,frontcatalog,200,0,1,checkoutservice,checkout,0,1,1,1,0
1,frontcatalog,200,0,1,currencyservice,server,0,1,1,1,0
1,frontcatalog,200,0,1,emailservice,email,1,1,1,1,0
1,frontcatalog,200,0,1,frontend,-,,1,0,1,0
1,frontcatalog,200,0,1,paymentservice,payment,1,1,1,1,0
1,frontcatalog,200,0,1,recommendationservice,-,,,0,1,0
1,frontcatalog,200,0,1,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,1,shippingservice,-,,,0,1,0
1,frontcatalog,200,0,16,adservice,server,46,1,1,1,0
1,frontcatalog,200,0,16,cartservice,server,30,1,1,1,0
1,frontcatalog,200,0,16,checkoutservice,checkout,0,1,1,1,0
1,frontcatalog,200,0,16,currencyservice,server,0,1,1,1,0
1,frontcatalog,200,0,16,emailservice,email,2,1,1,1,0
1,frontcatalog,200,0,16,frontend,productcatalog,0,1,1,1,0
1,frontcatalog,200,0,16,frontend,server,0,1,1,1,0
1,frontcatalog,200,0,16,paymentservice,payment,1,1,1,1,0
1,frontcatalog,200,0,16,recommendationservice,server,18,1,1,1,0
1,frontcatalog,200,0,16,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,16,shippingservice,server,1,1,1,1,0
1,frontcatalog,200,0,31,adservice,server,46,1,1,1,0
1,frontcatalog,200,0,31,cartservice,server,189,1,1,1,0
1,frontcatalog,200,0,31,checkoutservice,checkout,81,1,1,1,0
1,frontcatalog,200,0,31,currencyservice,server,81,1,1,1,0
1,frontcatalog,200,0,31,emailservice,email,139,1,1,1,0
1,frontcatalog,200,0,31,frontend,productcatalog,103,1,1,1,0
1,frontcatalog,200,0,31,frontend,server,109,1,1,1,0
1,frontcatalog,200,0,31,paymentservice,payment,121,1,1,1,0
1,frontcatalog,200,0,31,recommendationservice,server,145,1,1,1,0
1,frontcatalog,200,0,31,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,31,shippingservice,server,0,1,1,1,0
1,frontcatalog,200,0,46,adservice,server,692,1,1,1,0
1,frontcatalog,200,0,46,cartservice,server,189,1,3,1,0
1,frontcatalog,200,0,46,checkoutservice,checkout,81,1,2,2,0
1,frontcatalog,200,0,46,currencyservice,server,132,1,2,1,0
1,frontcatalog,200,0,46,emailservice,email,166,1,2,1,1
1,frontcatalog,200,0,46,frontend,productcatalog,124,1,2,1,1
1,frontcatalog,200,0,46,frontend,server,135,1,2,1,1
1,frontcatalog,200,0,46,paymentservice,payment,121,1,2,1,1
1,frontcatalog,200,0,46,recommendationservice,server,145,1,3,1,2
1,frontcatalog,200,0,46,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,46,shippingservice,server,131,1,1,1,0
1,frontcatalog,200,0,62,adservice,server,408,1,5,1,0
1,frontcatalog,200,0,62,cartservice,server,117,3,3,1,0
1,frontcatalog,200,0,62,checkoutservice,checkout,122,2,2,2,0
1,frontcatalog,200,0,62,currencyservice,server,97,2,2,2,0
1,frontcatalog,200,0,62,emailservice,email,131,2,2,2,0
1,frontcatalog,200,0,62,frontend,productcatalog,115,2,2,2,0
1,frontcatalog,200,0,62,frontend,server,141,2,2,2,0
1,frontcatalog,200,0,62,paymentservice,payment,120,2,2,2,0
1,frontcatalog,200,0,62,recommendationservice,server,140,3,3,3,0
1,frontcatalog,200,0,62,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,62,shippingservice,server,120,1,2,1,1
1,frontcatalog,200,0,77,adservice,server,243,5,5,1,0
1,frontcatalog,200,0,77,cartservice,server,137,3,3,3,0
1,frontcatalog,200,0,77,checkoutservice,checkout,60,2,2,2,0
1,frontcatalog,200,0,77,currencyservice,server,57,2,2,2,0
1,frontcatalog,200,0,77,emailservice,email,128,2,2,2,0
1,frontcatalog,200,0,77,frontend,productcatalog,112,2,2,2,0
1,frontcatalog,200,0,77,frontend,server,143,2,2,2,0
1,frontcatalog,200,0,77,paymentservice,payment,104,2,2,2,0
1,frontcatalog,200,0,77,recommendationservice,server,152,3,3,3,0
1,frontcatalog,200,0,77,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,77,shippingservice,server,108,2,2,2,0
1,frontcatalog,200,0,92,adservice,server,243,5,5,4,0
1,frontcatalog,200,0,92,cartservice,server,189,3,3,3,0
1,frontcatalog,200,0,92,checkoutservice,checkout,79,2,2,2,0
1,frontcatalog,200,0,92,currencyservice,server,68,2,2,2,0
1,frontcatalog,200,0,92,emailservice,email,86,2,2,2,0
1,frontcatalog,200,0,92,frontend,productcatalog,62,2,2,2,0
1,frontcatalog,200,0,92,frontend,server,66,2,2,2,0
1,frontcatalog,200,0,92,paymentservice,payment,60,2,2,2,0
1,frontcatalog,200,0,92,recommendationservice,server,73,3,3,3,0
1,frontcatalog,200,0,92,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,92,shippingservice,server,137,2,2,2,0
1,frontcatalog,200,0,107,adservice,server,137,5,5,5,0
1,frontcatalog,200,0,107,cartservice,server,160,3,3,3,0
1,frontcatalog,200,0,107,checkoutservice,checkout,73,2,2,2,0
1,frontcatalog,200,0,107,currencyservice,server,64,2,2,2,0
1,frontcatalog,200,0,107,emailservice,email,85,2,3,2,0
1,frontcatalog,200,0,107,frontend,productcatalog,63,2,2,2,0
1,frontcatalog,200,0,107,frontend,server,69,2,2,2,0
1,frontcatalog,200,0,107,paymentservice,payment,88,2,2,2,0
1,frontcatalog,200,0,107,recommendationservice,server,46,3,3,3,0
1,frontcatalog,200,0,107,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,107,shippingservice,server,70,2,2,2,0
1,frontcatalog,200,0,123,adservice,server,134,5,5,5,0
1,frontcatalog,200,0,123,cartservice,server,47,3,3,3,0
1,frontcatalog,200,0,123,checkoutservice,checkout,67,2,2,2,0
1,frontcatalog,200,0,123,currencyservice,server,65,2,2,2,0
1,frontcatalog,200,0,123,emailservice,email,75,3,3,3,0
1,frontcatalog,200,0,123,frontend,productcatalog,61,2,2,2,0
1,frontcatalog,200,0,123,frontend,server,68,2,2,2,0
1,frontcatalog,200,0,123,paymentservice,payment,58,2,2,2,0
1,frontcatalog,200,0,123,recommendationservice,server,49,3,3,3,0
1,frontcatalog,200,0,123,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,123,shippingservice,server,64,2,2,2,0
1,frontcatalog,200,0,138,adservice,server,42,5,5,5,0
1,frontcatalog,200,0,138,cartservice,server,62,3,3,3,0
1,frontcatalog,200,0,138,checkoutservice,checkout,73,2,2,2,0
1,frontcatalog,200,0,138,currencyservice,server,64,2,2,2,0
1,frontcatalog,200,0,138,emailservice,email,76,3,3,3,0
1,frontcatalog,200,0,138,frontend,productcatalog,59,2,2,2,0
1,frontcatalog,200,0,138,frontend,server,67,2,2,2,0
1,frontcatalog,200,0,138,paymentservice,payment,80,2,2,2,0
1,frontcatalog,200,0,138,recommendationservice,server,46,3,3,3,0
1,frontcatalog,200,0,138,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,138,shippingservice,server,64,2,2,2,0
1,frontcatalog,200,0,153,adservice,server,26,5,5,5,0
1,frontcatalog,200,0,153,cartservice,server,61,3,3,3,0
1,frontcatalog,200,0,153,checkoutservice,checkout,73,2,2,2,0
1,frontcatalog,200,0,153,currencyservice,server,71,2,2,2,0
1,frontcatalog,200,0,153,emailservice,email,57,3,3,3,0
1,frontcatalog,200,0,153,frontend,productcatalog,62,2,2,2,0
1,frontcatalog,200,0,153,frontend,server,66,2,2,2,0
1,frontcatalog,200,0,153,paymentservice,payment,89,2,3,3,0
1,frontcatalog,200,0,153,recommendationservice,server,46,3,3,3,0
1,frontcatalog,200,0,153,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,153,shippingservice,server,76,2,2,2,0
1,frontcatalog,200,0,168,adservice,server,25,5,5,5,0
1,frontcatalog,200,0,168,cartservice,server,50,3,3,3,0
1,frontcatalog,200,0,168,checkoutservice,checkout,73,2,2,2,0
1,frontcatalog,200,0,168,currencyservice,server,71,2,2,2,0
1,frontcatalog,200,0,168,emailservice,email,41,3,3,3,0
1,frontcatalog,200,0,168,frontend,productcatalog,58,2,2,2,0
1,frontcatalog,200,0,168,frontend,server,67,2,2,2,0
1,frontcatalog,200,0,168,paymentservice,payment,89,3,3,3,0
1,frontcatalog,200,0,168,recommendationservice,server,43,3,3,3,0
1,frontcatalog,200,0,168,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,168,shippingservice,server,57,2,2,2,0
1,frontcatalog,200,0,184,adservice,server,27,5,2,2,0
1,frontcatalog,200,0,184,cartservice,server,32,3,3,3,0
1,frontcatalog,200,0,184,checkoutservice,checkout,50,2,2,2,0
1,frontcatalog,200,0,184,currencyservice,server,50,2,2,2,0
1,frontcatalog,200,0,184,emailservice,email,56,3,3,3,0
1,frontcatalog,200,0,184,frontend,productcatalog,55,2,2,2,0
1,frontcatalog,200,0,184,frontend,server,64,2,2,2,0
1,frontcatalog,200,0,184,paymentservice,payment,57,3,3,3,0
1,frontcatalog,200,0,184,recommendationservice,server,43,3,2,2,0
1,frontcatalog,200,0,184,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,184,shippingservice,server,71,2,2,2,0
1,frontcatalog,200,0,199,adservice,server,60,2,2,2,0
1,frontcatalog,200,0,199,cartservice,server,52,3,3,3,0
1,frontcatalog,200,0,199,checkoutservice,checkout,77,2,2,2,0
1,frontcatalog,200,0,199,currencyservice,server,70,2,2,2,0
1,frontcatalog,200,0,199,emailservice,email,57,3,3,3,0
1,frontcatalog,200,0,199,frontend,productcatalog,63,2,2,2,0
1,frontcatalog,200,0,199,frontend,server,67,2,2,2,0
1,frontcatalog,200,0,199,paymentservice,payment,59,3,3,3,0
1,frontcatalog,200,0,199,recommendationservice,server,74,2,2,2,0
1,frontcatalog,200,0,199,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,199,shippingservice,server,77,2,2,2,0
1,frontcatalog,200,0,214,adservice,server,65,2,2,2,0
1,frontcatalog,200,0,214,cartservice,server,51,3,3,3,0
1,frontcatalog,200,0,214,checkoutservice,checkout,71,2,2,2,0
1,frontcatalog,200,0,214,currencyservice,server,69,2,2,2,0
1,frontcatalog,200,0,214,emailservice,email,57,3,3,3,0
1,frontcatalog,200,0,214,frontend,productcatalog,62,2,2,2,0
1,frontcatalog,200,0,214,frontend,server,65,2,2,2,0
1,frontcatalog,200,0,214,paymentservice,payment,50,3,3,3,0
1,frontcatalog,200,0,214,recommendationservice,server,65,2,2,2,0
1,frontcatalog,200,0,214,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,214,shippingservice,server,77,2,3,3,0
1,frontcatalog,200,0,229,adservice,server,57,2,2,2,0
1,frontcatalog,200,0,229,cartservice,server,61,3,3,3,0
1,frontcatalog,200,0,229,checkoutservice,checkout,79,2,2,2,0
1,frontcatalog,200,0,229,currencyservice,server,71,2,2,2,0
1,frontcatalog,200,0,229,emailservice,email,55,3,3,3,0
1,frontcatalog,200,0,229,frontend,productcatalog,63,2,2,2,0
1,frontcatalog,200,0,229,frontend,server,71,2,2,2,0
1,frontcatalog,200,0,229,paymentservice,payment,58,3,3,3,0
1,frontcatalog,200,0,229,recommendationservice,server,74,2,2,2,0
1,frontcatalog,200,0,229,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,229,shippingservice,server,72,3,3,3,0
1,frontcatalog,200,0,245,adservice,server,57,2,2,2,0
1,frontcatalog,200,0,245,cartservice,server,52,3,3,3,0
1,frontcatalog,200,0,245,checkoutservice,checkout,69,2,2,2,0
1,frontcatalog,200,0,245,currencyservice,server,65,2,2,2,0
1,frontcatalog,200,0,245,emailservice,email,57,3,3,3,0
1,frontcatalog,200,0,245,frontend,productcatalog,63,2,2,2,0
1,frontcatalog,200,0,245,frontend,server,67,2,2,2,0
1,frontcatalog,200,0,245,paymentservice,payment,59,3,3,3,0
1,frontcatalog,200,0,245,recommendationservice,server,68,2,2,2,0
1,frontcatalog,200,0,245,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,245,shippingservice,server,77,3,3,3,0
1,frontcatalog,200,0,260,adservice,server,65,2,2,2,0
1,frontcatalog,200,0,260,cartservice,server,50,3,3,3,0
1,frontcatalog,200,0,260,checkoutservice,checkout,69,2,2,2,0
1,frontcatalog,200,0,260,currencyservice,server,70,2,2,2,0
1,frontcatalog,200,0,260,emailservice,email,53,3,3,3,0
1,frontcatalog,200,0,260,frontend,productcatalog,63,2,2,2,0
1,frontcatalog,200,0,260,frontend,server,68,2,2,2,0
1,frontcatalog,200,0,260,paymentservice,payment,52,3,3,3,0
1,frontcatalog,200,0,260,recommendationservice,server,72,2,2,2,0
1,frontcatalog,200,0,260,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,260,shippingservice,server,46,3,3,3,0
1,frontcatalog,200,0,275,adservice,server,59,2,2,2,0
1,frontcatalog,200,0,275,cartservice,server,51,3,3,3,0
1,frontcatalog,200,0,275,checkoutservice,checkout,74,2,2,2,0
1,frontcatalog,200,0,275,currencyservice,server,68,2,2,2,0
1,frontcatalog,200,0,275,emailservice,email,56,3,3,3,0
1,frontcatalog,200,0,275,frontend,productcatalog,62,2,2,2,0
1,frontcatalog,200,0,275,frontend,server,70,2,2,2,0
1,frontcatalog,200,0,275,paymentservice,payment,55,3,3,3,0
1,frontcatalog,200,0,275,recommendationservice,server,72,2,2,2,0
1,frontcatalog,200,0,275,redis-cart,-,,1,1,1,0
1,frontcatalog,200,0,275,shippingservice,server,48,3,3,3,0
1,frontcatalog,200,0,290,adservice,server,58,2,2,2,0
