cycle,arm,target_rate,limit_x,browse_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods,ns_running_cores,ns_pending_cores
recommendationservice,normal,350,0,0,0,adservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,0,cartservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,0,checkoutservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,0,currencyservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,0,emailservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,0,frontend,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,0,paymentservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,0,productcatalogservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,0,recommendationservice,-,,4,4,1,4,14.92,5.27
recommendationservice,normal,350,0,0,0,redis-cart,-,,1,1,1,0,14.92,5.27
recommendationservice,normal,350,0,0,0,shippingservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,16,adservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,16,cartservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,16,checkoutservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,16,currencyservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,16,emailservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,16,frontend,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,16,paymentservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,16,productcatalogservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,16,recommendationservice,-,,4,4,1,4,14.92,5.27
recommendationservice,normal,350,0,0,16,redis-cart,-,,1,1,1,0,14.92,5.27
recommendationservice,normal,350,0,0,16,shippingservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,31,adservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,31,cartservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,31,checkoutservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,31,currencyservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,31,emailservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,31,frontend,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,31,paymentservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,31,productcatalogservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,31,recommendationservice,-,,4,4,1,4,14.92,5.27
recommendationservice,normal,350,0,0,31,redis-cart,-,,1,1,1,0,14.92,5.27
recommendationservice,normal,350,0,0,31,shippingservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,46,adservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,46,cartservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,46,checkoutservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,46,currencyservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,46,emailservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,46,frontend,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,46,paymentservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,46,productcatalogservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,46,recommendationservice,-,,4,4,1,4,14.92,5.27
recommendationservice,normal,350,0,0,46,redis-cart,-,,1,1,1,0,14.92,5.27
recommendationservice,normal,350,0,0,46,shippingservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,61,adservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,61,cartservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,61,checkoutservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,61,currencyservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,61,emailservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,61,frontend,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,61,paymentservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,61,productcatalogservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,61,recommendationservice,-,,4,4,1,4,14.92,5.27
recommendationservice,normal,350,0,0,61,redis-cart,-,,1,1,1,0,14.92,5.27
recommendationservice,normal,350,0,0,61,shippingservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,77,adservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,77,cartservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,77,checkoutservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,77,currencyservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,77,emailservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,77,frontend,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,77,paymentservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,77,productcatalogservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,77,recommendationservice,-,,4,4,1,4,14.92,5.27
recommendationservice,normal,350,0,0,77,redis-cart,-,,1,1,1,0,14.92,5.27
recommendationservice,normal,350,0,0,77,shippingservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,92,adservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,92,cartservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,92,checkoutservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,92,currencyservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,92,emailservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,92,frontend,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,92,paymentservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,92,productcatalogservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,92,recommendationservice,-,,4,4,1,4,14.92,5.27
recommendationservice,normal,350,0,0,92,redis-cart,-,,1,1,1,0,14.92,5.27
recommendationservice,normal,350,0,0,92,shippingservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,107,adservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,107,cartservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,107,checkoutservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,107,currencyservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,107,emailservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,107,frontend,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,107,paymentservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,107,productcatalogservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,107,recommendationservice,-,,4,4,1,4,14.92,5.27
recommendationservice,normal,350,0,0,107,redis-cart,-,,1,1,1,0,14.92,5.27
recommendationservice,normal,350,0,0,107,shippingservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,122,adservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,122,cartservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,122,checkoutservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,122,currencyservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,122,emailservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,122,frontend,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,122,paymentservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,122,productcatalogservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,122,recommendationservice,-,,4,4,1,4,14.92,5.27
recommendationservice,normal,350,0,0,122,redis-cart,-,,1,1,1,0,14.92,5.27
recommendationservice,normal,350,0,0,122,shippingservice,-,,4,4,2,3,14.92,5.27
recommendationservice,normal,350,0,0,137,adservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,137,cartservice,-,,4,4,3,2,14.92,5.27
recommendationservice,normal,350,0,0,137,checkoutservice,-,,4,4,3,2,14.92,5.27
