cycle,arm,target_rate,limit_x,browse_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods,ns_running_cores,ns_pending_cores
1,normal,100,0,0,0,adservice,-,,1,0,1,0,5.859,0.0
1,normal,100,0,0,0,cartservice,server,1,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,checkoutservice,checkout,0,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,currencyservice,server,0,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,emailservice,email,2,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,frontend,-,,1,0,1,0,5.859,0.0
1,normal,100,0,0,0,paymentservice,payment,0,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,productcatalogservice,server,0,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,recommendationservice,-,,,0,1,0,5.859,0.0
1,normal,100,0,0,0,redis-cart,-,,1,1,1,0,5.859,0.0
1,normal,100,0,0,0,shippingservice,-,,,0,1,0,5.859,0.0
1,normal,100,0,0,15,adservice,server,35,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,cartservice,server,15,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,checkoutservice,checkout,28,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,currencyservice,server,50,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,emailservice,email,10,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,frontend,server,55,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,paymentservice,payment,22,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,productcatalogservice,server,22,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,recommendationservice,server,5,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,redis-cart,-,,1,1,1,0,5.859,0.0
1,normal,100,0,0,15,shippingservice,server,0,1,1,1,0,5.859,0.0
1,normal,100,0,0,30,adservice,server,98,1,1,1,0,5.859,0.0
1,normal,100,0,0,30,cartservice,server,70,1,1,1,0,5.859,0.0
1,normal,100,0,0,30,checkoutservice,checkout,90,1,1,1,0,5.859,0.0
1,normal,100,0,0,30,currencyservice,server,54,1,1,1,0,5.859,0.0
1,normal,100,0,0,30,emailservice,email,100,1,1,1,0,5.859,0.0
1,normal,100,0,0,30,frontend,server,85,1,1,1,0,5.859,0.0
1,normal,100,0,0,30,paymentservice,payment,55,1,1,1,0,5.859,0.0
1,normal,100,0,0,30,productcatalogservice,server,77,1,1,1,0,5.859,0.0
1,normal,100,0,0,30,recommendationservice,server,52,1,1,1,0,5.859,0.0
1,normal,100,0,0,30,redis-cart,-,,1,1,1,0,5.859,0.0
1,normal,100,0,0,30,shippingservice,server,5,1,1,1,0,5.859,0.0
1,normal,100,0,0,45,adservice,server,51,1,1,1,0,5.978,0.0
1,normal,100,0,0,45,cartservice,server,47,1,1,1,0,5.978,0.0
1,normal,100,0,0,45,checkoutservice,checkout,73,1,1,1,0,5.978,0.0
1,normal,100,0,0,45,currencyservice,server,49,1,1,1,0,5.978,0.0
1,normal,100,0,0,45,emailservice,email,81,1,2,1,0,5.978,0.0
1,normal,100,0,0,45,frontend,server,72,1,1,1,0,5.978,0.0
1,normal,100,0,0,45,paymentservice,payment,37,1,1,1,0,5.978,0.0
1,normal,100,0,0,45,productcatalogservice,server,68,1,1,1,0,5.978,0.0
1,normal,100,0,0,45,recommendationservice,server,42,1,1,1,0,5.978,0.0
1,normal,100,0,0,45,redis-cart,-,,1,1,1,0,5.978,0.0
1,normal,100,0,0,45,shippingservice,server,30,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,adservice,server,34,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,cartservice,server,47,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,checkoutservice,checkout,68,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,currencyservice,server,49,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,emailservice,email,73,2,2,2,0,5.978,0.0
1,normal,100,0,0,61,frontend,server,71,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,paymentservice,payment,37,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,productcatalogservice,server,67,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,recommendationservice,server,41,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,redis-cart,-,,1,1,1,0,5.978,0.0
1,normal,100,0,0,61,shippingservice,server,30,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,adservice,server,52,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,cartservice,server,47,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,checkoutservice,checkout,75,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,currencyservice,server,50,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,emailservice,email,43,2,2,2,0,5.978,0.0
1,normal,100,0,0,76,frontend,server,78,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,paymentservice,payment,33,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,productcatalogservice,server,70,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,recommendationservice,server,44,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,redis-cart,-,,1,1,1,0,5.978,0.0
1,normal,100,0,0,76,shippingservice,server,31,1,1,1,0,5.978,0.0
1,normal,100,0,0,91,adservice,server,34,1,1,1,0,5.978,0.0
1,normal,100,0,0,91,cartservice,server,47,1,1,1,0,5.978,0.0
1,normal,100,0,0,91,checkoutservice,checkout,71,1,1,1,0,5.978,0.0
1,normal,100,0,0,91,currencyservice,server,47,1,1,1,0,5.978,0.0
1,normal,100,0,0,91,emailservice,email,41,2,2,2,0,5.978,0.0
1,normal,100,0,0,91,frontend,server,73,1,1,1,0,5.978,0.0
1,normal,100,0,0,91,paymentservice,payment,32,1,1,1,0,5.978,0.0
1,normal,100,0,0,91,productcatalogservice,server,66,1,1,1,0,5.978,0.0
1,normal,100,0,0,91,recommendationservice,server,43,1,1,1,0,5.978,0.0
1,normal,100,0,0,91,redis-cart,-,,1,1,1,0,5.978,0.0
1,normal,100,0,0,91,shippingservice,server,29,1,1,1,0,5.978,0.0
1,normal,100,0,0,106,adservice,server,17,1,1,1,0,5.978,0.0
1,normal,100,0,0,106,cartservice,server,51,1,1,1,0,5.978,0.0
1,normal,100,0,0,106,checkoutservice,checkout,71,1,1,1,0,5.978,0.0
1,normal,100,0,0,106,currencyservice,server,46,1,1,1,0,5.978,0.0
1,normal,100,0,0,106,emailservice,email,39,2,2,2,0,5.978,0.0
1,normal,100,0,0,106,frontend,server,69,1,1,1,0,5.978,0.0
1,normal,100,0,0,106,paymentservice,payment,32,1,1,1,0,5.978,0.0
1,normal,100,0,0,106,productcatalogservice,server,65,1,1,1,0,5.978,0.0
1,normal,100,0,0,106,recommendationservice,server,41,1,1,1,0,5.978,0.0
1,normal,100,0,0,106,redis-cart,-,,1,1,1,0,5.978,0.0
1,normal,100,0,0,106,shippingservice,server,30,1,1,1,0,5.978,0.0
1,normal,100,0,0,121,adservice,server,25,1,1,1,0,5.978,0.0
1,normal,100,0,0,121,cartservice,server,45,1,1,1,0,5.978,0.0
1,normal,100,0,0,121,checkoutservice,checkout,70,1,1,1,0,5.978,0.0
1,normal,100,0,0,121,currencyservice,server,51,1,1,1,0,5.978,0.0
1,normal,100,0,0,121,emailservice,email,39,2,2,2,0,5.978,0.0
