cycle,arm,target_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,normal,200,0,adservice,server,7,2,2,2,0
1,normal,200,0,cartservice,server,1,2,2,2,0
1,normal,200,0,checkoutservice,checkout,0,2,2,2,0
1,normal,200,0,currencyservice,server,0,2,2,2,0
1,normal,200,0,emailservice,email,2,2,2,2,0
1,normal,200,0,frontend,server,0,2,2,2,0
1,normal,200,0,paymentservice,-,,,0,2,0
1,normal,200,0,productcatalogservice,-,,,0,2,0
1,normal,200,0,recommendationservice,-,,,0,2,0
1,normal,200,0,redis-cart,-,,1,1,1,0
1,normal,200,0,shippingservice,-,,,0,2,0
1,normal,200,15,adservice,server,5,2,2,2,0
1,normal,200,15,cartservice,server,49,2,2,2,0
1,normal,200,15,checkoutservice,checkout,56,2,2,2,0
1,normal,200,15,currencyservice,server,77,2,2,2,0
1,normal,200,15,emailservice,email,20,2,2,2,0
1,normal,200,15,frontend,server,45,2,2,2,0
1,normal,200,15,paymentservice,payment,42,2,2,2,0
1,normal,200,15,productcatalogservice,server,0,2,2,2,0
1,normal,200,15,recommendationservice,server,0,2,2,2,0
1,normal,200,15,redis-cart,-,,1,1,1,0
1,normal,200,15,shippingservice,server,0,2,2,2,0
1,normal,200,30,adservice,server,3,2,2,2,0
1,normal,200,30,cartservice,server,97,2,2,2,0
1,normal,200,30,checkoutservice,checkout,76,2,2,2,0
1,normal,200,30,currencyservice,server,79,2,3,2,1
1,normal,200,30,emailservice,email,86,2,2,2,0
1,normal,200,30,frontend,server,74,2,2,2,0
1,normal,200,30,paymentservice,payment,125,2,2,2,0
1,normal,200,30,productcatalogservice,server,71,2,2,2,0
1,normal,200,30,recommendationservice,server,66,2,2,2,0
1,normal,200,30,redis-cart,-,,1,1,1,0
1,normal,200,30,shippingservice,server,29,2,2,2,0
1,normal,200,46,adservice,server,313,2,2,2,0
1,normal,200,46,cartservice,server,87,2,3,2,0
1,normal,200,46,checkoutservice,checkout,70,2,2,2,0
1,normal,200,46,currencyservice,server,76,3,3,3,0
1,normal,200,46,emailservice,email,84,2,3,2,1
1,normal,200,46,frontend,server,71,2,2,2,0
1,normal,200,46,paymentservice,payment,86,2,3,2,1
1,normal,200,46,productcatalogservice,server,68,2,2,2,0
1,normal,200,46,recommendationservice,server,69,2,2,2,0
1,normal,200,46,redis-cart,-,,1,1,1,0
1,normal,200,46,shippingservice,server,77,2,2,2,0
1,normal,200,61,adservice,server,182,2,6,2,0
1,normal,200,61,cartservice,server,79,3,3,2,0
1,normal,200,61,checkoutservice,checkout,78,2,2,2,0
1,normal,200,61,currencyservice,server,74,3,3,3,0
1,normal,200,61,emailservice,email,81,3,3,3,0
1,normal,200,61,frontend,server,72,2,2,2,0
1,normal,200,61,paymentservice,payment,88,3,3,3,0
1,normal,200,61,productcatalogservice,server,65,2,2,2,0
1,normal,200,61,recommendationservice,server,69,2,2,2,0
1,normal,200,61,redis-cart,-,,1,1,1,0
1,normal,200,61,shippingservice,server,74,2,2,2,0
1,normal,200,76,adservice,server,138,6,6,2,0
1,normal,200,76,cartservice,server,79,3,3,3,0
1,normal,200,76,checkoutservice,checkout,75,2,2,2,0
1,normal,200,76,currencyservice,server,50,3,3,3,0
1,normal,200,76,emailservice,email,86,3,3,3,0
1,normal,200,76,frontend,server,71,2,2,2,0
1,normal,200,76,paymentservice,payment,53,3,3,3,0
1,normal,200,76,productcatalogservice,server,73,2,2,2,0
1,normal,200,76,recommendationservice,server,70,2,2,2,0
1,normal,200,76,redis-cart,-,,1,1,1,0
1,normal,200,76,shippingservice,server,75,2,2,2,0
1,normal,200,91,adservice,server,138,6,6,2,0
1,normal,200,91,cartservice,server,49,3,3,3,0
1,normal,200,91,checkoutservice,checkout,68,2,2,2,0
1,normal,200,91,currencyservice,server,49,3,3,3,0
1,normal,200,91,emailservice,email,53,3,3,3,0
1,normal,200,91,frontend,server,70,2,2,2,0
1,normal,200,91,paymentservice,payment,54,3,3,3,0
1,normal,200,91,productcatalogservice,server,67,2,2,2,0
1,normal,200,91,recommendationservice,server,67,2,2,2,0
1,normal,200,91,redis-cart,-,,1,1,1,0
1,normal,200,91,shippingservice,server,66,2,2,2,0
1,normal,200,106,adservice,server,67,6,6,6,0
1,normal,200,106,cartservice,server,50,3,3,3,0
1,normal,200,106,checkoutservice,checkout,74,2,2,2,0
1,normal,200,106,currencyservice,server,48,3,3,3,0
1,normal,200,106,emailservice,email,56,3,3,3,0
1,normal,200,106,frontend,server,72,2,2,2,0
1,normal,200,106,paymentservice,payment,52,3,3,3,0
1,normal,200,106,productcatalogservice,server,69,2,2,2,0
1,normal,200,106,recommendationservice,server,72,2,2,2,0
1,normal,200,106,redis-cart,-,,1,1,1,0
1,normal,200,106,shippingservice,server,76,2,2,2,0
1,normal,200,122,adservice,server,26,6,6,6,0
1,normal,200,122,cartservice,server,57,3,3,3,0
1,normal,200,122,checkoutservice,checkout,68,2,2,2,0
1,normal,200,122,currencyservice,server,48,3,3,3,0
1,normal,200,122,emailservice,email,57,3,3,3,0
1,normal,200,122,frontend,server,73,2,2,2,0
1,normal,200,122,paymentservice,payment,53,3,3,3,0
1,normal,200,122,productcatalogservice,server,69,2,2,2,0
1,normal,200,122,recommendationservice,server,68,2,2,2,0
1,normal,200,122,redis-cart,-,,1,1,1,0
1,normal,200,122,shippingservice,server,75,2,2,2,0
1,normal,200,137,adservice,server,26,6,6,6,0
1,normal,200,137,cartservice,server,56,3,3,3,0
1,normal,200,137,checkoutservice,checkout,77,2,2,2,0
1,normal,200,137,currencyservice,server,49,3,3,3,0
1,normal,200,137,emailservice,email,56,3,3,3,0
1,normal,200,137,frontend,server,72,2,2,2,0
1,normal,200,137,paymentservice,payment,55,3,3,3,0
1,normal,200,137,productcatalogservice,server,69,2,2,2,0
1,normal,200,137,recommendationservice,server,69,2,2,2,0
1,normal,200,137,redis-cart,-,,1,1,1,0
1,normal,200,137,shippingservice,server,76,2,2,2,0
1,normal,200,152,adservice,server,21,6,6,6,0
1,normal,200,152,cartservice,server,57,3,3,3,0
1,normal,200,152,checkoutservice,checkout,71,2,2,2,0
1,normal,200,152,currencyservice,server,48,3,3,3,0
1,normal,200,152,emailservice,email,55,3,3,3,0
1,normal,200,152,frontend,server,69,2,2,2,0
1,normal,200,152,paymentservice,payment,58,3,3,3,0
1,normal,200,152,productcatalogservice,server,69,2,2,2,0
1,normal,200,152,recommendationservice,server,67,2,2,2,0
1,normal,200,152,redis-cart,-,,1,1,1,0
1,normal,200,152,shippingservice,server,75,2,2,2,0
1,normal,200,167,adservice,server,21,6,2,2,0
1,normal,200,167,cartservice,server,55,3,3,3,0
1,normal,200,167,checkoutservice,checkout,76,2,2,2,0
1,normal,200,167,currencyservice,server,47,3,3,3,0
1,normal,200,167,emailservice,email,54,3,3,3,0
1,normal,200,167,frontend,server,69,2,2,2,0
1,normal,200,167,paymentservice,payment,53,3,3,3,0
1,normal,200,167,productcatalogservice,server,68,2,2,2,0
1,normal,200,167,recommendationservice,server,65,2,2,2,0
1,normal,200,167,redis-cart,-,,1,1,1,0
1,normal,200,167,shippingservice,server,69,2,2,2,0
1,normal,200,182,adservice,server,65,2,2,2,0
1,normal,200,182,cartservice,server,51,3,3,3,0
1,normal,200,182,checkoutservice,checkout,76,2,2,2,0
1,normal,200,182,currencyservice,server,52,3,3,3,0
1,normal,200,182,emailservice,email,55,3,3,3,0
1,normal,200,182,frontend,server,72,2,2,2,0
1,normal,200,182,paymentservice,payment,60,3,3,3,0
1,normal,200,182,productcatalogservice,server,69,2,2,2,0
1,normal,200,182,recommendationservice,server,71,2,2,2,0
1,normal,200,182,redis-cart,-,,1,1,1,0
1,normal,200,182,shippingservice,server,79,2,2,2,0
1,normal,200,198,adservice,server,65,2,2,2,0
1,normal,200,198,cartservice,server,61,3,3,3,0
1,normal,200,198,checkoutservice,checkout,76,2,2,2,0
1,normal,200,198,currencyservice,server,49,3,3,3,0
1,normal,200,198,emailservice,email,57,3,3,3,0
1,normal,200,198,frontend,server,74,2,2,2,0
1,normal,200,198,paymentservice,payment,57,3,3,3,0
1,normal,200,198,productcatalogservice,server,71,2,2,2,0
1,normal,200,198,recommendationservice,server,69,2,2,2,0
1,normal,200,198,redis-cart,-,,1,1,1,0
1,normal,200,198,shippingservice,server,76,2,2,2,0
1,normal,200,213,adservice,server,68,2,2,2,0
1,normal,200,213,cartservice,server,54,3,3,3,0
1,normal,200,213,checkoutservice,checkout,75,2,2,2,0
1,normal,200,213,currencyservice,server,50,3,3,3,0
