cycle,arm,target_rate,limit_x,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,normal,150,0,0,adservice,-,,1,0,1,0
1,normal,150,0,0,cartservice,-,,1,0,1,0
1,normal,150,0,0,checkoutservice,checkout,0,1,1,1,0
1,normal,150,0,0,currencyservice,server,0,1,1,1,0
1,normal,150,0,0,emailservice,email,1,1,1,1,0
1,normal,150,0,0,frontend,server,0,1,1,1,0
1,normal,150,0,0,paymentservice,payment,5,1,1,1,0
1,normal,150,0,0,productcatalogservice,server,0,1,1,1,0
1,normal,150,0,0,recommendationservice,-,,,0,1,0
1,normal,150,0,0,redis-cart,-,,1,1,1,0
1,normal,150,0,0,shippingservice,-,,,0,1,0
1,normal,150,0,15,adservice,-,,1,0,1,0
1,normal,150,0,15,cartservice,server,1,1,1,1,0
1,normal,150,0,15,checkoutservice,checkout,4,1,1,1,0
1,normal,150,0,15,currencyservice,server,0,1,1,1,0
1,normal,150,0,15,emailservice,email,1,1,1,1,0
1,normal,150,0,15,frontend,server,22,1,1,1,0
1,normal,150,0,15,paymentservice,payment,0,1,1,1,0
1,normal,150,0,15,productcatalogservice,server,16,1,1,1,0
1,normal,150,0,15,recommendationservice,server,0,1,1,1,0
1,normal,150,0,15,redis-cart,-,,1,1,1,0
1,normal,150,0,15,shippingservice,server,0,1,1,1,0
1,normal,150,0,31,adservice,server,135,1,2,1,0
1,normal,150,0,31,cartservice,server,128,1,1,1,0
1,normal,150,0,31,checkoutservice,checkout,45,1,1,1,0
1,normal,150,0,31,currencyservice,server,78,1,1,1,0
1,normal,150,0,31,emailservice,email,34,1,1,1,0
1,normal,150,0,31,frontend,server,113,1,1,1,0
1,normal,150,0,31,paymentservice,payment,74,1,1,1,0
1,normal,150,0,31,productcatalogservice,server,107,1,1,1,0
1,normal,150,0,31,recommendationservice,server,75,1,1,1,0
1,normal,150,0,31,redis-cart,-,,1,1,1,0
1,normal,150,0,31,shippingservice,server,0,1,1,1,0
1,normal,150,0,46,adservice,server,77,2,2,1,0
1,normal,150,0,46,cartservice,server,149,1,2,1,0
1,normal,150,0,46,checkoutservice,checkout,49,1,1,1,0
1,normal,150,0,46,currencyservice,server,78,1,2,2,0
1,normal,150,0,46,emailservice,email,81,1,1,1,0
1,normal,150,0,46,frontend,server,120,1,2,1,1
1,normal,150,0,46,paymentservice,payment,59,1,1,1,0
1,normal,150,0,46,productcatalogservice,server,112,1,2,1,1
1,normal,150,0,46,recommendationservice,server,115,1,1,1,0
1,normal,150,0,46,redis-cart,-,,1,1,1,0
1,normal,150,0,46,shippingservice,server,49,1,1,1,0
1,normal,150,0,61,adservice,server,77,2,2,2,0
1,normal,150,0,61,cartservice,server,118,2,2,1,0
1,normal,150,0,61,checkoutservice,checkout,47,1,1,1,0
1,normal,150,0,61,currencyservice,server,72,2,2,2,0
1,normal,150,0,61,emailservice,email,75,1,1,1,0
1,normal,150,0,61,frontend,server,109,2,2,2,0
1,normal,150,0,61,paymentservice,payment,53,1,1,1,0
1,normal,150,0,61,productcatalogservice,server,106,2,2,2,0
1,normal,150,0,61,recommendationservice,server,112,1,2,1,1
1,normal,150,0,61,redis-cart,-,,1,1,1,0
1,normal,150,0,61,shippingservice,server,46,1,1,1,0
1,normal,150,0,76,adservice,server,58,2,2,2,0
1,normal,150,0,76,cartservice,server,102,2,2,2,0
1,normal,150,0,76,checkoutservice,checkout,39,1,1,1,0
1,normal,150,0,76,currencyservice,server,32,2,2,2,0
1,normal,150,0,76,emailservice,email,61,1,1,1,0
1,normal,150,0,76,frontend,server,109,2,2,2,0
1,normal,150,0,76,paymentservice,payment,46,1,1,1,0
1,normal,150,0,76,productcatalogservice,server,95,2,2,2,0
1,normal,150,0,76,recommendationservice,server,103,2,2,2,0
1,normal,150,0,76,redis-cart,-,,1,1,1,0
1,normal,150,0,76,shippingservice,server,37,1,1,1,0
1,normal,150,0,91,adservice,server,34,2,2,2,0
1,normal,150,0,91,cartservice,server,96,2,2,2,0
1,normal,150,0,91,checkoutservice,checkout,46,1,1,1,0
1,normal,150,0,91,currencyservice,server,35,2,2,2,0
1,normal,150,0,91,emailservice,email,73,1,1,1,0
1,normal,150,0,91,frontend,server,53,2,2,2,0
1,normal,150,0,91,paymentservice,payment,45,1,1,1,0
1,normal,150,0,91,productcatalogservice,server,51,2,2,2,0
1,normal,150,0,91,recommendationservice,server,111,2,2,2,0
1,normal,150,0,91,redis-cart,-,,1,1,1,0
1,normal,150,0,91,shippingservice,server,46,1,1,1,0
1,normal,150,0,107,adservice,server,17,2,2,2,0
1,normal,150,0,107,cartservice,server,66,2,2,2,0
1,normal,150,0,107,checkoutservice,checkout,46,1,1,1,0
1,normal,150,0,107,currencyservice,server,35,2,2,2,0
1,normal,150,0,107,emailservice,email,74,1,1,1,0
1,normal,150,0,107,frontend,server,54,2,2,2,0
1,normal,150,0,107,paymentservice,payment,55,1,1,1,0
1,normal,150,0,107,productcatalogservice,server,49,2,2,2,0
1,normal,150,0,107,recommendationservice,server,51,2,2,2,0
1,normal,150,0,107,redis-cart,-,,1,1,1,0
1,normal,150,0,107,shippingservice,server,46,1,1,1,0
1,normal,150,0,122,adservice,server,12,2,1,1,0
1,normal,150,0,122,cartservice,server,54,2,2,2,0
1,normal,150,0,122,checkoutservice,checkout,46,1,1,1,0
1,normal,150,0,122,currencyservice,server,35,2,1,1,0
1,normal,150,0,122,emailservice,email,70,1,1,1,0
1,normal,150,0,122,frontend,server,53,2,2,2,0
1,normal,150,0,122,paymentservice,payment,47,1,1,1,0
1,normal,150,0,122,productcatalogservice,server,49,2,2,2,0
1,normal,150,0,122,recommendationservice,server,52,2,2,2,0
1,normal,150,0,122,redis-cart,-,,1,1,1,0
1,normal,150,0,122,shippingservice,server,45,1,1,1,0
1,normal,150,0,137,adservice,server,24,1,1,1,0
1,normal,150,0,137,cartservice,server,54,2,2,2,0
1,normal,150,0,137,checkoutservice,checkout,44,1,1,1,0
1,normal,150,0,137,currencyservice,server,67,1,1,1,0
1,normal,150,0,137,emailservice,email,71,1,1,1,0
1,normal,150,0,137,frontend,server,53,2,2,2,0
1,normal,150,0,137,paymentservice,payment,48,1,1,1,0
1,normal,150,0,137,productcatalogservice,server,49,2,2,2,0
1,normal,150,0,137,recommendationservice,server,52,2,2,2,0
1,normal,150,0,137,redis-cart,-,,1,1,1,0
1,normal,150,0,137,shippingservice,server,43,1,1,1,0
1,normal,150,0,152,adservice,server,22,1,1,1,0
1,normal,150,0,152,cartservice,server,56,2,2,2,0
1,normal,150,0,152,checkoutservice,checkout,44,1,1,1,0
1,normal,150,0,152,currencyservice,server,69,1,1,1,0
1,normal,150,0,152,emailservice,email,71,1,1,1,0
1,normal,150,0,152,frontend,server,53,2,2,2,0
1,normal,150,0,152,paymentservice,payment,50,1,1,1,0
1,normal,150,0,152,productcatalogservice,server,49,2,2,2,0
1,normal,150,0,152,recommendationservice,server,54,2,2,2,0
1,normal,150,0,152,redis-cart,-,,1,1,1,0
1,normal,150,0,152,shippingservice,server,44,1,1,1,0
1,normal,150,0,168,adservice,server,22,1,1,1,0
1,normal,150,0,168,cartservice,server,54,2,2,2,0
1,normal,150,0,168,checkoutservice,checkout,44,1,1,1,0
1,normal,150,0,168,currencyservice,server,68,1,1,1,0
1,normal,150,0,168,emailservice,email,70,1,1,1,0
1,normal,150,0,168,frontend,server,53,2,2,2,0
1,normal,150,0,168,paymentservice,payment,50,1,1,1,0
1,normal,150,0,168,productcatalogservice,server,50,2,2,2,0
1,normal,150,0,168,recommendationservice,server,51,2,2,2,0
1,normal,150,0,168,redis-cart,-,,1,1,1,0
1,normal,150,0,168,shippingservice,server,45,1,1,1,0
1,normal,150,0,183,adservice,server,27,1,1,1,0
1,normal,150,0,183,cartservice,server,52,2,2,2,0
1,normal,150,0,183,checkoutservice,checkout,41,1,1,1,0
1,normal,150,0,183,currencyservice,server,67,1,1,1,0
1,normal,150,0,183,emailservice,email,69,1,1,1,0
1,normal,150,0,183,frontend,server,53,2,2,2,0
1,normal,150,0,183,paymentservice,payment,44,1,1,1,0
1,normal,150,0,183,productcatalogservice,server,48,2,2,2,0
1,normal,150,0,183,recommendationservice,server,51,2,2,2,0
1,normal,150,0,183,redis-cart,-,,1,1,1,0
1,normal,150,0,183,shippingservice,server,43,1,1,1,0
1,normal,150,0,198,adservice,server,21,1,1,1,0
1,normal,150,0,198,cartservice,server,53,2,2,2,0
1,normal,150,0,198,checkoutservice,checkout,41,1,1,1,0
1,normal,150,0,198,currencyservice,server,67,1,1,1,0
1,normal,150,0,198,emailservice,email,69,1,1,1,0
1,normal,150,0,198,frontend,server,52,2,2,2,0
1,normal,150,0,198,paymentservice,payment,44,1,1,1,0
1,normal,150,0,198,productcatalogservice,server,48,2,2,2,0
1,normal,150,0,198,recommendationservice,server,52,2,2,2,0
1,normal,150,0,198,redis-cart,-,,1,1,1,0
1,normal,150,0,198,shippingservice,server,43,1,1,1,0
1,normal,150,0,213,adservice,server,25,1,1,1,0
1,normal,150,0,213,cartservice,server,61,2,2,2,0
1,normal,150,0,213,checkoutservice,checkout,45,1,1,1,0
1,normal,150,0,213,currencyservice,server,71,1,1,1,0
1,normal,150,0,213,emailservice,email,70,1,1,1,0
1,normal,150,0,213,frontend,server,52,2,2,2,0
1,normal,150,0,213,paymentservice,payment,51,1,1,1,0
1,normal,150,0,213,productcatalogservice,server,49,2,2,2,0
1,normal,150,0,213,recommendationservice,server,54,2,2,2,0
1,normal,150,0,213,redis-cart,-,,1,1,1,0
1,normal,150,0,213,shippingservice,server,44,1,1,1,0
1,normal,150,0,229,adservice,server,22,1,1,1,0
1,normal,150,0,229,cartservice,server,50,2,2,2,0
1,normal,150,0,229,checkoutservice,checkout,45,1,1,1,0
1,normal,150,0,229,currencyservice,server,68,1,1,1,0
1,normal,150,0,229,emailservice,email,66,1,1,1,0
1,normal,150,0,229,frontend,server,55,2,2,2,0
1,normal,150,0,229,paymentservice,payment,41,1,1,1,0
1,normal,150,0,229,productcatalogservice,server,50,2,2,2,0
1,normal,150,0,229,recommendationservice,server,54,2,2,2,0
1,normal,150,0,229,redis-cart,-,,1,1,1,0
1,normal,150,0,229,shippingservice,server,43,1,1,1,0
1,normal,150,0,244,adservice,server,20,1,1,1,0
1,normal,150,0,244,cartservice,server,50,2,2,2,0
1,normal,150,0,244,checkoutservice,checkout,43,1,1,1,0
1,normal,150,0,244,currencyservice,server,68,1,1,1,0
1,normal,150,0,244,emailservice,email,69,1,1,1,0
1,normal,150,0,244,frontend,server,53,2,2,2,0
1,normal,150,0,244,paymentservice,payment,48,1,1,1,0
