cycle,arm,target_rate,limit_x,browse_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods,ns_running_cores,ns_pending_cores
1,normal,100,0,0,0,adservice,server,1,3,1,1,0,5.228,0.359
1,normal,100,0,0,0,cartservice,server,0,3,1,1,0,5.228,0.359
1,normal,100,0,0,0,checkoutservice,checkout,0,3,1,1,0,5.228,0.359
1,normal,100,0,0,0,currencyservice,server,0,3,1,1,0,5.228,0.359
1,normal,100,0,0,0,emailservice,email,1,3,1,1,0,5.228,0.359
1,normal,100,0,0,0,frontend,server,0,3,1,1,1,5.228,0.359
1,normal,100,0,0,0,paymentservice,payment,0,3,2,2,0,5.228,0.359
1,normal,100,0,0,0,productcatalogservice,server,0,3,1,1,0,5.228,0.359
1,normal,100,0,0,0,recommendationservice,server,0,3,1,1,0,5.228,0.359
1,normal,100,0,0,0,redis-cart,-,,1,1,1,0,5.228,0.359
1,normal,100,0,0,0,shippingservice,server,0,3,2,2,0,5.228,0.359
1,normal,100,0,0,15,adservice,server,1,1,1,1,0,4.387,0.0
1,normal,100,0,0,15,cartservice,server,0,1,1,1,0,4.387,0.0
1,normal,100,0,0,15,checkoutservice,checkout,0,1,1,1,0,4.387,0.0
1,normal,100,0,0,15,currencyservice,server,0,1,1,1,0,4.387,0.0
1,normal,100,0,0,15,emailservice,email,1,1,1,1,0,4.387,0.0
1,normal,100,0,0,15,frontend,server,0,1,1,1,0,4.387,0.0
1,normal,100,0,0,15,paymentservice,payment,0,2,2,2,0,4.387,0.0
1,normal,100,0,0,15,productcatalogservice,server,20,1,1,1,0,4.387,0.0
1,normal,100,0,0,15,recommendationservice,server,0,1,1,1,0,4.387,0.0
1,normal,100,0,0,15,redis-cart,-,,1,1,1,0,4.387,0.0
1,normal,100,0,0,15,shippingservice,server,0,2,2,2,0,4.387,0.0
1,normal,100,0,0,30,adservice,server,101,1,1,1,0,4.387,0.0
1,normal,100,0,0,30,cartservice,server,181,1,1,1,0,4.387,0.0
1,normal,100,0,0,30,checkoutservice,checkout,8,1,1,1,0,4.387,0.0
1,normal,100,0,0,30,currencyservice,server,23,1,1,1,0,4.387,0.0
1,normal,100,0,0,30,emailservice,email,5,1,1,1,0,4.387,0.0
1,normal,100,0,0,30,frontend,-,,1,1,1,0,4.387,0.0
1,normal,100,0,0,30,paymentservice,payment,23,2,2,2,0,4.387,0.0
1,normal,100,0,0,30,productcatalogservice,server,20,1,1,1,0,4.387,0.0
1,normal,100,0,0,30,recommendationservice,server,162,1,1,1,0,4.387,0.0
1,normal,100,0,0,30,redis-cart,-,,1,1,1,0,4.387,0.0
1,normal,100,0,0,30,shippingservice,server,2,2,2,2,0,4.387,0.0
1,normal,100,0,0,46,adservice,server,50,1,1,1,0,5.121,0.0
1,normal,100,0,0,46,cartservice,server,230,1,3,1,0,5.121,0.0
1,normal,100,0,0,46,checkoutservice,checkout,31,1,1,1,0,5.121,0.0
1,normal,100,0,0,46,currencyservice,server,54,1,1,1,0,5.121,0.0
1,normal,100,0,0,46,emailservice,email,49,1,1,1,0,5.121,0.0
1,normal,100,0,0,46,frontend,-,,1,1,1,0,5.121,0.0
1,normal,100,0,0,46,paymentservice,payment,23,2,2,2,0,5.121,0.0
1,normal,100,0,0,46,productcatalogservice,server,214,1,1,1,0,5.121,0.0
1,normal,100,0,0,46,recommendationservice,server,216,1,3,3,0,5.121,0.0
1,normal,100,0,0,46,redis-cart,-,,1,1,1,0,5.121,0.0
1,normal,100,0,0,46,shippingservice,server,21,2,2,2,0,5.121,0.0
1,normal,100,0,0,61,adservice,server,36,1,1,1,0,6.12,0.0
1,normal,100,0,0,61,cartservice,server,227,3,3,3,0,6.12,0.0
1,normal,100,0,0,61,checkoutservice,checkout,29,1,1,1,0,6.12,0.0
1,normal,100,0,0,61,currencyservice,server,50,1,1,1,0,6.12,0.0
1,normal,100,0,0,61,emailservice,email,47,1,1,1,0,6.12,0.0
1,normal,100,0,0,61,frontend,server,213,1,4,1,0,6.12,0.0
1,normal,100,0,0,61,paymentservice,payment,20,2,1,1,0,6.12,0.0
1,normal,100,0,0,61,productcatalogservice,server,206,1,3,3,0,6.12,0.0
1,normal,100,0,0,61,recommendationservice,server,204,3,3,3,0,6.12,0.0
1,normal,100,0,0,61,redis-cart,-,,1,1,1,0,6.12,0.0
1,normal,100,0,0,61,shippingservice,server,15,2,1,1,0,6.12,0.0
1,normal,100,0,0,76,adservice,server,28,1,1,1,0,6.12,0.0
1,normal,100,0,0,76,cartservice,server,263,3,3,3,0,6.12,0.0
1,normal,100,0,0,76,checkoutservice,checkout,29,1,1,1,0,6.12,0.0
1,normal,100,0,0,76,currencyservice,server,50,1,1,1,0,6.12,0.0
1,normal,100,0,0,76,emailservice,email,47,1,1,1,0,6.12,0.0
1,normal,100,0,0,76,frontend,server,221,4,4,4,0,6.12,0.0
1,normal,100,0,0,76,paymentservice,payment,0,1,1,1,0,6.12,0.0
1,normal,100,0,0,76,productcatalogservice,server,203,3,3,3,0,6.12,0.0
1,normal,100,0,0,76,recommendationservice,server,102,3,3,3,0,6.12,0.0
1,normal,100,0,0,76,redis-cart,-,,1,1,1,0,6.12,0.0
1,normal,100,0,0,76,shippingservice,server,10,1,1,1,0,6.12,0.0
1,normal,100,0,0,91,adservice,server,40,1,1,1,0,6.24,0.0
1,normal,100,0,0,91,cartservice,server,250,3,4,3,0,6.24,0.0
1,normal,100,0,0,91,checkoutservice,checkout,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,91,currencyservice,server,52,1,1,1,0,6.24,0.0
1,normal,100,0,0,91,emailservice,email,48,1,1,1,0,6.24,0.0
1,normal,100,0,0,91,frontend,server,220,4,4,4,0,6.24,0.0
1,normal,100,0,0,91,paymentservice,payment,40,1,1,1,0,6.24,0.0
1,normal,100,0,0,91,productcatalogservice,server,69,3,3,3,0,6.24,0.0
1,normal,100,0,0,91,recommendationservice,server,69,3,3,3,0,6.24,0.0
1,normal,100,0,0,91,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,91,shippingservice,server,20,1,1,1,0,6.24,0.0
1,normal,100,0,0,106,adservice,server,24,1,1,1,0,6.24,0.0
1,normal,100,0,0,106,cartservice,server,82,4,4,4,0,6.24,0.0
1,normal,100,0,0,106,checkoutservice,checkout,29,1,1,1,0,6.24,0.0
1,normal,100,0,0,106,currencyservice,server,49,1,1,1,0,6.24,0.0
1,normal,100,0,0,106,emailservice,email,46,1,1,1,0,6.24,0.0
1,normal,100,0,0,106,frontend,server,72,4,4,4,0,6.24,0.0
1,normal,100,0,0,106,paymentservice,payment,54,1,1,1,0,6.24,0.0
1,normal,100,0,0,106,productcatalogservice,server,67,3,3,3,0,6.24,0.0
1,normal,100,0,0,106,recommendationservice,server,67,3,3,3,0,6.24,0.0
1,normal,100,0,0,106,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,106,shippingservice,server,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,122,adservice,server,17,1,1,1,0,6.24,0.0
1,normal,100,0,0,122,cartservice,server,71,4,4,4,0,6.24,0.0
1,normal,100,0,0,122,checkoutservice,checkout,27,1,1,1,0,6.24,0.0
1,normal,100,0,0,122,currencyservice,server,49,1,1,1,0,6.24,0.0
1,normal,100,0,0,122,emailservice,email,46,1,1,1,0,6.24,0.0
1,normal,100,0,0,122,frontend,server,54,4,4,4,0,6.24,0.0
1,normal,100,0,0,122,paymentservice,payment,38,1,1,1,0,6.24,0.0
1,normal,100,0,0,122,productcatalogservice,server,68,3,3,3,0,6.24,0.0
1,normal,100,0,0,122,recommendationservice,server,68,3,3,3,0,6.24,0.0
1,normal,100,0,0,122,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,122,shippingservice,server,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,137,adservice,server,22,1,1,1,0,6.24,0.0
1,normal,100,0,0,137,cartservice,server,80,4,4,4,0,6.24,0.0
1,normal,100,0,0,137,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,137,currencyservice,server,48,1,1,1,0,6.24,0.0
1,normal,100,0,0,137,emailservice,email,45,1,1,1,0,6.24,0.0
1,normal,100,0,0,137,frontend,server,53,4,4,4,0,6.24,0.0
1,normal,100,0,0,137,paymentservice,payment,34,1,1,1,0,6.24,0.0
1,normal,100,0,0,137,productcatalogservice,server,67,3,3,3,0,6.24,0.0
1,normal,100,0,0,137,recommendationservice,server,67,3,3,3,0,6.24,0.0
1,normal,100,0,0,137,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,137,shippingservice,server,29,1,1,1,0,6.24,0.0
1,normal,100,0,0,152,adservice,server,17,1,1,1,0,6.24,0.0
1,normal,100,0,0,152,cartservice,server,62,4,4,4,0,6.24,0.0
1,normal,100,0,0,152,checkoutservice,checkout,27,1,1,1,0,6.24,0.0
1,normal,100,0,0,152,currencyservice,server,48,1,1,1,0,6.24,0.0
1,normal,100,0,0,152,emailservice,email,45,1,1,1,0,6.24,0.0
1,normal,100,0,0,152,frontend,server,52,4,4,4,0,6.24,0.0
1,normal,100,0,0,152,paymentservice,payment,34,1,1,1,0,6.24,0.0
1,normal,100,0,0,152,productcatalogservice,server,64,3,3,3,0,6.24,0.0
1,normal,100,0,0,152,recommendationservice,server,65,3,3,3,0,6.24,0.0
1,normal,100,0,0,152,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,152,shippingservice,server,29,1,1,1,0,6.24,0.0
1,normal,100,0,0,167,adservice,server,15,1,1,1,0,6.24,0.0
1,normal,100,0,0,167,cartservice,server,57,4,4,4,0,6.24,0.0
1,normal,100,0,0,167,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,167,currencyservice,server,48,1,1,1,0,6.24,0.0
1,normal,100,0,0,167,emailservice,email,45,1,1,1,0,6.24,0.0
1,normal,100,0,0,167,frontend,server,52,4,4,4,0,6.24,0.0
1,normal,100,0,0,167,paymentservice,payment,34,1,1,1,0,6.24,0.0
1,normal,100,0,0,167,productcatalogservice,server,68,3,3,3,0,6.24,0.0
1,normal,100,0,0,167,recommendationservice,server,68,3,3,3,0,6.24,0.0
1,normal,100,0,0,167,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,167,shippingservice,server,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,adservice,server,15,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,cartservice,server,58,4,4,4,0,6.24,0.0
1,normal,100,0,0,183,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,currencyservice,server,49,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,emailservice,email,48,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,frontend,server,55,4,4,4,0,6.24,0.0
1,normal,100,0,0,183,paymentservice,payment,36,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,productcatalogservice,server,66,3,3,3,0,6.24,0.0
1,normal,100,0,0,183,recommendationservice,server,68,3,3,3,0,6.24,0.0
1,normal,100,0,0,183,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,183,shippingservice,server,30,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,adservice,server,13,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,cartservice,server,64,4,4,4,0,6.24,0.0
1,normal,100,0,0,198,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,currencyservice,server,49,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,emailservice,email,46,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,frontend,server,53,4,4,4,0,6.24,0.0
1,normal,100,0,0,198,paymentservice,payment,33,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,productcatalogservice,server,68,3,3,3,0,6.24,0.0
1,normal,100,0,0,198,recommendationservice,server,65,3,3,3,0,6.24,0.0
1,normal,100,0,0,198,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,198,shippingservice,server,29,1,1,1,0,6.24,0.0
1,normal,100,0,0,213,adservice,server,12,1,1,1,0,6.24,0.0
1,normal,100,0,0,213,cartservice,server,61,4,4,4,0,6.24,0.0
1,normal,100,0,0,213,checkoutservice,checkout,28,1,1,1,0,6.24,0.0
1,normal,100,0,0,213,currencyservice,server,50,1,1,1,0,6.24,0.0
1,normal,100,0,0,213,emailservice,email,46,1,1,1,0,6.24,0.0
1,normal,100,0,0,213,frontend,server,52,4,4,4,0,6.24,0.0
1,normal,100,0,0,213,paymentservice,payment,34,1,1,1,0,6.24,0.0
1,normal,100,0,0,213,productcatalogservice,server,65,3,3,3,0,6.24,0.0
1,normal,100,0,0,213,recommendationservice,server,65,3,3,3,0,6.24,0.0
1,normal,100,0,0,213,redis-cart,-,,1,1,1,0,6.24,0.0
1,normal,100,0,0,213,shippingservice,server,29,1,1,1,0,6.24,0.0
